Barong Ket,"Barong Ket merupakan salah satu ikon seni budaya Bali yang memiliki akar sejarah yang dalam. Seni budaya Bali mencapai puncak keemasannya pada abad XVI pada masa pemerintahan Dalem Waturenggong. Barong Ket memiliki dasar sejarah dari relief boma, yang menampilkan wujud tapel barong ket, serta investigasi filologi pada kata-kata seperti banas pati, calonarang, dan lainnya. Ada teori yang menyatakan kemungkinan masuknya pengaruh dari luar, seperti agama Budha, pengaruh Cina, atau bahkan adanya kebudayaan asli di Bali yang kemudian mengadopsi unsur-unsur dari luar. Fungsinya dalam masyarakat Bali memiliki dimensi sosial dan tema yang kuat. Ada kaitan dengan cerita sejarah ketika Raja Jayapangus memperistri seorang wanita Cina, yang mungkin membawa kebudayaannya ke Bali. Kematian raja dan permaisuri Cina tersebut menyebabkan masyarakat Bali membuat simbol Barong Landung, yang menggambarkan pengaruh budaya Cina, terlihat dari pakaian longdress yang dipakai Barong Landung wanita. Pengaruh ini dilekatkan dengan ajaran atau filsafat kehidupan masyarakat Bali sebagai ajaran rwa bineda. Di samping itu, dalam lontar Barong Swari, terdapat cerita Dewi Uma yang dikutuk menjadi Dewi Durga dan melakukan serangkaian yoga ke empat penjuru mata angin. Sanghyang Tri Murti kemudian turun ke dunia dalam wujud Barong untuk menyelamatkan manusia dari kemurkaan Dewi Durga. Barong, dalam kepercayaan Bali, adalah benda mati yang perlu dihidupkan kembali melalui upacara keagamaan dalam beberapa tingkatan. Barong Ket juga memiliki fungsi sosial sebagai simbol kebenaran, penolak bala, pemersatu umat, dan alat religius untuk menjalin persaudaraan di antara umat Hindu, khususnya di Bali. Selain itu, dianggap memiliki kekuatan mistis, terbukti dari masyarakat yang mengikutinya dalam kegiatan ngelawang barong menuju tempat masolah tanpa merasa lelah, meskipun menempuh perjalanan panjang dari tempat asalnya.",Seni Pertunjukan
Barong Landong,"Barong Landong merupakan sebuah permainan tradisional yang memiliki akar budaya dalam kehidupan petani di Tanjung Agung Pasar Geting. Suku Lembak Proatin 12 di wilayah tersebut menjalankan kehidupan pertanian dengan sawah sebagai salah satu sumber utama mereka. Untuk melindungi tanaman padi mereka dari hama burung dan monyet, mereka menciptakan ""orang-orangan sawah"" atau Kebang-kebang. Setelah masa panen berlimpah, sebagai ungkapan syukur dan rasa terbantu dengan keberadaan orang-orangan sawah, mereka mengembangkan Barong Landong, yang memiliki dimensi lebih besar daripada orang-orangan sawah, dengan tampilan yang serupa dengan manusia raksasa. Dalam konteks sosial dan tema, Barong Landong menjadi simbol rasa syukur dan perlindungan bagi hasil pertanian mereka. Permainan ini juga menggambarkan kekayaan budaya dan Adat Istiadat yang melekat dalam kehidupan sehari-hari mereka. Melalui Barong Landong, warga Tanjung Agung Pasar Geting mengungkapkan kegembiraan dan kebersamaan dalam momen panen, mempertahankan tradisi lama, dan menunjukkan ciri khas identitas budaya suku Lembak Proatin 12. Barong Landong memiliki perangkat dan struktur yang khas dalam pelaksanaannya. Dibuat dari kerangka bubu penangkap ikan dengan tangan dan kepala mirip manusia, Barong Landong didandani layaknya pengantin tradisional Bengkulu dengan penambahan singal (topi khas) dan kain besurek. Musik pengiring yang meliputi kulintang, redap, gong, dan kadang-kadang serunai, membagi permainan ini menjadi tiga bagian: memanggil tamu, pengiring tarian, dan irama burung Lanting. Prosesi dan ritual dalam penyimpanan dan penampilan Barong Landong memiliki peran penting dalam upacara doa dan kesyukuran petani. Barong Landong memiliki dua jenis utama: Barong Landong Agung dan Barong Landong Keluarga. Permainan ini dulunya terkait erat dengan warga Tanjung Agung, namun seiring waktu, telah menjadi hiburan dan warisan budaya bagi seluruh warga Lembak di Kota Bengkulu. Perkembangan Barong Landong juga memperluas cakupan penggunaannya, menjadi sarana hiburan rakyat yang tidak hanya mempertahankan tradisi, tetapi juga menghibur masyarakat luas.",Seni Pertunjukan
Cakepung Budhakeling,"Cakepung adalah Seni Pertunjukan kesenian teater bertutur yang memiliki unsur-unsur lengkap seperti seni musik, vokal, tari, sastra, dan teater di Bali. Kesenian ini memiliki akar budaya yang berawal dari Lombok dan kemudian berkembang di Desa Budhakeling, Karangasem, Bali. Kesenian ini biasanya menampilkan lakon-lakon yang diadaptasi dari cerita rakyat seperti lakon Panji. Cakepung Budhakeling sering tampil pada ritus atau ritus adat seperti sesangi (bayar kaul), kepus puser, mapag/nelubulanin (ritus bayi tiga bulanan), perkawinan, dan kematian. Cakepung berperan sebagai media pendidikan informal dengan menyampaikan nilai-nilai etika dan tuntunan moral kepada penonton. Selain itu, kesenian ini juga berfungsi sebagai pengikat solidaritas masyarakat Budhakeling, mencerminkan sikap hidup dan kearifan lokal, serta memperkuat hubungan sosial dalam kehidupan masyarakat. Pertunjukan Cakepung memiliki unsur-unsur seperti musik, vokal, dan tari menjadi elemen penting. Cakepung menggunakan berbagai alat musik, termasuk alat musik tradisional seperti gamelan, kendang, gender, suling, dan gong. Alat musik tersebut memberikan pengiring musik yang khas dalam pertunjukan Cakepung. Adapun bahan dan alat yang digunakan dalam pembuatan kesenian ini melibatkan berbagai elemen seperti kostum, properti, dan peralatan panggung.",Seni Pertunjukan
Dramatari Wayang Wong,"Wayang Wong adalah sebuah drama tari yang berasal Bali dan memiliki dua jenis, pertama adalah Wayang Wong Parwa yang mengambil wiracarita Mahabharata, dan kedua adalah Wayang Wong Ramayana yang mengambil dari wiracarita Ramayana. Secara umum, Wayang Wong merujuk pada Wayang Wong Ramayana, karena Wayang Wong Parwa hanya disebut dengan Parwa saja. Wayang Wong berfungsi sebagai hiburan dan sarana penyampaian cerita dan nilai moral untuk para penonton melalui gerak tari yang indah dan ekspresif. Melalui cerita yang diangkat, Wayang Wong juga memiliki fungsi sebagai sarana untuk memperkenalkan, melestarikan, dan mempromosikan budaya Bali ke Masyarakat luas. Wayang Wong menggunakan topeng berbagai karakter sebagai salah satu elemen penting untuk menghidupkan karakter yang diperankan. Wayang wong juga dilengkapi dengan kostum tradisional Bali yang berwarna-warni untuk para pemeran, dan diiringi oleh Gamelan Bali. Wayang Wong dapat diperankan oleh pria dan Wanita dengan peran yang dibagi berdasar cerita yang dimainkan.",Seni Pertunjukan
Endek,"Endek adalah jenis tenun ikat dengan menggunakan teknis pola hias dobel ikat pakan dan lungsi yang berasal dari Bali. Endek memiliki motif yang khas pada benang pakan bahkan sebelum mulai ditenun. Fungsi sosial Endek terkait dengan identitas kebudayaan tenun di Bali, yang memiliki nilai estetika dan nilai historis. Endek digunakan dalam berbagai acara adat, upacara keagamaan, dan perayaan tertentu di Bali, yang menjadi simbol keindahan warisan budaya Bali. Bahan yang digunakan adalah benang pakan dan benang lusi. Benang pakan yang telah diberi motif diikat, dicelup, dikeringkan, dan digulung pada kumparan, kemudian akan dijalin dengan benang lungsi yang arahnya vertikal. Sehingga, motif pada benang pakan tidak akan tampak sampai kain selesai ditenun. Pembuatan Endek biasanya melibatkan peran Perempuan sebagai pengrajin tenun yang mahir menghasilkan kain yang indah.",Kemahiran dan Kerajinan Tradisional
Gringsing Tenganan,"Gringsing Tenganan merupakan sejenis sejenis kain tenun tradisional yang berasal dari desa Tenganan Pegringsingan di Bali, yang memiliki kemiripan motif dengan kain Patola yang dibuat di Gujarat pada abad ke-17 dan ke-18. Bahkan, di masa lampau, masyarakat Bali di sekitar desa Tenganan Pegringsingan menyebut kain geringsing dengan sebutan ""kain petola"" karena motifnya yang menyerupai tenunan patola. Kain Geringsing ini memiliki makna simbolis dalam berbagai upacara, seperti pernikahan, pertunjukan seni, dan acara keagamaan. Kain gerising juga menjadi salah satu penanda identitas budaya Masyarakat Tenganan dan menjadi sumber pendapatan ekonomi masyarakat setempat. Pembuatan kain geringsing melibatkan penggunaan alat-alat tenun tradisional seperti alat tenun pakan, benang, dan alat pemintal. Bahan utama yang digunakan adalah serat alami seperti kapas dan benang sutra yang dihasilkan dari ulat sutra. Proses pewarnaan kain menggunakan bahan alami seperti daun, kulit pohon, dan tanaman lainnya. Bahan-bahan ini ditunjang oleh lingkungan sekitar desa setempat. Tenun geringsing merupakan karya seni yang membutuhkan keahlian dan ketelatenan yang tinggi. Para perempuan di desa Tenganan Pegringsingan secara tradisional memiliki peran penting dalam pembuatan kain geringsing dan mewariskan teknik tenun ini dari generasi ke generasi.",Kemahiran dan Kerajinan Tradisional
Leko,"Tari Leko adalah tari balih-balihan yang berasal dari Desa Tunjuk Kelod, Kabupaten Tabanan, Bali. Tarian ini mengalami perkembangan pesat pada periode antara tahun 1919 hingga 1933. Namun, selama masa penjajahan Jepang, tari ini mengalami penurunan popularitas. Baru pada tahun 1959, Tari Leko diaktifkan kembali di Banjar Tunjuk Kelod. Selain itu, tarian ini juga berkembang di Banjar Parekan, Desa Sibang Gede, Kabupaten Badung, Bali. Seni Pertunjukan Leko merupakan sumber hiburan masyarakat di desa, sambil melestarikan budaya dan tradisi. Pertunjukan tari Leko menjadi sarana untuk mempererat hubungan antara masyarakat dan menguatkan rasa kebersamaan. Dalam cerita dan gerakan tarinya, Tari Leko mengangkat tema seperti keindahan alam, keseimbangan hidup, dan nilai-nilai kehidupan sehari-hari. Tari Leko menggunakan alat musik tradisional Bali sebagai pengiring, yaitu rindik bambu yang memberi nuansa khas. Tari Leko melibatkan pengibing serta unsur-unsur pelegongan dalam gerakan, busana, gending, dan cerita yang ditampilkan dalam pertunjukan. Tari Leko melibatkan penari-penari laki-laki dan perempuan, tergantung pada peran yang dimainkan dalam cerita tari tersebut.",Seni Pertunjukan
Makepung,"Makepung adalah tradisi atraksi balap kerbau yang telah menjadi warisan budaya turun-temurun di Kabupaten Jembrana, Bali. Tradisi ini berawal sebagai kegiatan olahraga petani yang dilakukan dalam kegiatan membajak sawah, tetapi kemudian berkembang menjadi atraksi seni dan kompetisi. Lomba ini tidak hanya melibatkan kalangan petani saja, tetapi juga para pegawai dan pengusaha dari kota yang ikut serta sebagai peserta maupun pendukung acara. Tradisi Makepung menjadi hiburan bagi masyarakat setempat, menarik perhatian wisatawan dari dalam dan luar negeri, yang menghadirkan dampak ekonomi pada sektor pariwisata. Lomba Makepung juga menjadi sarana untuk mempertahankan dan mengapresiasi nilai-nilai seperti sportivitas, kesungguhan, dan tanggung jawab, serta memelihara karbau secara intensif, yang berkaitan dengan pertanian dan peternakan. Dalam makepung, dua ekor kerbau yang dikaitkan pada sebuah gerobak (cikar) ditarik oleh seorang joki dalam sebuah lomba berkejar-kejaran. Cikar adalah gerobak yang dihiasi dengan hiasan kepala kerbau yang menarik, dan sepotong kayu bernama Ugo yang berfungsi sebagai sarad cikar. Kerbau yang berpartisipasi dalam lomba dihiasi dengan berbagai hiasan, seperti rubbung (hiasan kepala berbentuk rubbung tari Barong) dan keroncongan (hiasan leher berbentuk genta). Para joki berpakaian khas Jembrana dengan selendang, destar, celana panjang, dan saput poleng. Makepung diadakan di jalanan di sekitar sawah, dengan lintasan berbentuk huruf 'U' selama sekitar 4 km. Peserta lomba terbagi menjadi Grup Barat dan Grup Timur, dan kecepatan bukan satu-satunya faktor penentu pemenang, melainkan juga bagaimana peserta bisa menjaga jarak dengan peserta lain.",Tradisi dan Ekspresi Lisan
Ngrebeg Tegallalang,"Ngrebeg Tegallang adalah sebuah upacara budaya yang berasal dari Bali, Indonesia. Upacara ini dilakukan sebagai ungkapan rasa syukur kepada para dewa atas hasil panen yang melimpah. Biasanya, ngrebeg dilakukan di Desa Tegallalang, yang terkenal dengan sawah terasiringnya yang indah. Fungsi sosial dari ngrebeg Tegallalang sangatlah beragam. Pertama-tama, acara ini menjadi momen bagi masyarakat setempat untuk berkumpul bersama dan merayakan hasil panen yang melimpah sebagai hasil kerja keras bersama. Selain itu, ngrebeg juga merupakan ajang untuk mempertahankan dan mewarisi tradisi dan kearifan lokal kepada generasi muda. Tema yang diangkat dalam upacara ini seringkali berkaitan dengan keseimbangan antara manusia dan alam, serta keharmonisan dalam kehidupan sehari-hari. Dalam ngrebeg Tegallalang, terdapat berbagai alat dan bahan yang digunakan. Mulai dari alat musik tradisional seperti gamelan yang mengiringi prosesi hingga beragam pakaian adat yang dipakai oleh para peserta. Prosesi ini melibatkan berbagai kalangan masyarakat, tanpa memandang demografi atau gender, semua dapat berpartisipasi dalam meriahnya upacara ini. Di samping itu, ngrebeg Tegallalang juga terkait erat dengan bioma sawah terasiring, yang menjadi latar belakang indah bagi upacara ini.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Nyeraman,"Tari Seraman merupakan sebuah bentuk tarian sakral yang berasal dari Desa Adat Kebon Bukit, Desa Bukit, Kecamatan Karangasem, Bali. Tarian ini menjadi bagian dari perayaan upacara agama di Pura Puseh Desa Adat Kebon Bukit, yang dilaksanakan setiap Umanis Kuningan. Tari Seraman dilakukan sebagai persembahan rasa bhakti masyarakat yang tinggi atas dasar keiklasan terhadap Tuhan. Tari Seraman berfungsi sebagai bentuk pengendalian sosial dan resolusi konflik, serta pendidikan dalam membentuk karakter dan jati diri generasi muda. Proses pelaksanaan tari Seraman melibatkan beberapa komponen, termasuk dua penari laki-laki yang memerankan dua orang yang sedang bertarung dengan menggunakan tombak sebagai properti utama. Gerakan dalam tarian ini menggambarkan situasi perang, dengan gerakan yang bersifat improvisasi, seperti tinjakan, lelucon, dan ekspresi serem yang menggambarkan pertarungan yang berlangsung. Busana penari disesuaikan dengan peran yang dimainkan, dengan penari yang memerankan raja atau patih mengenakan pakaian khas seperti kamben songket, saput songket, dan baju beludru hitam.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
