Genggong Bali,"Genggong adalah alat musik tradisional Bali yang digunakan oleh para petani sebagai hiburan saat waktu luang. Menurut cerita, Genggong pertama kali dibuat sebagai alat musik hiburan oleh Tapak Mada (nama Mahapatih Gajah Mada sebelum diangkat menjadi Mahapatih) ketika sedang membuat bendungan air di hutan. Tapak Mada kemudian membawa kesenian ini ke Bali dalam perjalanannya melintasi Nusantara. Kini, Genggong Banjar dilanjutkan oleh I Ketut Ragia dan keponakannya Made Agus Warana, yang merekonstruksi kembali alat musik ini dan membentuk kelompok (sekaa) Genggong bernama Qakdanjur. Genggong memiliki fungsi sebagai media hiburan petani, juga sebagai media komunikasi untuk memanggil kerabat dan menjalin hubungan sosial. Genggong memiliki peran dalam pendidikan, mengajarkan nilai-nilai lingkungan dan memperkuat hubungan kekeluargaan. Pada masa sekarang, Genggong digunakan dalam pertunjukan yang lebih terorganisir, menjadi media integrasi sosial, dan pengiring tari yang dikolaborasikan dengan instrumen musik lainnya. Pembuatan Genggong menggunakan bahan dasar pelepah enau yang direbus, dikeringkan, dan dibentuk dengan sketsa tertentu. Bahan pelepah enau saat ini mulai digantikan dengan bambu. Peralatan yang digunakan meliputi pisau, gergaji, benang kasur, potongan bambu, golok, dan alat pahat. Genggong dibagi menjadi dua jenis, yaitu Genggong lanang dengan suara lebih tinggi dan Genggong wadon dengan suara lebih rendah. Alat musik Genggong dimainkan menggunakan mulut dan resonansi tenggorokan dengan teknik menarik-narik tali bambu. Ada lima nada pokok yang dihasilkan dari Genggong. Dalam pertunjukan, Genggong dapat dimainkan secara individu atau dikombinasikan dengan alat musik lain seperti seruling, rebab, ceng-ceng, klenong, dan lainnya.",Seni Pertunjukan
Jegog Jembrana,"Jegog adalah Seni Pertunjukan berupa ensambel musik tradisional khas asal Kabupaten Jembrana, Bali. Nama ""Jegog"" berasal dari instrumen Gong Kebyar yang paling besar. Jegog berfungsi sebagai hiburan untuk mengisi waktu pada saat petani menghalau burung di sawah. Namun seiring berjalannya waktu, Jegog juga berfungsi sebagai tanda dimulainya gotong royong dalam masyarakat desa. Jegog memiliki nilai simbolis yang mencerminkan perlawanan budaya pada masa lalu, dan menjadi ekspresi keberanian dan identitas masyarakat Jembrana yang berasal dari keturunan tahanan politik yang dibuang ke Jembrana pada masa kerajaan. Dalam pementasan, jegog tidak hanya dimainkan secara instrumentalia, tetapi juga mengiringi tari khas daerah Jembrana yang disebut Tari Jegog. Gerakan dalam tari jegog banyak diambil dari Pencak Silat, sehingga menghadirkan kekuatan dan keanggunan dalam pertunjukan. Alat musik jegog terbuat dari bambu dengan delapan buah lempengan kayu yang memiliki delapan nada atau dua oktaf. Larasnya menggunakan laras selendro, tetapi hanya menggunakan empat nada untuk memberikan warna selendro yang khas. Satu set alat musik jegog terdiri dari beberapa jenis bambu, seperti Barangan, Kancilan, Suir, Kuntung, Undir, dan Jegogan. Kesenian jegog tersebar hampir di seluruh desa di Kabupaten Jembrana.",Seni Pertunjukan
Kerajinan Perak Celuk,"Kerajinan Perak Celuk memiliki akar yang dalam dalam sejarah Bali, dimulai sejak zaman Kerajaan Sukawati di mana produksinya utamanya memenuhi kebutuhan keluarga kerajaan di Puri Sukawati dan wilayah sekitarnya. Desa Celuk menjadi pusat utama kerajinan emas dan perak yang mulai menarik perhatian orang asing, terutama setelah kedatangan Bangsa Belanda di Bali. Keterampilan yang diwariskan secara turun-temurun dari generasi ke generasi, dimulai dari tokoh terkenal seperti I Wayan Klesir, terus berkembang dan memengaruhi keluarga-keluarga lain di sekitarnya. Saat ini, meskipun metode pewarisan masih sama, minat generasi muda untuk mempelajari seni pembuatan kerajinan perak cenderung menurun. Kerajinan Perak Celuk tidak hanya menjadi warisan seni, tetapi juga memiliki fungsi sosial dan ekonomi yang penting. Selain digunakan sebagai alat upacara dan ritual keagamaan, kerajinan perak juga menjadi sumber mata pencaharian utama bagi masyarakat desa tersebut. Desain dan motifnya yang awalnya terkait dengan alam sekitar, seperti burung cendrawasih, wajah raksasa, naga, mencerminkan hubungan erat antara budaya dan lingkungan. Namun, seiring dengan perkembangan pariwisata budaya Bali, desainnya mulai bervariasi dan tidak lagi terpaku pada tradisi, melainkan menyesuaikan selera pasar, khususnya wisatawan asing. Proses pembuatan kerajinan perak Celuk melibatkan serangkaian langkah yang kompleks, dimulai dari pembuatan plat, kawat, hingga jawan (butiran perak). Alat-alat tradisional seperti pengububan, paron, kererek (buah lerak), digunakan dalam proses pembuatan dengan menggunakan tangan. Namun, seiring dengan kemajuan teknologi, beberapa peralatan tradisional telah digantikan oleh mesin, seperti penggunaan mesin blendes untuk menteng perak dan deterjen sebagai pengganti buah lerak. Motif dasar kerajinan perak Celuk, seperti jejawan, liman paya, bungan gonda, dan bun util jejawan, mencerminkan kekayaan alam dan budaya Bali dalam setiap karya seni mereka. Kerajinan perak Celuk tidak hanya menjadi objek seni, namun juga menampilkan nilai-nilai religius, sosial, dan ekonomi yang melandasi keberlangsungan warisan seni ini dalam masyarakat Bali.",Kemahiran dan Kerajinan Tradisional
Legong Binoh,"Tari Legong Binoh merupakan sebuah tarian tradisional yang telah berkembang selama lebih dari 100 tahun di Banjar Binoh Kaja, Bali. Tari Legong Binoh terus hidup dan berkembang dari generasi ke generasi tanpa kekhawatiran akan terhenti. Tari ini menampilkan keindahan dan kegrasian gerakan yang menawan, seperti tarian Legong Kuntul atau Goak Macok. Musik pengiringnya menggunakan gambelan Smara Pagulingan yang mempesona. Binoh telah menjadi pusat pengembangan tari dan musik sejak tahun 1910, dengan adanya guru-guru besar dalam bidang tari dan musik yang datang ke Binoh, seperti Ida Bagus Bode, I Wayan Lotering, I Wayang Kale, I Gusti Putu Made Geria, dan I Gde Geruh. Seni Pertunjukan Legong Binoh melestarikan tradisi  dan budaya tari masyarakat Binoh, dan masih terus disaksikan dengan antusias hingga saat ini. Tari Legong Binoh mengangkat berbagai tema, seperti pesiat (pertempuran) dan pakaad (tarian penutup). Tari ini juga memiliki nilai-nilai seperti dualitas hidup, harmoni, dan keindahan yang tercermin dalam gerakan-gerakan dan struktur tari. Tari Legong Binoh menggunakan gamelan Smara Pagulingan sebagai musik pengiringnya. Tari Legong Binoh dapat ditampilkan oleh penari-penari laki-laki maupun perempuan, tergantung pada peran yang dimainkan dalam cerita tari tersebut.",Seni Pertunjukan
Lukisan Kaca Desa Nagasepaha,"Lukisan wayang pada kaca yang masih ditekuni oleh sejumlah seniman di Desa Nagasepaha, Kecamatan Buleleng, Bali, memiliki sejarah panjang sejak tahun 1927. Desa Nagasepaha terletak tidak jauh dari pusat Kota Singaraja, dengan lingkungan yang asri dan hamparan sawah yang luas. Meskipun sebagian besar masyarakatnya bergelut pada sektor agraris, beberapa di antaranya masih melestarikan profesi sebagai pelukis wayang pada kaca. Lukisan ini pertama kali muncul oleh Jero Dalang Diah, seorang pemahat wayang kulit yang berhasil mengembangkan teknik lukis kaca setelah ditantang untuk membuat lukisan serupa dengan gambar wanita Jepang dari lukisan kaca Jepang. Lukisan wayang kaca Nagasepaha merupakan karya seni rupa tradisional hasil keterampilan pelukisnya, yang memiliki unsur akulturasi Jepang. Selain sebagai upaya mencari nafkah, kerajinan ini juga merupakan sarana ekspresi seni. Pada awalnya, corak seni lukis kaca ini menampilkan pemandangan alam dengan figur pewayangan memiliki proporsi lebih pendek dan nampak lebih gemuk dibanding figur wayang di Bali Selatan. Cerita yang digambarkan tema dari epik Mahabharata dan Ramayana. Seiring perkembangan zaman, generasi penerus di Nagasepaha mulai mengembangkan cerita kehidupan sehari-hari masyarakat dengan tetap menjaga teknik dan gaya dekoratifnya. Lukisan kaca Desa Nagasepaha dibuat dengan menggunakan teknik dan gaya khas yang menggabungkan elemen-elemen visual tradisional dan mudah dibedakan dari seni lukis kaca daerah lain dengan tema cerita yang beragam. Lukisan ini mengandalkan bahan kaca sebagai media utama dan menggunakan cat untuk menggambar motif dan gambar. Pengrajin seni yang masih menjaga tradisi ini mayoritas berusia tua, tetapi regenerasi seniman masih berlangsung dan melahirkan seniman-seniman muda yang mengambil bagian dalam melukis wayang kaca Nagasepaha.",Kemahiran dan Kerajinan Tradisional
Nanda,"Nanda adalah sebuah tarian ritual yang dilaksanakan sebagai bagian dari upacara pangilen atau pangilen-ilen di beberapa Desa Adat di Kecamatan Denpasar Timur, Kota Denpasar, Bali. Nanda berfungsi sebagai penghormatan dan pemujaan terhadap Ludra (Siwa), yang terlihat dari kata Nanda yang berasal dari Tandava, tarian yang diciptakan oleh Ludra. Tanda juga merupakan istilah lain untuk menyebut Dewa Ludra. Kedua, Nanda berfungsi sebagai pembersihan alam beserta isinya secara spiritual. Dalam rangkaian upacara pangilen, Nanda disebut juga sebagai Nanda Masesapuh yang berarti melaksanakan pembersihan. Prosesi Nanda berlangsung di halaman utama pura dan melibatkan beberapa pemangku serta masyarakat. Pemangku yang menarikan Tedung Tanda (payung atau panji suci) berpasangan dan bergantian, sedangkan masyarakat duduk menghadap ke timur dan utara. Setiap pasangan pemangku setelah menarikan tari Tedung Tanda, mereka mengakhiri dengan memutarnya di atas kepala masyarakat dan dilanjutkan dengan penyiraman tirtha (air suci).","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Ngarebong Kesiman,"Ngarebong adalah sebuah rangkaian upacara adat yang dilaksanakan di Desa Pakraman Kesiman, Bali. Ngarebong merupakan bentuk pelestarian sistem pemerintahan raja-raja yang dikemas dengan unsur religi, dengan tujuan menjaga keseimbangan sosial, ekonomi, lingkungan, dan spiritual (Tri Hita Karana). Ngarebong Kesiman berfungsi sebagai sarana penyucian untuk mengharmoniskan mikrokosmos (hubungan antarmanusia) dan makrokosmos (hubungan manusia dengan alam). Selain itu, Ngarebong juga berfungsi sebagai sarana integrasi sosial bermasyarakat, yang memperkokoh rasa kesetiakawanan dan kebersamaan di antara warga desa. Ngarebong Kesiman terdiri dari tiga tahap, yaitu Pangebekan pada Umanis Galungan, Pamagpagan pada Paing Kuningan, dan Ngarebong pada Redite Pon Medangsia. Upacara ini secara umum dilakukan dengan mengelilingi Bale Wantilan, yang merupakan simbol Bhuwana Agung, dengan arah gerakan ke kiri untuk membersihkan keletehan (cemer) yang mengancam keselamatan masyarakat Desa Pakraman Kesiman. Upacara ini melibatkan para pemangku, penari keris, dan mulung sebagai tokoh penting yang memimpin prosesi ritual. Beberapa simbol penting yang digunakan dalam upacara ini adalah Barong, Rangda, Cakra, dan Sabuk Poleng.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Ngrebeg Keris Ki Baru Gajah,"Ngrebeg Keris Ki Baru Gajah adalah ritual masyarakat di Kecamatan Kediri, Kabupaten Tabanan, Provinsi Bali berupa mengusung keris Ki Baru Gajah dari Puri Kediri menuju Pura Luhur Pakendungan yang berjarak sekitar 11 kilometer. Upacara ini berlangsung setiap 210 hari pada hari Sabtu (Saniscara) Kliwon, wuku Kuningan. Ngrebeg bertujuan untuk mengusir hama dan melestarikan sistem pertanian serta merupakan salah satu upacara pelengkap dalam kehidupan masyarakat di Kecamatan Kediri. Ngrebeg Keris Ki Baru Gajah berfungsi sebagai upacara pelengkap dalam upacara Dewa Yadnya, khususnya untuk mengusir hal-hal negatif dan membasmi merana (penyakit), serta sebagai pendidikan bagi masyarakat, terutama generasi penerus, untuk memelihara tanah pertanian dan menjaga kualitas air yang penting dalam mengairi sawah dan memenuhi kebutuhan sehari-hari. Dalam pelaksanaan Ngrebeg Keris Ki Baru Gajah, alat dan bahan yang digunakan adalah keris Ki Baru Gajah itu sendiri sebagai simbol keberadaan Rsi Markandeya dan kemampuannya dalam mengusir hama. Proses upacara dimulai dengan menyambut tibanya Keris Ki Baru Gajah yang diusung dari Puri Kediri menuju Pura Luhur Pakendungan. Air pembersihan keris Ki Baru Gajah menggunakan jeruk nipis, air kelapa gading, dan minyak dari buah kelapa gading.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Ngusaba Bukakak,"Ngusaba Bukakak adalah sebuah upacara rasa syukur para petani di Desa Sudaji di Bali, kepada Tuhan Yang Maha Esa atas kesuburan dan hasil panen yang melimpah. Upacara ini diadakan setiap Purnama Sasih Karo dan diselenggarakan sebagai rangkaian Pujawali di Pura Desa setempat. Ngusaba Bukakak berfungsi sebagai ungkapan syukur dan rasa terima kasih para petani kepada Tuhan atas hasil panen yang melimpah. Selain itu, upacara ini juga menjadi ajang perayaan dan kebersamaan bagi masyarakat, terutama para pemuda yang berpartisipasi dalam menggotong Bukakak saat malam hari dan mengadu di catus pata (perempatan desa). Dalam proses pelaksanaan Ngusaba Bukakak, para pemuda memiliki peran khusus dalam menggotong Bukakak dan mengadu di perempatan desa. Dalam momen pengaduan, daun kelapa kering atau danyuh dibakar dan dipukulkan ke Bukakak sehingga menimbulkan percikan api yang menjadi bagian menarik dari tradisi ini. Alat yang digunakan dalam upacara ini adalah Bukakak Alit dan Bukakak Agung, dua buah patung dari nasi yang dipanggang dan dihiasi dengan berbagai hiasan khas Bali. Selain itu, proses persiapan sarana dan prasarana dilakukan oleh seluruh pangempon Subak Dukuh Gede Desa Sudaji.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Ritual Dewa Masraman,"Ritual Dewa Masraman adalah sebuah tradisi keagamaan yang berakar dari Desa Timbrah Bugbug Karangasem dan telah dibawa oleh para migran ketika mereka pindah ke Desa Paksebali, Kecamatan Dawan, Kabupaten Klungkung, Provinsi Bali. Peristiwa migrasi ini terjadi setelah terjadinya perang antara Kerajaan Karangasem dan Klungkung pada tahun 1750. Mayoritas dari para migran berasal dari wangsa, treh, soroh (klan) Pasek Bugbug, dan setelah perang, mereka memilih untuk menjadi bagian dari Ida Dewa Agung Raja Klungkung. Sebagai pengakuan atas kesetiaan mereka, mereka diberikan tempat untuk menetap dan tempat tersebut diberi nama Banjar Timbrah. Para migran membawa warisan budaya berupa Pura Panti dan tradisi ritual keagamaan, yang kemudian menjadi bagian penting dari kehidupan masyarakat Desa Paksebali. Ritual Dewa Masraman mencerminkan kesetaraan di antara kelompok keturunan (treh) yang ada di desa tersebut. Dalam prosesi ini, masyarakat memohon kesuburan bagi alam semesta (Bhuwana Agung) dan kesejahteraan bagi persatuan dan persaudaraan (Bhuwana Alit) dengan lingkungan sekitarnya. Prosesi pelaksanaan Ritual Dewa Masraman melibatkan seluruh masyarakat Banjar Timbrah. Persiapan untuk dimulai dengan pembuatan berbagai jenis lawar sebagai simbol persatuan dalam perbedaan di desa. Ritual dimulai dengan nunas paica, di mana anak-anak diberi bekal ajaran agama dan pembentukan karakter sejak dini. Kemudian, dilanjutkan dengan prosesi Megibung, di mana masyarakat berkumpul untuk makan bersama. Prosesi penyucian 7 Jempana (Joli) juga menjadi bagian penting dari ritual ini, yang melibatkan taruna Desa Adat Paksebali. Tarian sakral dan atraksi ritual juga menjadi bagian tak terpisahkan dalam perayaan ini.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
