Gambuh Bungkulan,,Seni Pertunjukan
Gamelan Selonding,"Gamelan Selonding merupakan salah satu warisan budaya Bali yang memiliki usia lebih tua dibandingkan dengan gamelan-gamelan lainnya di daerah tersebut. Gamelan ini memegang peran sentral dalam konteks keagamaan dan upacara adat di Kabupaten Karangasem, tersebar di desa-desa tua seperti Bugbug, Prasi, Seraya, Tenganan Pegringsingan, dan beberapa lainnya. Nama ""Selonding"" diyakini berasal dari kata ""salon"" dan ""ning"" yang merujuk pada tempat suci. Sebagai gamelan sakral, Selonding digunakan untuk mengiringi berbagai prosesi upacara besar seperti Usaba Dangsil, Usaba Sumbu, Usaba Sri, dan Usaba Manggung. Meskipun asal-usul munculnya gamelan ini masih menjadi misteri, mitologi lokal menyebutkan adanya suara gemuruh dari angkasa yang terdengar oleh orang-orang Tenganan Pegringsingan pada masa lalu, menandai awal munculnya gamelan Selonding. Fungsi sosial Gamelan Selonding sangat terkait dengan keberadaannya dalam konteks upacara sakral dan keagamaan di Bali. Instrumen ini mendukung dan melengkapi pelaksanaan berbagai upacara adat dan keagamaan yang berlangsung dalam desa-desa adat. Tema yang diangkat dalam penggunaannya adalah kesakralan dan keberadaan yang disucikan, tercermin dalam penggunaannya yang terbatas untuk upacara sakral dengan berbagai jenis gending yang berbeda. Gamelan ini menjadi simbol keterhubungan yang kuat antara tradisi, keagamaan, dan kebudayaan masyarakat Bali. Gamelan Selonding terbuat dari bilah-bilah besi yang diletakkan dengan pengunci di atas badan gamelan tanpa bilah resonan bambu. Suara yang dihasilkan dari instrumen ini memiliki karakteristik yang sangat khas, yakni laras pelog sapta nada (tujuh nada). Instrumen ini memiliki keberadaan yang luas di beberapa desa tua di Kabupaten Karangasem, menjadi bagian tak terpisahkan dari demografi dan warisan budaya Bali yang dijaga secara turun-temurun. Proses pembuatan, perawatan, dan penggunaan Gamelan Selonding dijaga dengan cermat, menggambarkan peran pentingnya dalam konteks kebudayaan dan tradisi Bali yang lebih luas.",Seni Pertunjukan
Gerabah Banjar Basang Tamiang,"Gerabah Banjar Basang Tamang merupakan Kerajinan Tradisional yang diperkirakan sudah ada sekitar tahun 1103 Caka Bali, dan berkaitan dengan pemerintahan Raja Sri Aji Jaya Pangus dan pengaruh dari perjalanan ke Tiongkok. Gerabah memiliki fungsi dalam keagamaan Masyarakat setempat, yaitu selama upacara di Pura Dalem Bangun Sakti, masyarakat dilarang membuat kerajinan Gerabah, karena tanah liat yang digunakan dalam pembuatan Gerabah merupakan simbol Sanghyang Siti Dharani atau Sanghyang Ibu Pertiwi yang dipuja di pura tersebut. Gerabah ini juga menjadi mata pencaharian hidup sehari-hari bagi masyarakat, dan merupakan penopang ekonomi keluarga. Kerajinan Gerabah ini telah dikomersialisasikan dan eksis hingga saat ini, sehingga menjadi sumber penghasilan bagi masyarakat setempat. Seni Gerabah ini dibuat secara manual dengan menggunakan alat tradisional yang disebut ""Pemubutan"". Bahan mentah yang digunakan adalah tanah liat yang dicampur dengan abu batu padas. Tanah liat tersebut dijemur hingga kering, kemudian ditumbuk halus, diayak, dan dicampur dengan abu batu padas. Air ditambahkan secukupnya untuk membentuk adonan. Setelah itu, adonan tersebut dibentuk sesuai dengan keinginan, seperti motif kendi, junpere, atau pasepan. Proses pembuatan Gerabah ini melibatkan keahlian khusus dan melalui tahapan seperti pengeringan, penumbukan, pencampuran, dan pembentukan motif. Gerabah ini menjadi identitas khas dari Banjar Basang Tamiang dan mampu bertahan hingga sekarang.",Kemahiran dan Kerajinan Tradisional
Kerajinan Ata Karangasem,"Kerajinan Ata merupakan seni anyaman yang berasal dari Desa Tenganan Pegringsingan, Kecamatan Manggis, Kabupaten Karangasem, Bali. Kerajinan ini pertama kali dikembangkan dalam bentuk perisai untuk tradisi Megeret Pandan atau Perang Pandan yang merupakan bagian dari tradisi Mekare-Kare. Kerajinan Ata ini telah ada sejak abad ke-10 dan ke-11 Masehi, menjadikannya warisan budaya yang kaya dan bersejarah. Selain perisai, kerajinan Ata juga mencakup Ingke Ati Ata (tempat canang atau persembahan) dan Wanci (tempat sedah atau sirih pinang). Tradisi menganyam Ata ini dilakukan oleh para wanita dalam kelompok pengrajin seperti Sekehe Naga Sungsang. Para wanita ini menganyam sambil melakukan kegiatan berkebun dan tugas adat. Pria biasanya membuat perisai atau tameng (tamiang) untuk kegiatan adat Perang Pandan atau Mekare-Kare. Selain itu, para pengerajin ata juga bekerja sama dengan pengepul bahan baku serta memenuhi permintaan dari pasar lokal, nasional, dan internasional. Kerajinan Tradisional Ata digunakan dalam upacara adat, penghormatan terhadap Dewa Indra sebagai Dewa Perang, dan ritual Mekare-Kare. Anyaman Ata juga digunakan sebagai tempat  persembahan canang dan sedah dalam kehidupan sehari-hari. Kerajinan Ata menjadi simbol estetika, identitas budaya dan tradisi masyarakat, serta kreativitas seniman lokal yang mengembangkan motif-motif anyaman Ata. Kerajinan Ata juga memberikan nilai ekonomi sebagai sumber pendapatan. Anyaman Ata terbuat dari paku ata, bahan yang kuat dan lentur yang banyak tumbuh di Desa Tenganan Pegringsingan. Proses pembuatan meliputi pemecahan dan penghalusan paku ata menjadi sitsitan (bahan menjalin) yang sama ukurannya. Kemudian, dilakukan penganyaman menggunakan teknik tertentu untuk membentuk berbagai bentuk dan model kerajinan Ata. Setelah selesai dianyam, anyaman Ata diwarnai dengan cara diasapi atau direbus, memberikan warna alami atau sintetik.",Kemahiran dan Kerajinan Tradisional
Lontar Bali,,Pengetahuan dan kebiasaan perilaku mengenai alam dan semesta
Mabuug Buugan Desa Adat Kedonganan,"Tradisi Mebuug-buugan merupakan sebuah permainan rakyat yang dilakukan oleh masyarakat Desa Adat Kedonganan, Kecamatan Kuta, Kabupaten Badung, Bali. Tradisi ini terkait erat dengan hari raya Nyepi, di mana pelaksanaannya berlangsung pada hari Umanis Nyepi. Mebuug-buugan berarti melakukan kegiatan atau aktifitas yang berkaitan dengan lumpur atau kotoran yang ada di kawasan tertentu. Tradisi ini memiliki makna filosofi yang dalam, di mana tujuannya adalah memohon anugerah kehadapan Ida Sanghyang Widhi Wasa (Tuhan Yang Maha Esa) agar umat manusia diberikan kesejahteraan dan keselamatan lahir batin. Tradisi Mebuug-buugan juga menjadi sarana untuk menunjukkan kebersamaan dan kegembiraan masyarakat setelah menjalani Catur Bratha Penyepian selama satu hari penuh. Ritus Mebuug-buugan menjadi sarana hiburan dan menjalin kebersamaan dan solidaritas di antara anggota masyarakat. Setelah mengikuti serangkaian ritual dan pantangan selama Nyepi, Tradisi Mebuug-buugan menjadi momen untuk melepaskan kegembiraan secara kolektif. Melalui permainan ini, masyarakat menyampaikan rasa syukur, harapan, dan doa untuk mendapatkan kesejahteraan dan keselamatan. Alat dan bahan yang digunakan dalam Tradisi Mebuug-buugan adalah lumpur atau tanah liat, yang merupakan media utama permainan ini. Tradisi Mebuug-buugan dilaksanakan dengan cara bermain dan berlarian di lumpur, saling melempar lumpur, dan menikmati kebersamaan dengan penuh kegembiraan.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Megoak-Goakan Desa Panji,"Tradisi Megoak-goakan adalah perayaan tahunan yang diadakan di Desa Panji, Buleleng, Bali. Tradisi ini digelar untuk menghormati jasa raja Ki Barak Panji Sakti, pendiri kerajaan Buleleng pada tahun 1660-an. Megoak-goakan sekarang menjadi permainan yang sering digelar oleh masyarakat Desa Panji setiap tahunnya, sehari setelah hari Raya Nyepi. Fungsi sosial dari Tradisi Megoak-goakan adalah untuk memperingati dan menghormati jasa raja Ki Barak Panji Sakti sebagai pendiri kerajaan Buleleng, serta sebagai sarana berkumpul, hiburan, dan sumber kegembiraan bagi masyarakat Desa Panji di Buleleng. Tradisi ini menjadi momen yang dinantikan oleh masyarakat setiap tahunnya karena mencerminkan rasa persaudaraan dan kebersamaan dalam bermain bersama dalam satu kelompok. Permainan ini melibatkan kelompok beranggotakan minimal 5 orang hingga maksimal 11 orang, yang berusaha menangkap peserta paling akhir (di ujung ekor) dari pihak lawan untuk menjadi pemenang. Tradisi ini melibatkan masyarakat Desa Panji secara keseluruhan tanpa memandang jenis kelamin atau gender tertentu, sehingga dapat dinikmati oleh semua anggota masyarakat. Para peserta harus berdoa sebelum memulai permainan untuk memohon keselamatan dan kelancaran acara. Pemenang ditentukan berdasarkan siapa yang tercepat dapat memegang ekor (orang yang menjadi barisan paling belakang) dari pihak lawan.",Tradisi dan Ekspresi Lisan
Mesabat-Sabatan Biu,"Mesabat-sabatan biu adalah tradisi saling melempar pisang yang dilakukan oleh masyarakat di Desa Tenganan Dauh Tukad, Kabupaten Karangasem, Bali, sebagai bentuk ungkapan rasa persahabatan dan kesetiakawanan dalam kegembiraan dan semangat. Fungsi sosial Mesabat-Sabatan Biu adalah ajang untuk memperkuat hubungan sosial antarwarga desa, mengenang warisan leluhur, dan memperkuat persatuan dalam komunitas. Mesabat-sabatan biu juga mencerminkan nilai-nilai keberanian dan semangat juang dalam menghadapi tantangan dan perang dalam hidup. Proses pelaksanaan Mesabat-Sabatan Biu melibatkan pisang sebagai simbol alat perang. Cara melakukannya adalah dengan saling melempar pisang satu sama lain, yang menciptakan suasana perang-perangan yang bersifat simbolis dan meriah.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Ngaro Banjar Medura Intaran Sanur,"Ngaro Banjar Medura Intaran Sanur adalah sebuah upacara tradisional yang dilaksanakan oleh masyarakat keturunan Arya Kuda Pinolih (Arya Medura) di Desa Pekraman Intaran, Sanur Kauh, Bali. Upacara Ngaro dianggap penting karena berhubungan erat dengan sejarah perjalanan Arya Kuda Pinolih dari Jawa-Madura ke Bali dan merupakan ungkapan rasa syukur serta bentuk kebhaktian kepada Ida Sang Hyang Widhi Wasa dalam manifestasinya sebagai Dewa Baruna/Dewa yang menguasai lautan. Ngaro Banjar Medura Intaran Sanur berfungsi sebagai pembentuk kesetiakawanan dan kebersamaan antara mereka yang datang dengan tujuan yang sama, yaitu memuja dan memohon kehadapan Ida Sang Hyang Widhi Wasa dalam prabhawa-Nya sebagai Dewa Baruna untuk memperoleh kesejahtraan, keharmonisan, dan kebahagiaan abadi bagi leluhurnya. Upacara Ngaro juga mencerminkan konsep Tri Hita Karana, yang menjaga keseimbangan antara manusia dengan alam dan Tuhan, sehingga memberikan rasa aman, damai, harmonis, dan sejuk bagi masyarakat. Dalam pelaksanaan Ngaro Banjar Medura Intaran Sanur, berbagai alat dan bahan digunakan untuk menyajikan banten puja, seperti beras, ketan, gula Bali, kelapa, dan rempah-rempah untuk membuat jajan carca. Bubur merah dan putih, yang beralaskan daun pisang, juga dihidangkan dalam upacara ini. Selain itu, banten Puja yang berisi berbagai buah-buahan dan jajan carca diatur secara khusus dengan menggunakan janur (taledan busung) atau ron (daun enau) sebagai alasannya. Prosesi upacara Ngaro dimulai pada Purnamaning Sasih Kapat sekitar pukul 18.00 Wita dan berlangsung hingga dini hari sebelum matahari terbit. Warga Arya Medura (Arya Kuda Pinolih) menyusuri batu karang dan rerumputan di laut menuju Pura Tengahing Segara di pantai Karang Intaran Sanur untuk melaksanakan upacara utama Ngaro. Setelah puncak acara Ngaro selesai, warga berebut banten ajuman/rayunan.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Ngrebeg Mekotek,"Ngrebeg Mekotek adalah tradisi yang berkembang di Desa Munggu, Kecamatan Mengwi, Bali pada hari raya Kuningan oleh 12 banjar (komunitas) yang ada di Desa Adat Munggu. Tradisi ini merupakan kegiatan mengarak senjata berupa tombak kayu oleh pemuda laki-laki keliling desa. Ngrebeg Mekotek berfungsi sebagai upaya untuk melindungi desa dari bala atau bencana. Para pemuda yang berperan sebagai pemeran dalam tradisi ini melambangkan keberanian dan semangat kebersamaan dalam menjaga keselamatan bersama. Dalam pelaksanaan Ngrebeg Mekotek, alat dan bahan yang digunakan adalah tombak kayu atau tongkat galah dari kayu pulet dengan panjang 2 hingga 3,5 meter. Alat ini menjadi simbol dari keberanian dan semangat para pemuda dalam menjalankan tradisi. Tradisi ini khususnya dilakukan oleh kaum laki-laki berumur antara 12 hingga 16 tahun, sehingga memiliki unsur demografi yang terbatas pada kelompok usia tertentu.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
