Alie Begente,"Alie Begente merupakan makanan tradisional masyarakat Betawi, terutama di Condet, DKI Jakarta. Makanan ini merupakan hasil akulturasi budaya China, Arab, Jawa dan Betawi. Alie Begente terbuat dari nasi gosong yang digoreng dengan gula. Alie Bagente berfungsi sebagai hidangan ringan rakyat yang hadir pada bulan Ramadan. Makanan ini popular karena mudah dan sederhana dan bahannya menggunakan sisa makan yang tidak habis. Makanan ini dekat dengan ajaran Islam dan China yang mengajarkan untuk tidak menyianyiakan makanan. Cara Membuat Ali Bagente adalah dengan mengeringkan nasi sisa hingga mengeras lalu digoreng hingga matang. Untuk menambah rasa boleh menambahkan gula yang dikentalkan.",Kemahiran dan Kerajinan Tradisional
ASINAN BETAWI,"Asinan Betawi, sebuah kuliner yang berasal dari Betawi, terkenal dengan rasa asin yang mendominasi. Makanan ini terdiri dari aneka sayuran mentah yang disajikan dengan kacang tanah, kerupuk mie kuning, dan diberi kuah asinan. Sisi sejarahnya mencerminkan pengaruh kuat dari pengolahan sayur-sayuran menjadi asinan yang kemungkinan besar berasal dari pengaruh masyarakat non-Betawi di Batavia. Salah satu ciri khasnya adalah rasa asin yang berasal dari sawi asin, yang dihasilkan melalui fermentasi rendaman air cuka dan asam garam. Proses pembuatan sawi asin sendiri terkait erat dengan teknik fermentasi dari budaya Tionghoa, Arab, atau India. Kerupuk mie kuning yang menjadi pelengkap asinan Betawi juga diduga merupakan akulturasi dari masyarakat Tionghoa yang tinggal di Batavia, menjadi salah satu bentuk mie yang biasa dikonsumsi oleh masyarakat Tionghoa. Dalam perspektif masyarakat Betawi, asinan bukan hanya sekadar kuliner, tetapi juga menjadi simbol kebahagiaan dan kegembiraan. Bagi mereka, asinan menjadi hidangan di waktu senggang saat berkumpul dengan keluarga atau teman. Kuliner ini mencerminkan akulturasi budaya dari berbagai suku bangsa yang tinggal di Jakarta serta menandai kesuburan tanah di Betawi, memungkinkan pengembangan berbagai jenis sayuran. Dalam konteks sosial, asinan menjadi simbol kebahagiaan yang terasa pada momen-momen tertentu seperti saat berbuka puasa, arisan keluarga, atau upacara adat seperti Baritan. Proses pembuatan asinan Betawi mirip dengan pembuatan acar dan melibatkan bumbu-bumbu segar seperti cuka dan cabai dalam kuahnya. Kuah asinan Betawi terbuat dari bumbu kacang yang memberikan rasa gurih dan dicampur dengan cuka dan cabai untuk memberikan rasa segar pedas. Makanan ini dijejali dengan sayuran yang menyehatkan dan kerupuk mie kuning serta merah sebagai pelengkap. Perbedaannya dengan asinan dari daerah lain seperti Asinan Bogor adalah warna kuahnya yang merah, dihasilkan dari campuran saripati cabai merah dan gula pasir.",Kemahiran dan Kerajinan Tradisional
Bir Pletok,"Bir Pletok adalah minuman khas Betawi, DKI Jakarta. Minuman ini termasuk dalam kategori minuman hangat dan menyegarkan, dan tidak mengandung alkohol. Bir Pletok dibuat dari bahan rempah seperti jahe, serai, kayu manis, dan daun pandan. Minuman ini terkenal sebagai minuman tradisional khas masyarakat Betawi. Selain memberikan sensasi hangat, bir pletok juga memiliki khasiat dalam memperlancar peredaran darah. Warga Betawi umumnya mengonsumsi minuman ini pada malam hari atau saat cuaca sedang dingin untuk menghangatkan tubuh. Bir pletok menjadi simbol kehangatan dan keramahtamahan dalam budaya Betawi. Bir pletok menjadi bagian dari identitas kuliner Betawi dan menjaga warisan budaya yang telah ada sejak zaman Belanda Minuman ini sering dikonsumsi dalam acara-acara sosial, perayaan, atau pertemuan keluarga. Bir pletok dipercayai bermanfaat kesehatan karena mengandung rempah-rempah. Bir pletok menggunakan rempah-rempah seperti jahe, serai, kayu manis, dan daun pandan dihaluskan dan direbus bersama air. Campuran rempah-rempah lalu disaring untuk mendapatkan air rebusan yang kaya akan cita rasa rempah. Minuman ini dapat disajikan hangat dan biasanya dihidangkan dalam cangkir atau gelas. Bir pletok dapat dinikmati oleh semua kalangan, baik pria maupun wanita, dan tidak terdapat batasan gender dalam konsumsinya.",Kemahiran dan Kerajinan Tradisional
Bubur Ase,"Bubur Ase adalah makanan khas Betawi dari DKI Jakarta yang memiliki keunikan dalam komposisi dan paduan rasa. Bubur Ase merupakan perpaduan budaya Tionghoa, Timur Tengah, dan Eropa dalam pencampuran bahan dan pengaruh masakan asing yang diadaptasi oleh masyarakat Betawi. Bubur Ase biasanya dinikmati sebagai sarapan dan memiliki reputasi sebagai bubur yang ""dingin"" karena bubur nasi tidak perlu dalam kondisi panas. Hidangan ini terdiri dari bubur nasi yang disantap bersama kuah ase dan asinan, serta ditaburi dengan berbagai taburan seperti kacang tanah goreng, kucai, kacang kedelai goreng, teri goreng, dan kerupuk. Kuah ase yang disiramkan harus tetap panas agar saat bercampur dengan bubur memberikan sensasi hangat. Bubur Ase mencerminkan kekayaan kuliner dan budaya Betawi dan menjadi pilihan menu sarapan yang populer di kalangan masyarakat Jakarta. Bubur Ase sering hadir dalam ritus adat seperti Ritus Bebaritan/Baritan atau Sedekah Bumi, sebagai ungkapan syukur atas panen yang melimpah dan sebagai bentuk penghormatan terhadap roh halus pelindung kampung. Bubur ini ßmenjadi hidangan dalam ritus kelahiran dan selamat tujuh bulan bayi. Bubur ase memiliki makna simbolis dan memainkan peran penting dalam menjaga keharmonisan dan tradisi adat masyarakat Betawi. Bahan utama bubur Ase adalah beras nasi yang diolah menjadi bubur. Kuah ase dibuat dengan mencampurkan daging sapi, kentang, dan beberapa bumbu rempah. Bubur nasi yang disiram dengan kuah ase disajikan dengan asinan, serta ditaburi dengan berbagai taburan seperti kacang tanah goreng, kucai, kacang kedelai goreng, teri goreng, dan kerupuk.",Kemahiran dan Kerajinan Tradisional
Gabus Pucung,"Gabus Pucung adalah makanan wajib pada setiap kenduri, ritual, bahkan menu harian dari masyarakat Betawi pinggir. Gabus Pucung biasa disajikan hangat agar tidak terasa amis dengan tampilan warna hitam mirip dengan Rawon. Gabus Pucung biasanya disantap dengan lalap dan sambal kencur. Fungsi Gabus Pucung adalah untuk menjadi identitas bagian tradisi khas kuliner Betawi. Gabus Pucung dapat menguatkan hubungan antar masyarakat Betawi. Kombinasi bahan lokal dan cara memasak yang khas membuat Gabus Pucung memiliki rasa dan aroma yang unik. Bahan yang digunakan dalam Gabus Pucung adalah ikan gabus, keluwak (pucung), rempah, dan bumbu dapur. Gabus Pucung umum ditemui di Masyarakat Betawi Pinggir.",Kemahiran dan Kerajinan Tradisional
Gado-gado Betawi,"Gado-gado Betawi merupakan campuran sayuran yang direbus dan dicampur dengan bumbu kacang khas Betawi. Fungsi sosial dari Gado-Gado Betawi adalah sebagai identitas makanan yang digemari oleh Masyarakat karena populer dengan rasanya lezat dan kaya nutrisi karena terbuat dari campuran sayuran yang direbus. Gado-Gado juga sering dijadikan sajian yang relatif murah dan dijadikan sebagai menu makanan keseharian atau dihidangkan di acara spesial. Bahan yang diperlukan adalah sayur-sayuran seperti mentimun, tahu tempe goreng, labu siem, nangka muda, kangkung, dan tauge. Selain itu, diperlukan juga bumbu kacang yang terbuat dari kacang tanah yang ditumbuk halus bersama cabai rawit, garam, dan gula. Gado-gado Betawi biasanya dihidangkan dengan tambahan irisan telur, kentang rebus, bawang goreng, emping goreng, kerupuk, dan perasan jeruk nipis. Makanan ini dapat ditemukan dengan mudah di Jakarta, baik di restoran maupun rumah makan. Gado-gado Betawi dapat disantap dengan nasi panas atau lontong, sesuai dengan selera masing-masing.",Kemahiran dan Kerajinan Tradisional
Kerak Telor,"Kerak telor adalah makanan asli daerah Jakarta (Betawi) yang telah dikenal sejak zaman Belanda. Makanan ini berbahan dasar beras ketan dengan telur, dan biasanya disajikan dalam bentuk bulat. Kerak telor memiliki lapisan renyah di bagian luar dan tekstur lembut di dalam. Sajian kerak telor biasanya diiringi dengan secangkir teh atau kopi, dan makanan ini sangat nikmat untuk disantap pada pagi, sore, atau malam hari. Kerak telor menjadi Makanan Tradisional khas yang disajikan dalam berbagai acara seperti pernikahan, khitanan, dan perayaan-perayaan  lainnya. Makanan ini menggambarkan perpaduan cita rasa yang unik antara rempah-rempah Indonesia dengan pengaruh  Belanda dalam penggunaan telur dan bahan-bahan lainnya. Makanan ini terbuat dari beras ketan putih dengan lapisan telur. Kemudian digunakan taburan bumbu-bumbu dan bahan yang dihaluskan, seperti ebi, bawang merah goreng, kelapa sangrai, cabai merah, kencur, jahe, merica butiran, garam, dan gula pasir. Alat yang digunakan dalam pembuatan kerak telor umumnya adalah wajan dan spatula untuk memasak nasi ketan dan telur, serta ulekan untuk menghaluskan bumbu. Proses pembuatannya dimulai dengan memasak nasi ketan hingga matang, kemudian ditaburi dengan telur ayam yang dikocok. Setelah itu, ebi yang sudah disangrai kering ditambahkan ke dalam adonan dan dimasak hingga matang. Selanjutnya, bumbu-bumbu dihaluskan dan ditaburkan di atas kerak telor yang sudah matang.",Kemahiran dan Kerajinan Tradisional
Ketupat Sayur Babanci,"Ketupat Sayur Babanci adalah salah satu Makanan Tradisional Betawi yang umumnya disajikan sebagai pelengkap ketupat pada Hari Raya Lebaran, baik Idul Fitri maupun Idul Adha, terutama di wilayah Betawi Tengah seperti Kemayoran dan Cempaka Putih. Ketupat Babanci merupakan sajian yang terdiri dari ketupat yang disiram dengan Sayur Babanci. Dalam persiapan dan penyajiannya, Ketupat Sayur Babanci melibatkan partisipasi dari berbagai anggota keluarga. Ketupat Sayur Babanci merupakan Makanan Tradisional yang menjadi hidangan khas Lebaran masyarakat Betawi. Ketupat sebagai sumber karbohidrat yang disukai pada saat Lebaran memiliki nilai tradisional dan filosofis sebagai simbol kesucian hati dan penahan hawa nafsu. Bahan daging dalam Sayur Babanci melambangkan kemakmuran , dan kelapa menjadi lambang kesejahteraan. Bumbu dan rempah yang digunakan mencerminkan akulturasi tiga budaya, yaitu Arab, Tionghoa dan Betawi. Sayur Babanci, meskipun disebut sayur, sebenarnya tidak menggunakan bahan sayuran dalam racikannya. Bahan utama Sayur Babanci adalah daging sapi, khususnya bagian kepala sapi. Selain itu digunakan daging kelapa muda sebagai tambahan yang memberikan rasa gurih. Pengaruh Arab terlihat dalam penggunaan rempah seperti jintan, pengaruh Tionghoa terjadi karena makanan ini banyak dimasak oleh masyarakat Tionghoa-Betawi, dan pengaruh Betawi asli terlihat pada penggunaan rempah unik seperti botor, kedaung, dan tai angin.",Kemahiran dan Kerajinan Tradisional
Kue Akar Kelape,"Kue Akar Kelape merupakan salah satu kue tradisional masyarakat Betawi yang sering disajikan pada hari raya Idul Fitri. Kue ini memiliki bentuk yang menyerupai akar kelapa, yang menjadi asal-usul nama kue tersebut. Rasanya yang gurih dan manis menjadikan kue Akar Kelape sangat populer di kalangan masyarakat Betawi. Kue Akar Kelape memiliki makna filosofis yang mengajarkan pentingnya menghargai sesuatu yang tidak hanya dilihat dari penampilannya, tetapi juga dari kualitas dan manfaat yang terkandung di dalamnya. Pada hari raya, kue Akar Kelape menjadi salah satu kue kering yang wajib ada bersama dengan makanan lainnya seperti rengginang dan kacang goreng. Selain itu, kue ini juga sering disajikan pada acara hajatan lainnya. Kue Akar Kelape dapat disajikan dalam berbagai acara dan menjadi oleh-oleh khas Betawi yang mudah ditemukan di toko-toko oleh-oleh di Jakarta. Akar Kelape menjadi Makanan Tradisional yang penting dalam perayaan hari raya Idul Fitri dan acara-acara spesial  lainnya. Kue ini menjadi simbol kelezatan dan keberagaman kuliner Betawi. Kue ini menjadi sarana memperkenalkan budaya Betawi kepada wisatawan dan mengangkat ekonomi lokal. Kue Akar Kelape terbuat dari campuran tepung beras putih, kelapa parut, tepung sagu, dan bahan tambahan lainnya sesuai resep yang digunakan. Bahan-bahan tersebut dicampur dan diolah menjadi adonan yang kemudian dibentuk menyerupai akar kelapa. Proses pembuatannya melibatkan penggilingan, pencampuran bahan, pembentukan adonan, dan pemanggangan hingga matang.",Kemahiran dan Kerajinan Tradisional
Kue Sengkulun,"Kue Sengkulun merupakan kue tradisional yang memiliki sejarah panjang dalam budaya rakyat Betawi. Menurut cerita rakyat, kue ini muncul pada tahun 1513-1514 sebagai persembahan kepada Raja Pakuan. Seiring dengan masuknya Portugis ke wilayah Malaka pada tahun 1521, masih ada rakyat di wilayah Batavia yang memihak kepada Raja Tanjung Jaya dari Kerajaan Sunda Padjajaran. Kue Sengkulun hadir sebagai persembahan dari rakyat kepada Keraton (Kulun) Sunda Kelapa, sebagai simbol kesetiaan dan penghormatan kepada raja, orang yang dituakan atau pembesar. Kue Sengkulun sebagai Makanan Tradisional merupakan kue persembahan dalam berbagai acara adat Betawi, seperti lamaran, pernikahan, dan perayaan hari raya Idul Fitri dan Idul Adha. Kue ini menjadi simbol untuk mempererat hubungan suami-istri, antara anggota keluarga, dan komunitas. Kue Sengkulun juga digunakan dalam upacara Sedekah Bumi, yang merupakan ungkapan rasa terima kasih kepada Dewi Sri yang diadakan pada bulan haji. Kue dibuat dengan mencampur tepung ketan, sagu, dan gula merah dengan air daun pandan, kemudian dikukus hingga matang. Setelah mengeras, kue dipotong-potong menjadi persegi dan disajikan dengan taburan kelapa parut serta hiasan daun pandan. Rasanya gurih dengan paduan garam dan kelapa parut. Kue Sengkulun biasanya disajikan pada petang hari dengan teh atau kopi sebagai pelengkap.",Kemahiran dan Kerajinan Tradisional
