Bentengan Betawi,"Bentengan Betawi adalah salah satu permainan tradisional berkelompok yang berasal dari masyarakat Betawi di DKI Jakarta. Permainan ini melibatkan ketangkasan, kecepatan berlari, dan strategi yang handal. Tujuan utama permainan bentengan adalah menyerang dan mengambil alih ""benteng"" atau markas lawan. Bentengan merupakan permainan yang sangat baik digunakan untuk berolahraga karena setiap pemain harus berlari untuk menjaga benteng dan menangkap lawan. Tema Bentengan Betawi adalah menjaga kebugaran jasmani, memupuk kerja sama antar kelompok, dan mempromosikan sosialisasi dalam masyarakat. Permainan ini melatih kecepatan, kelincahan, daya tahan, dan kekuatan fisik para pemain karena mereka terus berlari dalam permainan. Permainan bentengan mengajarkan nilai-nilai seperti sportivitas, kejujuran, solidaritas, keuletan, dan ketekunan. Permainan ini mengajarkan anak-anak dapat belajar bekerja sama sebagai tim, mengembangkan strategi, dan melatih kemampuan berpikir taktis. Permainan ini dimulai dengan dua kelompok yang masing-masing terdiri dari 4 hingga 8 orang. Setiap kelompok memilih tiang atau pilar sebagai ""benteng"" atau markas mereka. Di sekitar benteng tersebut, terdapat area aman di mana anggota kelompok yang berada di area tersebut tidak dapat disentuh oleh lawan. Para pemain berusaha untuk menyentuh lawan dan membuatnya ""tertawan"". Pemain harus sering kembali dan menyentuh benteng mereka sendiri karena waktu terakhir menyentuh benteng menentukan siapa yang menjadi penjaga benteng. Pemenangnya adalah kelompok yang dapat menyentuh benteng lawan dan meneriakkan kata ""benteng"".",Tradisi dan Ekspresi Lisan
Dodol Betawi,"Dodol Betawi adalah jenis dodol khas dengan warna hitam dan kecokelatan dengan variasi rasa yang lebih sedikit dibandingkan dodol daerah lain. Dodol Betawi umumnya menjadi penganan khusus perayaan seperti pesta, bulan Ramadhan, Idul Fitri, atau Idul Adha, dan pada hari raya biasanya dodol Betawi laris terjual. Pembuatan dodol Betawi dilakukan secara bersama-sama keluarga besar Betawi, dengan pria bertugas mengaduk adonan, dan Wanita menyiapkan bahan yang dibutuhkan. Setelah matang, dodol Betawi dibagi secara adil berdasarkan kontribusi masing-masing anggota keluarga. Untuk membuat dodol Betawi, beberapa bahan dasar yang dibutuhkan adalah gula merah, gula pasir, santan kelapa, dan ketan hitam. Bahan-bahan ini kemudian dicampur dalam kuali besar dengan ukuran diameter satu meter untuk menghasilkan sekitar 20 besek dodol Betawi. : Proses pembuatan dodol Betawi membutuhkan tenaga ekstra untuk mengaduk adonan dodol selama tujuh jam tanpa henti agar dodol memiliki tekstur yang lembut dengan rasa yang merata.",Kemahiran dan Kerajinan Tradisional
Dukun Beranak Betawi,"Dukun beranak Betawi merupakan figur perempuan yang memegang peranan penting dalam masyarakat, khususnya dalam konteks kehamilan, persalinan, dan perawatan pasca-melahirkan. Tradisi dukun beranak dan dukun bayi di masyarakat Betawi didominasi oleh perempuan yang memiliki kemampuan dalam mengurus kehamilan, persalinan, hingga perawatan pasca-melahirkan. Mereka bukan hanya bertugas dalam memberikan perawatan fisik, tetapi juga memberi nasihat terkait nutrisi, pantangan, dan tindakan preventif terhadap gangguan supranatural, seperti kuntilanak, yang dipercaya bisa mengganggu perempuan hamil. Peran ini diperankan oleh orang yang dianggap sebagai figur yang dipercaya dan berpengaruh di komunitas mereka. Fungsi sosial dukun beranak Betawi tidak hanya terbatas pada aspek medis dan kesehatan, tetapi juga mencakup berbagai ritus dan praktik kearifan lokal. Dukun beranak juga berperan sebagai penasehat dalam hal nutrisi, pantangan, dan pengelolaan berbagai aspek spiritual selama proses kehamilan, yang dianggap kritis terutama pada usia tujuh bulan kehamilan. Mereka juga bertanggung jawab dalam menyelenggarakan upacara-upacara tradisional, seperti upacara nujuh bulan yang bertujuan memberikan rasa aman bagi keluarga yang sedang mengalami proses kehamilan. Selain itu, dukun beranak juga terlibat dalam proses pasca-melahirkan, termasuk dalam memberikan perawatan pada ibu dan bayi, serta melaksanakan berbagai upacara dan praktik setelah kelahiran. Alat dan proses yang digunakan oleh dukun beranak Betawi melibatkan praktik-praktik tradisional seperti pembacaan mantra atau jampe-jampe pada benda-benda tajam untuk melindungi perempuan hamil dari gangguan supranatural. Dukun juga memiliki pengetahuan medis yang diperoleh secara turun-temurun dan dari pengalaman langsung saat membantu persalinan bersama ibu atau nenek mereka. Mereka juga memiliki pemahaman akan tanda-tanda kehamilan dan berbagai ritual serta praktik lokal yang harus dijalani oleh perempuan hamil. Dukun beranak Betawi biasanya merupakan figur yang sangat dikenal di lingkungan mereka, dihormati, dan dipercaya dalam memberikan bantuan dan nasihat terkait proses kehamilan, persalinan, serta perawatan pasca-melahirkan.",Pengetahuan dan kebiasaan perilaku mengenai alam dan semesta
Galasin Betawi,"Galasin adalah permainan tradisional khas DKI Jakarta, yang melibatkan dua grup dengan tujuan meningkatkan kekompakan untuk menghadang lawan dan menjaga garis batas. Galasin memiliki fungsi sebagai permainan yang mempromosikan kebersamaan dan kekompakan. Setiap anggota tim harus bekerjasama untuk menghadang lawan untuk meraih kemenangan. Permainan ini juga mengandung makna ketelitian, disiplin, dan keberanian menghadapi lawan. Permainan ini melibatkan dua grup, di mana masing-masing grup terdiri dari 3 hingga 8 orang. Tujuan dari permainan ini adalah menghadang lawan agar tidak bisa melewati garis ke baris terakhir secara bolak-balik. Galasin menggunakan lapangan bulu tangkis atau lapangan segi empat yang dibagi menjadi 6 bagian dengan garis batas yang ditandai. Anggota grup yang berperan sebagai penjaga harus menghalangi lawan dan menjaga garis batas, sementara anggota lainnya berusaha untuk melewati garis tersebut. Permainan ini menuntut kecepatan dan strategi dari setiap anggota tim.",Tradisi dan Ekspresi Lisan
Golok Betawi,"Golok Betawi adalah senjata tradisional berbentuk parang atau pedang dengan ukuran lebih pendek dan volume lebih tebal dari pedang biasa. Golok Betawi biasa diidentikkan dengan kegagahan seorang laki-laki Betawi. Fungsi dari Golok adalah sebagai golok kerja dan golok simpenan (sorenan). Golok kerja biasa disebut juga goblongan bendo atau golok dapur, digunakan untuk memudahkan berbagai pekerjaan seperti memotong, membelah, meruncingkan kayu, dan memotong daging. Golok sorenan digunakan pada acara tertentu, seperti menyembelih hewan, danjuga sebagai aksesoris perlindungan dengan digantungkan di sekitar penggang (sorenan pinggang). Dalam Masyarakat Betawi, pemilihan bahan untuk membuat Golok menjadi penting karena terkait dengan status sosial pemiliknya. Gagang golok biasa terbuat dari bahan yang mewah, seperti gading, tulang hewan, atau kayu seperti batang jambu dan rambutan. Proses pembuatan Golok Betawi melibatkan pengrajin dan seniman yang ahli dalam mengukir gagang golok. Golok Betawi diproduksi dalam berbagai ukuran dan desain, sesuai dengan kebutuhan pengguna dan peruntukannya.",Kemahiran dan Kerajinan Tradisional
Hadroh Betawi,"Hadro Betawi adalah salah satu seni musik tradisional asal Jakarta, yang diyakini bermula di Jakarta Selatan pada akhir abad ke-19 dan menyebar ke Jakarta Pusat. Seni music ini memiliki irama yang dekat dengan music Betawi di wilayah pinggiran seperti Rebana Biang, Tanjidor, dan Topeng Betawi. Salah satu tokoh legendaris dalam Hadro Betawi adalah Modehir, sorang pemain Hadro tuna Netra dengan kemampuan teknis yang baik, dan juga memperkaya irama pukulan hadro. Hadro utamanya berfungsi sebagai hiburan bagi Masyarakat, meskipun terdapat sedikit unsur sakral. Hardro Betawi juga menonjolkan keterampilan musik dan keindahan vokal, bahkan memiliki Adu Zikir, yang merupakan lomba menghafal syair-syair Diwan Hadro dan kitab maulid lainnya. . Hadro Betawi juga sering ditampilkan dalam acara-acara sosial, perkawinan, dan hajatan di masyarakat Betawi Alat musik yang digunakan dalam Hadro Betawi antara lain Hadro berukuran 25 cm - 35 cm, dan tiga pasang lingkaran logam yang dipasang pada kayu kelongkongan sebagai kecrek. Dalam Hadro Betawi, terdapat tiga instrumen utama, yaitu Bawa yang berfungsi sebagai komando dengan irama pukulan yang lebih rapat, Ganjil/Seling sebagai pengiring, dan Gedug yang memiliki fungsi mirip bass.",Tradisi dan Ekspresi Lisan
Kembang Kelape,"Kembang Kelapa, juga dikenal sebagai manggar, adalah sebuah properti perhiasan yang digunakan dalam berbagai kegiatan dan acara di DKI Jakarta. Nama ""Kembang Kelapa"" berasal dari pohon kelapa yang melimpah di daerah tersebut. Kembang Kelapa dapat ditempatkan pada berbagai titik strategis dalam suatu acara atau tempat. Biasanya, Kembang Kelapa diletakkan di samping kanan dan kiri pintu masuk, pada pelaminan, panggung, atau digantung di plafon. Kembang Kelapa merupakan kerajinan yang digunakan sebagai dekorasi statis dalam ruang terbuka maupun ruang tertutup. Selain itu, Kembang Kelapa juga digunakan sebagai dekorasi dinamis pada acara-acara seperti festival, atraksi pariwisata, dan pentas seni budaya seperti kirab dan pengantin. Kembang Kelapa memberikan sentuhan estetika, nuansa megah, meriah, dan simbol kebersamaan dan keterbukaan dalam kehidupan masyarakat DKI Jakarta, serta menggambarkan multikulturalisme  yang ada di kota tersebut. Kembang Kelapa terbuat dari lidi yang dibungkus dengan kertas atau plastik warna-warni. Bentuknya menyerupai bunga dengan ketinggian sekitar setengah meter. Dalam perkembangannya, terdapat dua varian utama dari Kembang Kelapa, yaitu kembang kelapa tiang dan kembang kelapa bokor.",Kemahiran dan Kerajinan Tradisional
Ketupat Lepas Betawi,"Ketupat Lepas adalah sebuah ritual yang berasal dari budaya Betawi, khususnya dalam pertunjukan Topeng Betawi. Ritual ini terkait dengan nazar si empunya hajat, yang merupakan janji yang diucapkan untuk melunasi kewajiban tertentu. Upacara ini dilakukan oleh perkumpulan teater Topeng Betawi di tempat-tempat terbuka seperti lapangan atau panggung terbuka. Upacara Ketupat Lepas Betawi adalah penanda bahwa si empunya hajat telah memenuhi nazar sekaligus wujud rasa syukur. Nazar juga dapat diucapkan untuk menolak bala, yaitu ketika keluarga mengalami musibah, seperti kematian dan penyakit. Meskipun aspek sakral dan magis dari Topeng Betawi telah berkurang, upacara Ketupat Lepas masih dilakukan sebagai bagian dari prosesi pernikahan atau sunatan sebagai tanda pelunasan nazar si empunya hajat. Dalam upacara Ketupat Lepas, digunakan beberapa alat dan bahan seperti ketupat yang terbuat dari kelapa muda, uang logam, bunga, dan beras kuning. Upacara Ketupat Lepas dilakukan dengan meletakkan ketupat di atas beras kuning yang bercampur dengan uang logam. Ritual ini juga melibatkan anak-anak yang akan berebut uang yang tercecer setelah ketupat dihentakkan. Upacara ini disaksikan oleh Kembang Topeng, yang menandakan bahwa si empunya hajat telah melunasi nazar tersebut. Mantra yang dibacakan dalam upacara ini dapat berbeda-beda tergantung pada kemahiran ketua upacara.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Nujuh Bulanin Betawi,"Nujuh Bulanin Betawi merupakan upacara tradisional yang dilakukan oleh masyarakat Betawi, DKI Jakarta pada bulan ketujuh kehamilan seorang Wanita, di mana pada saat itu janin dianggap telah sempurna dan telah diberi roh oleh Tuhan. Nujuh Bulanin berfungsi sebagai upacara agar bayi yang akan lahir kelak dapat tumbuh menjadi anak yang saleh, berbudi pekerti luhur, dan patuh kepada orang tuanya. Proses upacara Nujuh Bulanin menyajikan tujuh macam bunga yang memiliki makna simbolis untuk bayi yang akan lahir dan persiapan penganan rujak yang terdiri dari tujuh macam buah-buahan yang dihidangkan kepada para tamu sebagai ramalan jenis kelamin bayi yang akan lahir. Dalam proses upacara, terdapat dukun beranak yang memainkan peran sentral dalam melaksanakan seluruh rangkaian acara, dan kelompok pengajian ibu-ibu yang membaca doa-doa dan ayat-ayat suci Al Quran. Upacara ini juga melibatkan pihak keluarga dari ibu dan suami, para tetangga, dan tamu lainnya yang hadir untuk berpartisipasi dan memberi doa restu bagi ibu hamil dan bayi yang dikandungnya.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Ondel-Ondel,"Ondel-ondel adalah salah satu pertunjukan rakyat yang telah ada di Jakarta dan sekitarnya selama berabad-abad dan menjadi bagian dari warisan budaya Betawi. Meskipun pertunjukan serupa ada di beberapa tempat lain di Indonesia seperti Badawang di Priangan, Barongan Buncis di Cirebon, dan Barong Landung di Bali, namun keunikan ondel-ondel membedakannya. Awalnya, ondel-ondel digunakan sebagai personifikasi leluhur atau nenek moyang yang menjadi pelindung keselamatan kampung dan warganya. Bentuknya adalah boneka besar dengan rangka anyaman bambu, tingginya sekitar 2,5 meter, dan memiliki ciri khas wajah dengan topeng atau kedok serta mata bulat yang melotot. Biasanya, ondel-ondel digunakan untuk memeriahkan arak-arakan seperti pengantin sunat dan acara perayaan, dan lazimnya diarak oleh sepasang laki-laki dan perempuan. Fungsi sosial ondel-ondel meliputi memeriahkan berbagai perayaan seperti ulang tahun kota Jakarta atau acara arak-arakan lainnya. Dahulu, selain memeriahkan arak-arakan, ondel-ondel juga sering melakukan pertunjukan keliling atau Ngamen terutama pada perayaan Tahun Baru baik masehi maupun imlek. Penikmat utama seni ondel-ondel adalah para petani termasuk abangan, terutama di pinggiran kota Jakarta dan sekitarnya. Pembuatan ondel-ondel dilakukan dengan tertib, mulai dari pembuatan kedoknya hingga anyaman badannya dengan menggunakan bahan bambu. Sebelum pembuatan dimulai, diselenggarakan juga sesajen dan pembakaran kemenyan sebagai bagian dari upacara, serta mantra kepada roh halus yang dianggap penunggu ondel-ondel. Dalam prosesnya, pembuatan ondel-ondel memerlukan bambu sebagai rangka utama, sedangkan untuk bagian rambutnya digunakan ijuk. Prosesnya melibatkan keseluruhan komunitas dengan tahapan yang terstruktur dan sering kali disertai dengan upacara tradisional seperti pembakaran kemenyan. Di sebagian besar, penggunaan ondel-ondel tidak terikat pada gender tertentu, dan pemikulnya berada di dalam boneka tersebut untuk dapat menggerakkannya dengan leluasa. Sosok ondel-ondel sangat erat dengan kehidupan masyarakat Betawi, dan meskipun nilai kebudayaannya tetap terjaga, popularitasnya dalam acara kota modern telah berkurang seiring dengan perkembangan teknologi dan gaya hidup zaman sekarang.",Seni Pertunjukan
