Dolop,"Dolop adalah tradisi yang dilakukan suku Dayak Tahol semenjak mereka belum mengenal agama tetapi mempercayai Amangun atau Allah sebagai Sang Pencipta. Dolop dilakukan untuk menyelesaikan sengketa dengan kasus hukum yang terjadi dalam komunitas mereka. Fungsi dari Dolop adalah sebagai jalan terakhir untuk menyelesaikan sengketa dalam Masyarakat suku Daya Tahol. Proses Dolop dilakukan dengan persetujuan, seperti pemberian denda kepada pelaku atau pihak yang bersalah, dan persiapan dalam ritual Dolop. Denda yang dibayar biasanya berupa harta atau hewan seperti kerbau, sapi, motor, tanah, rumah. Persiapan dalam ritual Dolop melibatkan bahan seperti beras, bulu ayam, kain kuning, kayu lambuku, telur dan batang pisang. Dolop dilakukan dalam beberapa tahap, yaitu: - Pembukaan oleh pengurus adat - Pemanggilan Amangun dan entitas spiritual lainnya, seperti penunggu gunung, Sungai, langit, dan darat - Tahap menyelam, siapa yang pertama muncul dialah yang bersalah - Penutupan Tradisi ini tidak secara khusus mengatur peran berdasar jenis kelamin, dan melibatkan lingkungan alam yang terkait Sungai, gunung, dan daratan.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Ma'iwuu,"Ma'iwuu merupakan sebuah ritual khas suku Dayak Balangan di kecamatan Halong yang berhubungan dengan upacara pengobatan. Pada suku Dayak Balangan upacara pengobatan dibedakan berdasarkan pasien anak-anak dan dewasa. Jika pasien adalah bayi atau anak-anak, maka upacara pengobatan dilakukan dengan membuat patung kecil sesuai dengan jenis kelamin si anak. Patung kecil tersebut berfungsi media transformasi penyakit, yaitu sebagai penganti fisik si pasien. Bagi orang dewasa tahap pengobatan diawali dengan memeriksa (iyahantar), dilanjutkan dengan tahap pemeriksaan lebih lanjut (italanjak). Biasanya ini dilakukan untuk penyakit mendadak atau darurat seperti kena bisa atau racun. Bila sisakit ternyata belum sembuh maka dilakukanlah Ma'iwuu sebagai upacara pengobatan. Bagi masyarakat Ma'iwuu menjadi ritus pengobatan untuk sakit berat yang disertai dengan niat kuat untuk sembuh. Pasien juga harus menetapkan niat, bila sembuh akan membayar nazar. Karena itu Maiwu juga merupakan upacara hajat yang wajib dibayar bila penderita sudah sembuh dari penyakitnya. Karena itu Ma'iwuu mengandung makna doa mohon keselamatan sekaligus tanda syukur yang kuasa saat diberi kesehatan. Alat dan bahan yang digunakan dalam Ma'iwuu biasanya berupa bahan sesajian. Sesajian berupa bubur putih dan kuning serta ayam panggang yang dibelah dadanya (parapah), disajikan agar roh-roh tidak mengangu. Upacara dilengkapi perangkat pengobatan berupa 2 patung kecil berwujud laki-laki dan perempuan. Balian  (pemimpin upacara) kemudian membaca mantra-mantra sambil menari diiringi oleh patati (pembantu balian) yang selalu menjaga balian agar tidak terancul (kesurupan), dan diiringi musik gamelan (bagamal) dilengkapi dengan saron, babon, atau hanya dengan gendang saja. Selama pengobatan berlangsung di depan rumah diberi tanda didepan daun sawang kambat atau rinjuang yaag digantung diteras rumah sebagai tanda berpantang tidak menerima tamu karena dianggap akan mengganggu proses penyembuhan. Orang yang bertamu di rumah bertanda tersebut akan terkena denda adat karena telah melanggar pantang.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Mamat,"Mamat adalah sebuah upacara besar dan sakral yang dilaksanakan oleh suku Dayak Kenyah sebagai bentuk rasa syukur kepada sang pencipta atas kemenangan yang diraih dalam medan perang. Upacara ini juga dikenal sebagai Puheq, yang artinya ""penyucian diri"", menggambarkan pentingnya aspek spiritual dan ritual dalam momen ini. Mamat merupakan momentum bagi seluruh masyarakat untuk memohon keselamatan, kedamaian, kemenangan, keberanian, kesehatan, dan kesejahteraan dari sang pencipta. Mamat adalah upacara untuk memperkuat ikatan spiritual antara masyarakat Dayak Kenyah dengan alam semesta dan sang pencipta. Mamat menjadi momen di mana masyarakat bersatu dalam rasa syukur, memohon keselamatan, dan memberikan persembahan kepada dewa. Mamat juga berfungsi sebagai penyucian diri dan pengampunan dosa bagi kaum laki-laki yang terlibat dalam medan perang. Upacara Mamat dapat berlangsung selama 1-6 hari, tergantung pada situasi dan kondisi saat pelaksanaan, dan dilaksanakan oleh semua kaum laki-laki dengan bantuan dua anak gadis suci. Dalam pelaksanaannya digunakan Belawing (tugu berhala) sebagai tempat persembahan berupa darah binatang (babi) kepada dewa. Kemudian dilakukan prosesi Pelubit Batu Tului (Menguling Batu Tului) di beranda rumah panjang untuk menangkal hal-hal jahat  dan prosesi Punan Bawe sebagai simbol usaha mendapatkan bawe (keberuntungan atau kebaikan ) oleh kaum laki-laki.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Melah Dan Lakin Ngayau,"Melah dan Lakin Ngayau adalah dua upacara adat yang dilakukan oleh suku bangsa Dayak Kayan di Kalimantan Utara. Upacara adat Melah dipimpin oleh Lake Dayung dan dilakukan di rumah-rumah panjang (Amin Aru) dengan tujuan pembasuhan atau pembersihan diri ketika terjadi pelanggaran terhadap hukum adat di tengah-tengah masyarakat Dayak Kayan. Sementara itu, upacara Lakin Ngayau merupakan bentuk rasa syukur dan penghargaan kepada Dewa atas kemenangan dalam peperangan melawan musuh (Ayau). Upacara ini dilakukan setelah terjadi peperangan antara dua kelompok, di mana kelompok yang memperoleh kemenangan diberi nama Lakin Ngayau. Fungsi sosial upacara Melah dan Lakin Ngayau adalah mempertahankan nilai-nilai keberanian, kesatuan, dan kebersamaan dalam masyarakat Dayak Kayan. Upacara Melah digunakan sebagai cara untuk membasuh diri dari pelanggaran adat dan menciptakan kesucian dalam kelompok masyarakat. Sementara itu, Lakin Ngayau menjadi bentuk ungkapan rasa syukur dan kegembiraan atas kemenangan dalam peperangan melawan musuh, serta sebagai bentuk penghormatan kepada Dewa pencipta. Dalam upacara Melah, alat dan bahan yang digunakan antara lain adalah ayam jantan berwarna merah dan kayu raut sebagai simbol pembersihan dan perlindungan. Lake Dayung membawa seekor ayam jantan berwarna merah dan kayu raut yang diserahkan kepadanya untuk disembelih. Darah ayam dialirkan ke kayu raut dan dihamburkan di sekitar area upacara sebagai bentuk membersihkan dan melindungi orang-orang dari bahaya. Sementara itu, dalam upacara Lakin Ngayau, alat yang digunakan adalah tombak, pohon Belawing sebagai tempat upacara, serta seekor anak babi yang dipakai sebagai simbol kepala kemenangan yang ditangkap dari musuh. Dalam upacara Lakin Ngayau, penari parang sebanyak 50 orang menari dengan membawa tombak menuju pohon Belawing, lalu di mantra oleh Lake Dayung sebagai ungkapan syukur atas kemenangan. Upacara ini diikuti dengan memperlihatkan kepala musuh yang ditangkap sebagai simbol kemenangan.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Ngerangkau,"Ngerangkau adalah sebuah tarian tradisional yang berasal dari Kalimantan Timur, khususnya suku Dayak Benua dan Tunjung. Tarian ini dilakukan sebagai bagian dari upacara adat kematian Kwangkay. Ngerangkau berfungsi sebagai sarana pengantar arwah menuju surga, hiburan bagi arwah leluhur, serta sarana untuk mengharapkan kesuburan dan tolak bala bagi masyarakat Dayak Benua dan Tunjung. Selain itu, tarian ini juga berfungsi sebagai media persembahan kepada leluhur, pemujaan terhadap kekuasaan yang lebih tinggi, dan harapan untuk mendapatkan perlindungan, kebahagiaan, dan kesejahteraan hidup bagi masyarakat setempat. Pelaksanaan Ngerangkau melibatkan penari laki-laki dan perempuan dari keluarga penyelenggara upacara, serta semua undangan yang hadir. Tarian ini dilakukan di halaman rumah atau pekarangan yang luas, sambil mengelilingi peti tempat menyimpan tengkorak leluhur. Penarinya tidak melakukan persiapan dan latihan khusus sebelumnya, sehingga gerakan tari bersifat spontanitas. Tari Ngerangkau biasanya dilakukan oleh 14 orang penari laki-laki dan 14 orang penari perempuan, namun kadang-kadang jumlahnya lebih dari itu. Tarian ini dimulai pada malam kelima dari urutan sajian prosesi upacara Kwangkay dan dilakukan setiap malam selama upacara berlangsung. Peralatan musik yang mengiringi tarian ini terdiri dari tibuh atau kendang berkuli, gong, kendang besar, dan kelentangan. Selain itu, ada juga alat peraga bernama antan atau alu yang mengeluarkan suara ritmis ketika dihentakkan atau dirapatkan.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Nota Garung Pantang,"Nota Garung Pantang merupakan sebuah prosesi penyambutan tamu yang berasal dari tradisi Adat Dayak Tomun di Kabupaten Lamandau, Kalimantan Tengah. Dalam prosesi ini tamu yang memasuki wilayah Kabupaten Lamandau melakukan pemotongan kayu garung yang telah dipersiapkan oleh tuan rumah dengan posisi menghalangi jalan tamu. Nota Garung Pantang berfungsi sebagai upaya untuk memperkuat ikatan sosial dan solidaritas di antara masyarakat setempat. Proses Nota Garung Pantang melibatkan alat dan bahan khusus, yaitu kayu garung yang memiliki serat tidak liat sehingga mudah dipotong. Pemotongan dilakukan dengan menggunakan alat potong tradisional yang sesuai dengan adat lokal. Pelaksanaan Nota Garung Pantang menjadi bagian integral dari budaya dan kehidupan sehari-hari masyarakat Adat Dayak Tomun, yang hidup di wilayah Kabupaten Lamandau dengan lingkungan yang kaya akan bioma hutan tropis.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Nyangahatn,"Nyangahatn adalah sebuah tata cara atau prosesi dalam bentuk upacara yang dilakukan oleh masyarakat Dayak Kanayatn di wilayah Kabupaten Landak, Kabupaten Bengkayang, Kabupaten Sambas, Kabupaten Mempawah, dan Kabupaten Kubu Raya, Kalimantan Barat. Nyangahatn merupakan ritual yang diwariskan secara turun-temurun oleh nenek moyang masyarakat Dayak Kanayatn sebagai bentuk keyakinan akan keberadaan Tuhan, roh nenek moyang, manusia, dan alam. Nyangahatn berfungsi sebagai doa memohon keselamatan jiwa dari bencana atau malapetaka kepada sang pencipta, alam, dan leluhur, serta sebagai ungkapan syukur kepada Tuhan atas berkat dan rejeki yang diberikan. Proses pelaksanaan Nyangahatn, pemilik acara atau tuan rumah menjadi penyelenggara upacara dan menyiapkan perlengkapan atau sajian. Perlengkapan tersebut meliputi Tumpi' sunguh (cucur yang dibuat dari tepung beras), Poe (beras ketan), ai' pasasahatn (air pencucian dalam cawan), pelita (lampu), kobet (tiga buah, berisi sobekan cucur dan ketan yang dimasak dalam bambu), serta kapur sirih dan seluruh bahan ini disimpan di atas pahar (nekara). Proses upacara dimulai dengan Panyangahatn, yang merupakan orang yang memimpin upacara, menyampaikan permohonan doa kepada Tuhan (Jubata) untuk bersyukur atas rejeki yang diberikan dan memohon keselamatan dan kesehatan bagi semua yang hadir.",Tradisi dan Ekspresi Lisan
Nyobekng,"Nyobekng adalah sebuah ritual penghormatan yang berasal dari suku Dayak Bidayuh, Kalimantan Barat. Tradisi Nyobekng berkaitan erat dengan aktivitas pengayauan atau pemenggalan kepala musuh dalam peperangan. Tengkorak kepala tersebut diyakini memiliki kekuatan dan memberikan perlindungan bagi masyarakat Dayak Bidayuh. Nyobekng berfungsi sebagai bentuk penghormatan dan peringatan atas sejarah keberanian dan ketangguhan suku Dayak Bidayuh dalam menghadapi masa peperangan yang dahulu kala melibatkan pengayauan musuh. Nyobekng juga menjadi wujud rasa syukur dan permohonan untuk keberhasilan dalam aktivitas pertanian dan kehidupan sehari-hari. Proses pelaksanaan Nyobekng melibatkan tengkorak kepala musuh yang telah diawetkan dan disimpan dengan rapi di Rumah Balug. Tengkorak ini menjadi simbol utama dalam upacara Nyobekng dan dianggap memiliki kekuatan magis serta memberikan perlindungan bagi masyarakat. Selain tengkorak, alat musik seperti gendang dan gong juga digunakan untuk mengiringi prosesi Nyobekng. Proses ritual meliputi tahapan pemanggilan arwah leluhur, pemandian tengkorak, dan doa-doa serta upacara kesyukuran.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Panganten Dayak Kanayatn,"Panganten Dayak Kanayatn adalah adat perkawinan yang dilakukan oleh suku Dayak Kanayant, Kalimantan Barat. Pelaksanaan upacara perkawinan ini berpusat di rumah pengantin perempuan, namun juga melibatkan upacara sederhana di rumah pengantin laki-laki. Adat perkawinan ini bertujuan untuk menghormati tradisi dan warisan leluhur, dan melarang perkawinan antara dua orang yang masih terikat keluarga. Panganten Dayak Kanayatn berfungsi sebagai pengikat dua keluarga dan masyarakat secara lebih luas melalui ikatan pernikahan. Proses pelaksanaan Panganten Dayak Kanayatn, terdapat beberapa tahapan yang harus dilalui, seperti tunang, balawang karamigi, bisik gumi, pasamean, dan prabut pelaminan. Dalam proses ini, patone memainkan peran kunci sebagai pihak yang memimpin dan melakukan perundingan dengan keluarga mempelai perempuan. Peralatan yang digunakan meliputi atong yang berisi uang logam, ayam, dan pakaian laki-laki sehari-hari sebagai alamat bagi calon mempelai perempuan. Peralatan dan bahan yang digunakan dalam upacara perkawinan ini yaitu kue tumpik (curu), babi, ayam, nasi pulut, uang logam, pakaian laki-laki sehari-hari, dan kain tenun.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Pekiban,"Pekiban merupakan acara adat dalam Perkawinan Adat Kenyah Lepo Tau, di Kalimantan Utara yang menjadi tahap awal dari pernikahan adat ini. Pada tahap ini, calon mempelai wanita dijemput menuju rumah calon mempelai laki-laki untuk diperkenalkan kepada keluarga. Dalam penjemputan tersebut, calon mempelai laki-laki memberikan ""SUA FA"" atau sebilah parang sebagai simbol keseriusannya. Setelah calon mempelai wanita tiba di rumah calon mempelai laki-laki, mereka disambut dengan tari-tarian sebagai bagian dari penyambutan hangat dan meriah. Pekiban berfungsi untuk melihat masa depan kedua mempelai, termasuk rintangan yang mungkin akan dihadapi dalam kehidupan pernikahan mereka. Proses pelaksanaan acara Pekiban dipimpin oleh para tua-tua kampong yang memiliki peran khusus yang disebut ""Pengulo"". Setelah calon mempelai wanita tiba di rumah calon mempelai laki-laki, keduanya dipersilakan oleh pemimpin upacara adat untuk duduk pada gong kecil atau tawek. Kedua mempelai bersama-sama memegang parang dan sambil menginjak parang berikutnya sebagai simbol komitmen dalam ikatan perkawinan yang sah.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
