Bawanang,"Bawanang adalah ritus adat yang dilakukan oleh masyarakat Dayak Banjar dan Meratus di Kalimantan Selatan. Ritus ini merupakan bentuk rasa syukur kepada penguasa alam semesta atas rejeki atau keberhasilan yang diperoleh, seperti hasil panen padi, keberhasilan usaha, atau pencapaian lainnya. Bawanang juga bisa dilakukan sebagai pelaksanaan nazar yang telah diucapkan sebelumnya. Ritus ini dipimpin oleh para balian (dukun), yang didukung oleh musik bagamal dan alat musik tabuh dan pukul (klampat). Ritus Bawanang juga melibatkan patati, perempuan yang menyahuti balian dan mempersiapkan kelengkapan ritus. Ritus Bawanang merupakan ungkapan rasa syukur dan penghormatan kepada Hyang Dewata langit (penguasa alam semesta). Tradisi ini juga menjadi momen pesta panen sebagai tanda bahwa hasil panen telah masuk ke dalam lumbung dan padi baru boleh dimasak untuk dikonsumsi. Bawanang memiliki nilai kebersamaan dan solidaritas, di mana seluruh himpunan balai adat terlibat dalam. Tradisi ini juga mempertahankan tata cara adat Dayak Banjar dan Meratus, di mana balian (dukun) memiliki peran penting dalam melakukan doa dan mamang (ritus). Prosesi Bawanang menggunakan musik bagamal, tabuh, dan pukul (klampat) sebagai pengiring jalannya ritus. Hewan-hewan persembahan seperti ayam, kambing, atau kerbau dipotong sebagai persembahan dalam ritus. Ritus Bawanang umumnya dilakukan selama tiga hari tiga malam atau dapat berlangsung hingga empat hari empat malam jika disebut sebagai aruh Baharin. Peserta Bawanang melibatkan seluruh himpunan balai adat, namun partisipasi juga terbuka untuk orang lain, meskipun harus mengikuti larangan dan perintah yang diberikan.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Bedudu,"Bedudu adalah tradisi lisan seni tutur masyarakat Dayak Desa, Kalimantan Barat. Berdudu berisi penuturan atau penyampaian teks sastra secara lisan oleh beberapa orang pemain/penutur kepada penonton, dengan menggunakan tempat pertunjukan di betang maupun di luar betang. Secara substansial pertunjukan bedudu memuat teks-teks yang disajikan para penutur dan ditafsirkan oleh penonton. Makna yang terkandung dalam teks lisan tersebut mempresentasikan kehidupan nyata yang disusun, diingat, digubah, dan disampaikan secara kreatif oleh pencipta/penutur dalam sebuah pertunjukan melalui ruang improvisasi.",Tradisi dan Ekspresi Lisan
Belian Bawo,"Belian bawo adalah sebuah ritus pengobatan di kalangan Suku Dayak Benuaq di Kalimantan Timur. Belian bawo berasal dari kata ""belian"" yang berarti cara penyembuhan orang sakit dan ""bawo"" yang berarti bukit atau gunung. Ritus Belian bawo melibatkan penggunaan sajian-sajian dan pemujaan terhadap makhluk halus sebagai bentuk penghormatan. Belian bawo menyebar ke daerah-daerah Suku Dayak Benuaq, termasuk daerah Lingau, Bentian, Kabupaten Paser, Kecamatan Damai, Muara Lawa, dan Muara Pahu. Belian bawo berfungsi sebagai ritus pengobatan orang sakit. Ritus ini juga memiliki nilai religius dan simbolis, di mana pemeliatn atau perantara melakukan hubungan dengan makhluk halus untuk mencari petunjuk dan memohon kesembuhan bagi orang yang sakit. Belian bawo berfungsi untuk menyelidiki penyebab timbulnya penyakit dan mencari cara penyembuhannya. Belian bawo melibatkan peran pemeliatn atau perantara yang memiliki pengetahuan dan keterampilan khusus. Terdapat tiga golongan dalam belian bawo, yaitu ngawat, badasuq, dan nyolukng somot, yang memiliki tujuan dan tata cara pelaksanaan yang berbeda-beda. Dalam ritus ini, terdapat penggunaan beberapa alat dan bahan, seperti sajian-sajian berupa kopi pahit, kopi manis, rokok, rurujakan, kalapa dawegan, dan beas.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Bening dayak kenyah kalimantan utara (Gendongan Bayi),"Bening, juga dikenal sebagai gendongan bayi suku Dayak di Kalimantan Utara, merupakan sebuah alat tradisional yang digunakan secara turun temurun. Alat ini dirancang khusus untuk mengendong bayi dari usia sekitar 6 bulan hingga 1,5 tahun. Pada masa lampau, gendongan ini menjadi penting karena anak-anak tidak selalu dijaga secara langsung, sehingga alat ini membantu orang tua untuk tetap beraktivitas sambil menjaga bayinya. Fungsi sosial dari Bening atau gendongan bayi ini terletak pada kemudahannya dalam memungkinkan orang tua untuk beraktivitas sehari-hari sambil menjaga bayi mereka. Selain itu, ada pula perbedaan dalam desain dan ukiran Bening tergantung pada status sosial. Gendongan untuk keturunan bangsawan atau Paren memiliki ukiran yang lebih mewah, sering kali dihiasi dengan manik berbentuk muka manusia atau harimau yang didekorasi dengan gigi macan dan harimau. Sementara untuk masyarakat biasa, gendongan tersebut diukir dengan motif berbentuk anjing tanpa ornamen gigi harimau dan gigi macan. Secara tambahan, Bening Dayak Kenyah Kalimantan Utara tidak hanya memiliki nilai budaya dan fungsional, tetapi juga menunjukkan perbedaan sosial dalam ukiran dan desainnya. Proses pembuatan Bening ini melibatkan penggunaan bahan-bahan alami dan teknik pengukiran tradisional yang telah diturunkan dari generasi ke generasi. Meskipun tidak ada informasi khusus tentang perbedaan gender dalam penggunaan Bening, alat ini menjadi bagian integral dari kehidupan sehari-hari suku Dayak, terutama dalam perawatan bayi dan mobilitas orang tua. Alat ini juga mencerminkan hubungan yang dalam antara suku Dayak dengan lingkungan hutan mereka, mengingat penggunaan bahan-bahan alami dalam pembuatannya.",Kemahiran dan Kerajinan Tradisional
Betik Dayak Kenyah Uma' Lung,"Betik merupakan Pengetahuan Tradisional seni tato pada suku Dayak Kenyah Uma' Lung, Kalimantan Utara. Betik atau tato memiliki arti dan simbolik yang penting dalam masyarakat. Betik merupakan lambang kecantikan dan keagungan bagi perempuan di suku Dayak Kenyah Uma' Lung. Penggunaan betik menjadi pengakuan atas posisi wanita yang patut dihormati dan diagungkan, serta sebagai bentuk pujian terhadap kecantikan lahir dan batin individu wanita tersebut. Betik merupakan bagian dari ritus tradisional dan adat budaya suku Dayak Kenyah Uma' Lung yang terhubung dengan peribadatan. Betik yang melekat secara permanen di tubuh merupakan pertalian dan menunjukkan posisi sosial individu di masyarakat. Betik pada suku Dayak Kenyah Uma' Lung adalah lambang status sosial dalam masyarakat setempat. Betik membedakan posisi gender yang menjadi tanda pengkhususan untuk perempuan. Betik juga merupakan bagian dari eksistensi aturan adat dan identitas diri, serta menandakan posisi individu dalam hierarki sosial masyarakat. Betik merupakan ekspresi dari pengalaman, harapan, dan kecintaan individu terhadap sesuatu. Proses pembuatan betik menggunakan jarum dan tinta khas untuk mengukir gambar pada kulit. Gambar dan letak betik memiliki makna simbolis dan menunjukkan strata sosial individu dalam masyarakat. Perempuan memasang betik pada lengan dan kaki untuk membedakan diri mereka dan menunjukkan bahwa mereka adalah wanita yang anggun dan cantik.",Kemahiran dan Kerajinan Tradisional
Blontang,"Blontang adalah pengetahuan tradional mengukir arca kayu ulin yang dianggap suci oleh suku Dayak Tunjung dan Dayak Benoaq, Kalimantan Timur. Arca ini memiliki bentuk dan ukiran yang khas, dan dianggap sebagai simbol roh dalam ritus sakral, seperti ritus kematian (Kwangkai) dan ritus pengobatan (Belian). Blontang dianggap sebagai kelengkapan penting dalam ritus ini dan memiliki peran spiritual yang signifikan dalam memediasi antara dunia manusia dan roh. Blontang digunakan sebagai wahana roh bagi yang meninggal untuk mencapai tempat suci setelah meninggalkan dunia dalam ritus Kwangkai. Dalam ritus pengobatan Belian, Blontang digunakan sebagai wahana komunikasi dengan roh leluhur untuk mengusir bala dari orang yang sakit atau untuk berkomunikasi dengan roh jahat pengganggu agar meninggalkan yang sakit. Blontang merupakan hasil seni ukir yang mencerminkan kekayaan budaya dan keindahan seni ukir masyarakat Dayak Tunjung dan Dayak Benoaq. Material yang digunakan untuk Blontang adalah kayu ulin. Kayu Ulin dipilih sebagai bahan karena dianggap memiliki kekuatan spiritual dan dapat menjadi wahana roh bagi yang meninggal untuk pergi ke tempat suci di puncak Gunung Lumut.",Kemahiran dan Kerajinan Tradisional
Genikng,"Genikng adalah alat musik yang berkembang di masyarakat Dayak Rentenuukng. Genikng memiliki pola bunyi yang unik hingga dapat digunakan dalam keseharian masyarakat. Genikng berfungsi sebagai pengiring dalam upacara ritual, sekaligus media komunikasi dan penyampaian pesan dalam upacara tersebut. Genikng menjadi satu-satunya alat yang mampu mengartikulasikan komunikasi bunyi yang terikat pada struktur musikal, sehingga dapat digunakan untuk kode pemberitahuan, pengumpulan masyarakat, bahkan hingga berita duka. Genikng terbuat dari tembaga dan perak, dengan warna hitam dan berat sekitar 7 kg. Alat ini memiliki dua sisi, yaitu sisi bawah dan sisi atas. Sisi atas genikng disebut ""mooq genikng"" dengan dimensi keseluruhan sekitar 17 cm. Sisi atas memiliki dua tingkatan, dengan tingkatan pertama dan kedua masing-masing berukuran 7 cm, sedangkan pencon atas atau ""munyar"" memiliki dimensi yang sama dengan tingkatan pertama dan kedua yaitu 15 cm. Tebal besi genikng adalah 3 mm, sedangkan tinggi genikng mencapai 13 cm. Di sisi bawah, terdapat lubang kosong atau ""ajak luoq genikng"" dengan ukuran sekitar 52 cm.",Seni Pertunjukan
Handep,"Handep adalah praktik gotong royong yang dilakukan oleh masyarakat Dayak di Kalimantan Tengah. Handep juga mencerminkan kearifan lokal dalam pengelolaan sumber daya alam dan pertanian berkelanjutan di lingkungan yang khas bagi masyarakat Dayak. Handep berfungsi untuk mengaplikasikan konsep gotong royong Masyarakat Dayak. Konsep ini mencakup kerjasama dalam bidang pertanian atau upacara kematian. Dalam Handep, sekelompok orang membuat perjanjian tidak tertulis untuk saling membantu sama lain, dengan cara bergantian bekerja di ladang milik anggota kelompok agar memperoleh hasil yang maksimal dan meringankan beban kerja individu. Handep memperkuat ikatan sosial Masyarakat. Proses pelaksanaan handep melibatkan alat dan bahan yang digunakan dalam kegiatan pertanian. Masyarakat Dayak biasanya menggunakan alat tradisional seperti cangkul, sabit, dan parang untuk membajak, menyiangi, dan memanen hasil pertanian. Mereka juga menggunakan benih dan pupuk sebagai bahan untuk mengembangkan ladang. Handep dilakukan sesuai dengan siklus pertanian, di mana kelompok-kelompok tersebut bergantian dalam merawat dan mengelola ladang agar tanaman tumbuh subur. Selama pelaksanaan handep, prinsip adil dan keadilan dijunjung tinggi, di mana setiap anggota kelompok memiliki kesempatan yang sama untuk mendapatkan bantuan dan berbagi hasil panen.",Pengetahuan dan Kebiasaan Perilaku Mengenai Alam dan Semesta
Kawen Adat Samagat Dayak Tamambaloh,"Kawen Adat Samagat merupakan prosesi perkawinan adat yang terdapat pada masyarakat Dayak Tamambaloh di Kabupaten Kapuas Hulu. Masyarakat Dayak Tamambaloh memiliki empat golongan sosial, di antaranya golongan Samagat yang merupakan kaum bangsawan atau golongan berdarah biru. Golongan Samagat memiliki hak sebagai pemimpin dalam struktur ketamanggunan Tamambaloh. Kawen Adat Samagat Dayak Tamambaloh merupakan upacara pernikahan yang mengikat kedua mempelai dalam masyarakat adat. Melalui prosesi Sisialo, tamu yang datang disambut, dihormati dan dihargai. Sijaratan bertujuan untuk memberitahukan kepada seluruh keluarga dan roh leluhur bahwa pasangan yang menikah diterima  dalam kehidupan sosial masyarakat adat Tamambaloh. Selain itu, Baranangis berfungsi sebagai acara penyampaian nasehat dan petuah-petuah bagi kedua mempelai. Prosesi Kawen Adat Samagat melibatkan peran Temanggung (tetua adat) yang berperan dalam memberikan doa  dan memberikan penghormatan kepada para tamu. Beberapa bahan yang digunakan meliputi beras kuning saat menyambut tamu dan syair dalam sastra lisan saat menyampaikan nasehat. Pelaksanaan upacara ini melibatkan seluruh keluarga dan juga melibatkan aspek spiritual dengan memohon restu dari roh leluhur.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Kisah Putri Lemai Suri,"Kisah Putri Lemai Suri merupakan legenda Kerajaan Bulungan yang telah diceritakan secara turun-temurun di kalangan Suku Dayak Tingalan. Cerita dimulai dengan seorang pemimpin suku Dayak Hupan bernama Kuwanyi, yang hidup dengan berburu di tengah hutan. Ketika berburu, Kuwanyi menemukan seruas bambu besar dan sebutir telur. Saat dibawa pulang, bambu itu tiba-tiba mengeluarkan seorang anak laki-laki, sementara telur itu menetas menjadi seorang anak perempuan. Anak laki-laki diberi nama Jau Iru, sedangkan anak perempuan diberi nama Lemlai Suri. Keduanya menciptakan garis keturunan hingga lahir seorang anak perempuan cantik bernama Asung Luwan, yang menjadi pusat perhatian dalam cerita ini. Ketika desa penduduk Dayak Tingalan diserang oleh suku Kenyah yang dipimpin oleh Sumbang Lawing, Asung Luwan melarikan diri untuk menghindari ancaman. Dalam perjalanannya, Asung Luwan menunjukkan kecerdasan dan kemampuan berpikir yang baik, yang kemudian membantunya mendapatkan pertolongan dari Datuk Mencang dan mengalahkan Sumbang Lawing. Kisah Putri Lemlai Suri merupakan cerita rakyat yang sarat dengan nasihat nilai-nilai budaya Suku Dayak Tingalan. Cerita ini menyoroti pentingnya keberanian, kesetiaan, dan kecerdasan dalam menghadapi berbagai tantangan dan musuh. Selain itu, cerita ini juga mencerminkan adat dan kehidupan sehari-hari Suku Dayak Tingalan. Kisah Putri Lemlai Suri mengandung unsur-unsur budaya Dayak Tingalan, seperti menggambarkan kehidupan sehari-hari masyarakat yang berburu di hutan dan menjaga tradisi adat mereka. Peran gender juga tampak melalui keberanian dan kepintaran tokoh perempuan Asung Luwan, yang menjadi pahlawan cerita. Kisah Putri Lemlai Suri berlatar belakang kehidupan masyarakat Suku Dayak Tingalan yang hidup dekat dengan alam dan bergantung pada hutan untuk kehidupan sehari-hari mereka.",Tradisi dan Ekspresi Lisan
