Bakpia Yogyakarta,"Bakpia Yogyakarta adalah produk makanan yang berasal dari Daerah Istimewa Yogyakarta. Bakpia merupakan hasil akulturasi budaya Cina dan Jawa dan menjadi ikon kota Yogyakarta. Kudapan ini telah bertahan selama puluhan tahun dan menjadi simbol pluralisme di kota tersebut. Bakpia Yogyakarta mencerminkan keragaman budaya dan menjadi simbol kerukunan antarbudaya dan agama di Yogyakarta. Bakpia juga menjadi salah satu daya tarik wisata kuliner yang mengundang minat wisatawan lokal maupun mancanegara. Proses pembuatan Bakpia Yogyakarta dimulai dengan pembuatan adonan dari bahan tepung terigu, gula dan garam. Proses pencampuran bahan ini membutuhkan waktu setengah jam hingga adonan kalis dan semua bahan tercampur dengan baik. Isi dari Bakpia terbuat dari kacang hijau yang telah dipecah dan direndam selama 3 hari, kemudian dicuci dan dikukus selama satu jam. Kacang hijau tersebut kemudian dihaluskan dan dimasak dengan minyak, garam, dan gula pasir. Adonan kulit dibentuk bulat pipih dan diisi dengan adonan kacang hijau tersebut sebelum dipanggang selama kurang lebih 15-20 menit.",Kemahiran dan Kerajinan Tradisional
Beksan Inum,"Beksan Inum adalah sebuah seni tari dari Daerah Istimewa Yogyakarta. Tarian ini muncul pada masa pemerintahan KGPA Paku Alam I dan mengalami penyempurnaan pada masa KGPA Paku Alam IV. Tarian ini terdiri dari empat penari laki-laki dan menggunakan kelengkapan berupa dua botol khusus berisi minuman dan dua gelas khusus untuk minum. Nama ""Inum"" dalam bahasa Jawa memiliki arti ""minum"", menggambarkan para lelaki yang merayakan suatu peristiwa penting dengan cara minum bersama atau bersulang. Tari ini mengadopsi pengaruh barat dalam penggunaan kelengkapan tari dan kebiasaan toast. Beksan Inum berfungsi sebagai bentuk penyambutan bagi para legion yang pulang dari tugas perang. Tarian ini juga merayakan momen penting dengan melakukan minum bersama atau bersulang. Beksan Inum merupakan bagian dari pengajaran tari di Kadipaten Pakualaman yang diajarkan kepada para Abdi Dalem dan masyarakat luas yang ingin mempelajari tari. Pementasannya Beksan Inum menggunakan gerakan madya, yaitu gerakan yang gagah namun dengan sifat dan karakter yang lembut atau halus. Beksan Inum menggunakan properti seperti gelas, botol, air, meja, dan alasnya sebagai pelengkap tarian. Ada juga variasi tarian dengan judul ""beksan ngombe"" atau ""beksan gendul"" yang mungkin menunjukkan perbedaan dalam koreografi atau tema tarian tersebut.",Seni Pertunjukan
Beksan Sekar Madura,"Beksan Sekar Madura adalah salah satu seni tari klasik dari Daerah Istimewa Yogyakarta yang diciptakan pada abad ke-18 oleh Sri Sultan Hamengku Buwono I. Tarian ini merupakan bagian dari Beksan Lawung Komplit dan terinspirasi oleh nama-nama prajurit Sultan Hamengku Buwono I dan Makasar, Bugis yang berasal dari Madura. Meskipun Beksan Sekar Madura termasuk dalam Beksan Lawung Komplit, tarian ini berbeda karena bersifat hiburan dan bukan tarian perang-peperangan. Tarian ini mencerminkan semangat kekesatrian dalam diri prajurit dan merupakan ekspresi pelepasan lelah setelah perang. Tarian ini menggambarkan suasana perjamuan para prajurit setelah meraih kemenangan dalam peperangan yang dilengkapi dengan minum-minuman keras. Beksan Sekar Madura ditarikan oleh delapan penari putra yang membawa botol minuman dan diatur menjadi empat penari alus dan empat penari gagah. Sri Sultan Hamengku Buwono I menciptakan tarian ini sebagai bentuk dukungan dan apresiasi kepada para prajuritnya yang setia dan berjuang bersamanya dalam melawan penjajah Belanda. Beksan Sekar Madura berfungsi sebagai hiburan bagi prajurit di tengah situasi perang yang penuh ketegangan. Tarian ini menjadi penggembira dan penyegar untuk kembali bersemangat. Beksan Sekar Madura menampilkan gerak tari putra alus dan gagah yang mencerminkan keindahan dan disiplin tari klasik gaya Yogyakarta. Pada pertunjukan Beksan Sekar Madura, penari alus dan gagah memakai busana tradisional Yogyakarta yang khas. Penari alus mengenakan tepen dengan hiasan sisir dan bunga di belakang, rambut di kepang berbentuk kadhal menek, kelat bahu kulit pradya, kalung sungsung tiga, kamus timang, keris branggah dan onten, kain parang rusak (supit urang), celana panji-panji cindhe warna merah, lonthong cindhe warna merah, bara, dan sondher cindhe warna merah. Sementara penari gagah mengenakan tepen dengan hiasan sisir dan bunga di belakang, rambut berbentuk kadhal menek sumping grompolan, kelat bahu kulit, kalung tanggalan, kaweng, kamus timang lontong atau stagen cindhe warna merah, bara, celana panji-panji cindhe warna merah, buntal, keris, bancehan topengan, dan oncen. Tarian ini disertai dengan iringan gending cengbarong laras slendro pathet sanga kendhangan candra rara ciblon. Tarian ini telah menjadi bagian penting dari budaya dan Seni Pertunjukan Yogyakarta, yang dipelihara dengan baik di istana raja dan lingkungan bangsawan.",Seni Pertunjukan
Besengek Tempe Benguk,"Besengek Tempe Benguk adalah makanan khas Kulonprogo, Daerah Istimewa Yogyakarta. Besengek terbuat dari kacang benguk atau koro benguk, jenis kacang-kacangan yang berukuran lebih besar dari kacang kedelai. Mitos-mitos turut mempengaruji proses pembuatan besengek tempe benguk, seperti kondisi pemilik usaha seperti tidak sedang sakit atau tidak dalam keadaan tidak enak hati atau jika pemilik usaha dan pegawainya tidak mencuci muka dan tangan kaki setelah melayat, tempe benguk akan menjadi busuk sebelum matang. Besengek Tempe Benguk secara ekonomi membuka peluang bagi ekonomi kreatif berbasis rumah tangga masyarakat Kulonprogo. Kuliner ini memiliki peran dalam berbagai peristiwa kultural masyarakat Kulonprogo dan sering disajikan sebagai hidangan khas pada acara pasar malam, pasar budaya, tahlilan, kenduri, selametan, pengajian, rapat-rapat tingkat dusun dan desa, dan berbagai aktivitas sosial lainnya. dalam acara-acara tersebut, sehingga menjadi bagian dari identitas budaya dan kearifan lokal masyarakat Kulonprogo. Proses pembuatan tempe benguk hampir mirip dengan pembuatan tempe pada umumnya, dengan beberapa tahapan seperti perendaman biji benguk, pengukusan/perebusan biji benguk, penggilingan, dan pemberian ragi atau spora jamur. Proses tersebut berlangsung selama 6 hari hingga tempe benguk matang.",Kemahiran dan Kerajinan Tradisional
Bir Jawa,"Bir Jawa adalah minuman berbahan rempah-rempah dari Daerah Istimewa Yogyakarta. Konon minuman ini merupakan favorit atau sajian rutin bagi Raja Keraton Jogja Sri Sultan Hamengku Buwono (HB) VIII. Bir Jawa tidak mengandung alcohol sehingga tidak memabukkan. Bir Jawa berfungsi sebagai penghangat badan dan dipercayai bisa meringankan badan yang sedang capek, mual, meriang, ataupun pusing. Minuman ini juga baik untuk kesehatan karena sifat cengkih yang mempunyai khasiat untuk menghilangkan bau nafas tidak sedap, dan air jeruk nipis yang dipercayai dapat mengobati tekanan darah tinggi serta melangsingkan badan. Bir Jawa ini dibuat dari rebusan jahe, batang serai, cengkih, kayu manis, masoi, daun pandan, gula, air, dan air jeruk nipis. Kini ada berbagai inovasi ramuan pada bir jawa dengan mencampurkan beberapa rempah lainnya ke dalam minuman tersebut, seperti jahe merah, sereh, kapulaga, kayu manis, cengkih, bunga lawang, adas, daun jeruk purut, pandan, cabe Jawa, secang, garam, gula, air serta lada hitam.",Kemahiran dan Kerajinan Tradisional
Brongkos Yogyakarta,"Brongkos merupakan makanan terkenal di Daerah Istimewa Yogyakarta. Lauk-pauk ini memiliki kuah santan yang berwarna coklat kehitaman karena menggunakan keluwak (pangiun edule) sebagai salah satu bumbu utamanya. Citarasa brongkos khasnya adalah gurih, hangat, dan memiliki citarasa kuat dari keluwak. Brongkos merupakan hidangan populer di masyarakat Jawa, terutama di Yogyakarta. Brongkos menjadi lauk-pauk yang sering disajikan dalam kehidupan sehari-hari, acara menyambut tamu, maupun dalam ritus adat seperti kenduri pengantin. Brongkos juga memiliki peran dalam sejarah kuliner Jawa, terlihat dari penulisan serat Centhini pada tahun 1814 hingga 1823 yang menyebutkan brongkos sebagai hidangan yang populer. Brongkos menjadi bagian dari hidangan mewah Rijsttafel yang diakui oleh masyarakat Belanda pada masa penjajahan. Brongkos menggunakan adalah alat masak umum seperti panci atau wajan. Bumbu brongkos antara lain keluwak, telur ayam, daging sapi, tahu, kacang tolo, kulit biji melinjo, dan buncis yang diolah bersama dengan rempah-rempah dan santan. Bahan-bahan lain yang digunakan dalam brongkos meliputi telur ayam, daging sapi (seperti congor, koyor, tulang muda, lulur, atau daging bagian dalam), tahu, kacang tolo, kulit biji melinjo, dan buncis. Ragam brongkos yang dikenal meliputi brongkos tahu, brongkos telur, brongkos daging, brongkos koyor, brongkos congor, dan brongkos tulang muda.",Kemahiran dan Kerajinan Tradisional
Buka Luwur Kangjeng Sunan Kudus,"Buka Luwur Kangjeng Sunan Kudus adalah Adat Istiadat masyarakat Kudus, Jawa Tengah, yang dirayakan setiap tahun dalam pergantian tahun Hijriyah atau setiap 10 Muharam. Salah satu acara Buka Luwur Kangjeng Sunan Kudus adalah pembagian Sego brekat yang mengandung makna sedekah. Buka luwur adalah bagian dari melestarikan dan nguri-uri budaya untuk menghormati Kangjeng Sunan Kudus sebagai leluhur. Pembagian sego brekat ini bertujuan untuk sedekah, juga ngalap berkah. Masyarakat Kudus percaya bahwa pembagian sego berkat juga bermanfaat sebagai salah satu obat karena makanan tersebut telah didoakan para alim ulama.","Adat Istiadat masyarakat, ritus, dan perayaan-perayaan"
Cembengan Yogyakarta,"Cembengan adalah ritus yang awalnya dilakukan oleh para pekerja di pabrik gula (PG) di Daerah Istimewa Yogyakarta untuk memohon keselamatan dan hasil produksi yang baik. Cembengan sebenarnya merupakan adopsi dari tradisi Cina yang dikenal sebagai Cing Bing, yaitu tradisi ziarah ke makam leluhur sebelum melakukan karya besar. Cembengan kini telah berubah menjadi sebuah pesta rakyat yang melibatkan masyarakat sekitar pabrik dan ini berlangsung selama satu hingga dua pekan dan menyerupai pasar malam dengan puluhan pedagang mainan, pakaian, dan makanan yang menggelar dagangannya. Ritus Cembengan ini merupakan bentuk perayaan sebelum musim panen dan penggilingan tebu. Dalam tradisi Jawa, Cembengan merujuk pada keramaian berupa pasar malam yang diadakan pada awal bulan April, bulan di mana masa panen tebu tiba. Ritus ini juga melibatkan berbagai ritus seperti ziarah makam, ritus sesaji, dan pertunjukan wayang kulit. Pada saat Cembengan, berbagai kesenian dan perlombaan olahraga juga diadakan untuk merayakan kebahagiaan musim panen tebu. Ritus Cembengan juga merupakan wujud rasa syukur masyarakat terhadap berkah panen yang melimpah. Acara ini menggambarkan kebahagiaan musim panen dan keselamatan selama proses penggilingan tebu. Ritus Cembengan dilakukan melalui beberapa prosesi seperti, “tebu manten” yang dipetik pertama kali melambangkan para petani tebu yang telah bekerja keras selama setahun dan melambangkan kehidupan manusia. Penamaan sepasang pengantin tebu juga memiliki makna bahwa pasangan tersebut akan membentuk keluarga yang damai dan sejahtera. Jumlah tebu yang dipetik dan tata letaknya juga memiliki makna filosofis. Selain itu, Cembengan juga melibatkan berbagai kesenian seperti wayang kulit, festival, pertunjukan kethoprak, dan pentas musik.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Dawet Camcau Yogyakarta,"Dawet Camcau adalah minuman tradisional Indonesia yang terkenal di Yogyakarta. Minuman ini memiliki riwayat berasal dari Jawa Tengah, Jawa Timur, dan Daerah Istimewa Yogyakarta. Dawet Camcau menjadi bagian penting dalam masyarakat karena sering dilibatkan dalam ritual dan tradisi tertentu. Dawet Camcau digunakan dalam acara perayaan seperti kelahiran, pernikahan, hajatan, dan hidangan khas dalam perayaan agama seperti selikuran (tanggal 21 bulan Ramadhan) dan upacara mitoni (tujuh bulan kehamilan). Dawet camcau juga digemari masyarakat karena memberikan nilai gizi dan memiliki khasiat anti diare. Dawet Camcau telah menjadi mata pencaharian bagi masyarakat pedesaan dengan resep usaha keluarga lintas generasi. Dawet Camcau dibuat dengan mencampur santan, daging buah kelapa parut, dan sirup gula kelapa atau gula aren. Camcau itu sendiri dibuat menggunakan ekstrak daun Scyclea Barbata dan diberikan pewarna alami yaitu daun suji. Dawet Camcau kemudian ditambahkan dengan cendol yang terbuat dari tepung beras dan tepung tapioka. Peralatan yang digunakan juga khas Yogyakarta, seperti anyaman bambu atau gerabah tanah liat dari Kasongan.",Kemahiran dan Kerajinan Tradisional
Dawet Sambal,"Dawet Sambal merupakan makanan khas Kulonprogo yang telah ada selama hampir 70 tahun. Menurut cerita, Dawet Sambal bermula dari kreasi seorang penjual dawet dan pecel di daerah tersebut yang menggabungkan dawet dan pecel atas permintaan seorang pembeli. Ternyata campuran ini digemari oleh warga setempat hingga dikenal sebagai Dawet Sambal atau Dawet Pecel. Dawat Sambal kini dijual di pasar-pasar tertentu seperti Pasar Cublak dan Pasar Jonggrangan di Kulonprogo. Dawet Sambal biasanya dihidangkan dalam acara sosial seperti pernikahan dan akikah. Dawet Sambal memiliki tema kebersamaan dan keharmonisan dalam masyarakat, karena terdapat beberapa komponen inti seperti dawet, juruh, dan sambal yang melambangkan berbagai sudut pandang, ideologi, suku, agama, dan budaya masyarakat Kulonprogo. Dawet sambal juga memberikan nilai ekonomi bagi masyarakat, khususnya para pedagang yang dapat mandiri melalui penjualannya. Dawet sambal dibuat dari tanaman ganyong, santan, gula jawa, dan cabai. Sambal dibuat dari irisan kelapa yang disangrai dan ditumbuk dengan cabai merah, bawang putih, gula pasir, garam, dan kadang-kadang terasi. Penyajian Dawet Sambal dilakukan di dalam mangkok dengan tambahan, tauge, tahu, bumbu kacang pedas, dan sedikit gula jawa. Dawet sambal juga disajikan dengan tambahan seperti tahu goreng, bawang merah goreng, dan kerupuk. Kombinasi rasa pedas, manis, dan gurih melambangkan keramah-tamahan daerah Jatimulyo, Kulonprogo.",Kemahiran dan Kerajinan Tradisional
