Aksara Jawa,"Aksara Jawa, atau carakan, merupakan salah satu aksara tradisional Nusantara dari Daerah Istimewa Yogyakarta yang telah berkembang di Pulau Jawa sejak abad ke-16 Masehi. Bentuk modern aksara Jawa muncul dari aksara Kawi dan telah aktif digunakan dalam sastra maupun tulisan sehari-hari masyarakat Jawa dari abad ke-16 hingga abad ke-20 Masehi. Aksara Jawa terdiri dari 20 aksara pokok yang bersifat silabik (kesukukataan) dan berbeda dengan aksara Latin yang bersifat fonemis. Aksara Jawa seperti Ngayogjan merepresentasikan identitas masyarakat Yogyakarta. Langgam aksara Jawa Ngayogjan berkontribusi dalam pengelolaan tata ruang dan sumbu imajiner DIY, memperkuat konsepsi kewilayahan daerah ini. Selain itu Ngayogjan menjadi bagian penting dalam karya seni dan budaya masyarakat Jawa. Identitas ini tercermin dalam berbagai produk budaya dan dalam produk-produk UMKM di DIY. Penggunaan aksara Jawa mengalami penurunan setelah pendudukan Jepang di Indonesia pada tahun 1942. Upaya pewarisan dan internalisasi aksara Jawa Ngayogjan dilakukan dengan berbagai metode, mulai dari tradisi turun-temurun di Keraton Ngayogyakarta dan Kadipaten Pakualaman hingga digitalisasi dan publikasi massal yang memudahkan masyarakat untuk mempelajari aksara ini. Proyek kampong aksara juga menjadi salah satu upaya pemerintah dalam mendorong partisipasi masyarakat dalam melestarikan dan mendayagunakan aksara Jawa.",Tradisi dan Ekspresi Lisan
Babad Pakualaman,"Babad Pakualaman adalah sebuah manuskrip Jawa yang berasal dari Pura Pakualaman di Yogyakarta. Karya ini terdiri dari tiga jilid dan ditulis dalam bentuk puisi Jawa tembang macapat. Keberadaan Babad Pakualaman memiliki nilai sejarah dan etika yang penting bagi Kadipaten Pakualaman. Karya ini merupakan tinggalan para leluhur dan para pemegang tampuk pemerintahan, serta berisi nasehat-nasehat kehidupan yang masih relevan bagi masyarakat Yogyakarta. Sebagai karya sastra, Babad Pakualaman mengandung pesan moral dan etika yang dapat menjadi acuan bagi kehidupan bermasyarakat.",Tradisi dan Ekspresi Lisan
Badui,"Tari Badui merupakan seni tari rakyat yang berasal dari Kabupaten Sleman, Daerah Istimewa Yogyakarta. Tari ini memiliki asal-usul dari Arab dan kemudian mengalami modifikasi serta disesuaikan dengan tradisi dan kebudayaan Yogyakarta. Tari Badui merupakan tarian religius yang mengungkapkan puji-pujian kepada Nabi Muhammad SAW. Tari Badui menggambarkan kehidupan religius dan dinamis dengan diiringi musik bedug atau jidor, rebana, dan vokal tradisional. Awalnya, pertunjukan Tari Badui hanya dilakukan dalam rangka peringatan Maulid Nabi, tetapi sekarang telah berkembang menjadi hiburan bagi masyarakat. Tari Badui menghadirkan nuansa keagamaan dan kegembiraan melalui gerakan tari yang dinamis dan musik yang khas. Tari ini memainkan peran penting dalam mempertahankan nilai-nilai keislaman serta memperkuat ikatan sosial dalam masyarakat Sleman. Tarian ini dilakukan oleh delapan penari laki-laki dengan menggunakan kostum yang mencerminkan nuansa Islami seperti peci turki atau kuluk temanten merah dengan kucir, baju atau kemeja putih lengan panjang, rompi rumbai-rumbai dan kupluk merah, celana Panji, kain stagen, ikat pinggang, kaos kaki, dan sepatu putih. Mereka juga membawa aksesoris berupa godo atau gombel, yang merupakan sejenis senjata atau kayu. Tari Badui diiringi oleh syair-syair lagu yang berasal dari Kitab Kotijah Badui, namun terkadang kelompok kesenian Badui Yogyakarta juga menciptakan syair mereka sendiri. Alat musik yang digunakan meliputi instrumen seperti bedug, jidor, rebana, dan vokal tradisional yang memberikan nuansa khas pada kesenian tradisional ini.",Seni Pertunjukan
Bedhaya Angron Akung,"Bedhaya Angron Akung adalah sebuah seni tari sakral yang berasal dari Daerah Istimewa Yogyakarta. Tarian ini diciptakan oleh seorang Adipati (Paku Alam) pada masa pemerintahan K.G.P.A.A Paku Alam II pada tahun 1829-1858. Bedhaya Angron Akung menggambarkan pengembaraan dan pertemuan Raden Panjj Inu Kertapati dengan Dewi Sekartaji, yang kecantikan dan sifatnya digambarkan seperti tujuh bidadari. Melalui syair yang dinyanyikan oleh sinden, cerita tarian ini diungkapkan secara simbolis untuk mencari jatidiri dan menemukan hakikat kehidupan. Pertunjukan Bedhaya Angron Akung biasanya diselenggarakan untuk menyambut peristiwa penting, seperti penobatan K.G.P.A.A. Paku Alam IX dan K.G.P.A.A. Paku Alam X. Tarian ini memiliki makna yang dalam, mengenang perjuangan masa pemerintahan K.G.P.A.A. Paku Alam IX dan K.G.P.A.A. Paku Alam X yang dipenuhi dengan cinta dan kasih sayang. Tarian Bedhaya Angron Akung sering dipentaskan dalam ritus jumenengan atau penobatan raja dan penguasa Paku Alam. Tujuannya adalah untuk mengenang perjuangan dan cinta kasih para penguasa yang memimpin dengan bijaksana, sehingga membawa berkah dan kemashuran bagi kerajaan. Tarian Bedhaya Angron Akung menjadi hiburan dan penanda dari peristiwa penting dalam kehidupan kerajaan, sehingga menjadi bagian dari identitas budaya Yogyakarta. Tarian Bedhaya Angron Akung memiliki nilai pendidikan, mengajarkan tentang perjuangan mencari jatidiri dan hakikat kehidupan, serta memberikan contoh ketangguhan dan tekad yang besar dalam menjalani peran sebagai pemimpin. Busana dalam tarian Bedhaya Angron Akung didominasi oleh warna hijau dan ungu cenderung merah muda. Kombinasi warna ini melambangkan kesuburan, kesejahteraan, dan kebahagiaan yang diharapkan bisa diberikan oleh pemimpin kepada masyarakatnya. Busana terdiri dari mekak berwarna hijau yang dipakai dari bawah ketiak hingga pinggul untuk membentuk tubuh, ilat-ilattan yang menutupi sambungan mekak di tengah dada, dan kain parang yang saat ini dibakukan menggunakan Parang Gendreh Seling Klithik. Tarian Bedhaya Angron Akung masuk dalam kategori beksan sakral, dan sebelum melaksanakan proses tarian, ada beberapa tahapan yang harus dilalui, seperti wilujengan sebelum latihan dan persiapan sesaji untuk para penari sebelum berhias dan berkostum.",Seni Pertunjukan
Bedhaya Ketawang,"Tari Bedhaya Ketawang adalah sebuah seni tari sakral dari Jawa Tengah. Tarian ini hanya dipertunjukkan pada saat penobatan atau Tinggalandalem Jumenengan ISKS Paku Buwana. Tarian ini berkisah tentang pertemuan dan percintaan antara Panembahan Senopati dengan Ratu Kencanasari atau Kangjeng Ratu Kidul. Bedhaya Ketawang menggambarkan hubungan asmara antara Kangjeng Ratu Kidul dengan raja-raja Mataram. Tarian ini memiliki arti yang mendalam dan mengandung simbolisme dalam gerakan tangan dan seluruh bagian tubuh penari. Bedhaya Ketawang menjadi tarian yang suci karena berkaitan dengan Ketuhanan dan hanya dipertunjukkan dalam suasana resmi dan khusus. Bedhaya Ketawang ditampilkan pada ritus peringatan kenaikan tahta raja. Tarian ini menjadi bagian penting dalam acara Tinggalandalem Jumenengan, di mana tarian tersebut melambangkan kebesaran dan kemuliaan. Tema yang diangkat dalam tarian ini adalah asmara dan kesetiaan. Penampilan tari Bedhaya Ketawang juga memiliki syarat khusus, di mana para penari haruslah gadis suci dan harus menjaga kesucian serta melakukan puasa menjelang pertunjukan. Para penari Bedhaya Ketawang menggunakan busana tradisional Jawa, seperti dodot ageng atau basahan yang digunakan oleh pengantin perempuan. Para penari juga menggunakan aksesoris seperti gelung bokor mengkurep, perhiasan seperti centhung, garudha mungkur, sisir jeram saajar, cundhuk mentul, dan tiba dhadha. Alat musik yang mengiringi tarian ini adalah Gending Ketawang Gedhe yang dimainkan dengan gamelan yang terdiri dari kethuk, kenong, kendhang, gong, dan kemanak. Bedhaya Ketawang memiliki tiga babak (adegan) yang diiringi oleh berbagai tembang (lagu) seperti Durma, Retnamulya, dan Dalem Ageng Prabasuyasa. Tarian ini memiliki struktur dan urutan gerakan yang teratur dan disertai dengan perubahan nada laras dalam musik pengiringnya.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Beksan Panji Sekar,"Beksan Panji Sekar adalah salah satu seni tari tradisional dari Daerah Istimewa Yogyakarta yang telah dikenal selama hampir 300 tahun. Tarian ini pertama kali diciptakan pada masa pemerintahan Sri Sultan Hamengku Buwana I, pendiri Keraton Kasultanan Yogyakarta. Beksan Panji Sekar memiliki tema patriotik, menggambarkan kisah peperangan dan latihan berperang dari Pangeran Mangkubumi, yang kemudian bergelar HB I, pendiri Keraton Yogyakarta. Beksan Panji Sekar memiliki nilai sejarah yang tinggi karena mencerminkan semangat patriotik Pangeran Mangkubumi dalam melawan penjajah Belanda. Beksan Panji Sekar merupakan bagian dari kesenian tradisional yang berfungsi sebagai bentuk pelestarian nilai-nilai budaya, sejarah, dan identitas bangsa. Dengan menampilkan kisah-kisah pahlawan dan pejuang dalam bentuk tarian, Beksan Panji Sekar menjadi sarana edukasi bagi masyarakat, khususnya generasi muda, untuk mengenal dan menghargai warisan budaya leluhur. Selain itu, tarian ini juga berperan sebagai hiburan dalam ritus adat, perayaan keagamaan, dan acara kebudayaan lainnya, yang memperkaya dan memperindah acara tersebut. Beksan Panji Sekar dibawakan oleh empat penari putra, menggambarkan dua tokoh utama, yaitu Jayakusuma dan Jayalengkara. Tarian ini memiliki tiga bagian, dimulai dengan sembah di pinggir, tayungan ke tengah, dan akhirnya mundur dengan iringan gending sri malela. Tarian Beksan Panji Sekar menggunakan berbagai atribut tradisional, termasuk keris, jemparing (panah), dan kostum dengan motif parang rusak. Musik pengiring tarian ini menggunakan gending-gending Jawa dengan irama dan lagu-lagu yang khas.",Seni Pertunjukan
Braen,"Braen adalah sebuah tradisi lisan seni permohonan yang berasal dari Jawa Tengah. Braen merupakan seni permohonan yang dilakukan dalam bentuk lagu atau nyanyian pada waktu-waktu tertentu. Braen berasal dari kata ""birai"" yang berarti semangat. Nama ini juga memiliki akar dari kata Arab ""Baroghin"" yang berarti dalil, tanda, atau hujjah. Braen merupakan sarana dakwah yang berisi dalil-dalil atau hujjah-hujjah. Masyarakat setempat mengenal braen sebagai seni penyuwunan, yaitu seni doa permohonan kepada Tuhan Yang Maha Esa. Kesenian braen memiliki akar budaya Islam dan Jawa, ini terlihat dalam penggunaan syair-syair Islami -- seperti ketauhidan, sejarah, dan pendidikan Islam -- dan sesaji sebagai perlengkapan ritus. Braen memiliki peran dalam kehidupan masyarakat Pulau Jawa sebagai tanda awal persebaran agama Islam dan sebagai sarana ritus dalam berbagai acara keagamaan seperti doa kematian, ruwatan, dan ungkapan syukur. Kesenian ini juga menjadi sarana edukasi bagi generasi muda agar memiliki rasa kecintaan terhadap budaya lokal. Braen dimainkan dalam berbagai acara keagamaan dan merupakan permohonan doa untuk mencapai keinginan tertentu, seperti jodoh, karier, dan lain-lain. Braen lesung dan alu sebagai alat musik pengiring. Ritus braen dipimpin oleh seorang perempuan yang memiliki gelar Rubiyah, yang merupakan keturunan Syekh Makhdum. Rubiyah menjadi penabuh terbang besar, yang merupakan satu-satunya instrumen dalam seni braen. Braen biasanya dilakukan oleh 9 hingga 16 perempuan, dan hanya perempuan keturunan Syekh Makhdum Husen yang awalnya dapat menjadi pemain braen. Syair-syair dalam braen dinyanyikan dalam empat bahasa: Jawa, Arab, Melayu, dan Sunda.",Tradisi dan Ekspresi Lisan
Caca Gulali,"Caca Gulali adalah permainan tradisional anak-anak yang berasal dari Betawi, DKI Jakarta. Permainan ini melibatkan nyanyian khas yang disebut ""Caca Gulali"" dan pemindahan batu kecil antar peserta. Permainan Caca Gulali berfungsi sebagai sarana hiburan dan interaksi antara anak-anak. Permainan ini memungkinkan anak-anak untuk bermain bersama dan mengembangkan keterampilan sosial mereka. Selain itu, permainan ini juga melibatkan unsur kecerdasan dalam menebak dan memperhatikan pemain yang diberi batu untuk menyembunyikan. Tema permainan ini adalah kerjasama dan ketelitian, di mana pemain harus bekerja sama dalam menyanyikan lagu dan memberi kesempatan kepada pemain jaga untuk menebak. Permainan ini biasanya dimainkan oleh sekitar 4-6 orang anak. Sebelum permainan dimulai, pemain yang akan menjadi jaga ditentukan melalui undian. Pemain yang menjadi jaga harus menelungkup menghadap lantai dan menutup wajahnya, sementara pemain lain duduk melingkari pemain yang jaga. Caca Gulali biasanya dimainkan di lingkungan tempat tinggal atau di sekolah sebagai aktivitas rekreasi anak-anak.",Tradisi dan Ekspresi Lisan
Cowongan Cilacap,"Cowongan adalah ritus tradisional yang dilakukan oleh masyarakat pedesaan untuk permohonan turun hujan. Nama ""cowongan"" berasal dari kata “cowang-coweng” yang berarti corat-coret di muka sebuah boneka (cowong) yang terbuat dari tempurung kelapa dan dihias seperti wanita sebagai perwujudan bidadari yang turun membawa hujan. Seiring berjalannya waktu, ritual cowongan berkembang menjadi sebuah pertunjukan seni yang mempertahankan aspek ritual pemanggil hujan. Selain sebagai sebuah upaya permohonan hujan kepada Tuhan yang Maha Esa, Cowongan juga menjadi wujud pengabdian kepada alam dan hubungan harmonis antara manusia dan lingkungan. Cowongan juga menjadi bentuk pelestarian budaya dan tradisi leluhur yang perlu dilestarikan. Alat dan bahan dari Cowongan adalah tempurung kelapa yang diberi baju dari kain, jerami, rumput, daun. Boneka ini kemudian dicoret menggunakan kabur sirih atau njet. Iringan musik dan lagu juga menjadi bagian dalam pertunjukan. Demografi yang terlibat dalam Cowongan adalah masyarakat pedesaan di Banyumas, Cilacap, dan sekitarnya, tanpa membatasi gender tertentu. Bioma yang terkait dengan cowongan adalah lingkungan pedesaan yang mencakup sawah, pekarangan, dan alam sekitarnya, di mana ritual ini dilakukan untuk mengatasi kekeringan dan memohon turunnya hujan.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Dagelan Mataram,"Dagelan Mataram adalah jenis kesenian Jawa yang lahir di Lingkungan Kraton Yogyakarta. Dagelan ini dimulai ketika GP Hangabehi, putra Sultan Hamengkubuwono VIII, memanggil Abdi Dalem untuk membuat orang tertawa dengan ocehan mereka pada setiap hari kelahirannya. Abdi Dalem yang menjadi bagian dari dagelan ini adalah orang-orang yang memiliki cacat tubuh atau tingkah laku lucu, yang sengaja dicari oleh raja dari berbagai penjuru negeri. Pada upacara-upacara kraton tertentu, mereka diberi tugas untuk melakukan upacara edan-edanan di depan mempelai. Dagelan Mataram juga dihubungkan dengan adanya pemancar radio MAVRO yang disiarkan sebagai selingan pada siaran uyon-uyon Gending Jawa. Dagelan Mataram memiliki ciri-ciri seperti menggunakan Bahasa Jawa, mengangkat cerita dari kehidupan sosial budaya masyarakat Jawa, diiringi oleh gamelan dan sinden, kadang-kadang dilengkapi dengan tari-tarian, pemain juga kadang-kadang menyanyikan tembang, dan menggunakan kostum pakaian Jawa. Selain berfungsi sebagai hiburan, Dagelan Mataram juga mengandung cerita dengan memanfaatkan tradisi dan tata krama Jawa dalam gaya bicara dan penyampaian cerita. Melalui ini, nilai kehidupan dan pesan sosial dapat disampaikan secara humoris kepada masyarakat. Pertunjukan Dagelan Mataram menggunakan gamelan sebagai pengiring musik, sinden sebagai penyanyi dan pemberi ilustrasi, tarian, tembang, dan kostum pakaian Jawa. Dagelan Mataram diterima dengan baik oleh masyarakat Jawa sebelum kebudayaan Barat masuk dan menjamur di masyarakat.",Seni Pertunjukan
