Barongan Kudus,"Barongan Kudus merupakan Seni Pertunjukan dari Kudus, Jawa Tengah. Pertunjukan Barongan diawali dengan melakukan ritual sesaji, setelah itu tarian-tarian dengan menampilkan seluruh tokoh, setelah selesai akan ditampilkan pertunjukan atraksi kekebalan tubuh dalam keadaan kesurupan atau tidak sadar diri. Pertunjukan Barongan Kudus menggunakan instrument music seperti selompret, gong, kenong, kendang dan bonang. Barongan kudus menampilkan beberapa tokoh seperti Singo Barong, Bujang Ganong, Jathilan dan Pentul Potrojoyo.","Adat Istiadat masyarakat, ritus, dan perayaan-perayaan"
Bedhaya Angron Sekar,"Bedhaya Angron Sekar, juga dikenal sebagai Bedhaya Arya Penangsang atau Bedhaya Purwagiling, adalah sebuah seni tari dari Daerah Istimewa Yogyakarta. Tarian ini adalah bagian dari karya bedhaya yang disusun oleh Sri Sultan Hamengku Buwono IX. Bedhaya ini memiliki latar belakang zaman Keraton Yogyakarta pada masa Indonesia merdeka, dengan Sultan HB IX yang berperan aktif sebagai pemimpin bangsa. Bedhaya Angron Sekar melibatkan peran seniman dan empu tari Keraton Yogyakarta, terutama KRT Sasmintadipuro atau Sasmintamardawa (Rama Sas). Rama Sas merupakan seorang penari, guru tari, dan empu tari yang terlibat dalam perubahan tari klasik Yogyakarta sepanjang masa penjajahan, proklamasi kemerdekaan, dan era orde baru. Bedhaya Angron Sekar merupakan simbol dari pewarisan dan pengembangan seni tari Yogyakarta dari masa sebelum Rama Sas hingga era Sultan HB X. Sebagai sebuah karya seni, Bedhaya Angron Sekar memiliki nilai estetika dan keindahan yang tinggi, menggambarkan perjuangan, kelembutan, dan harapan yang menyertai dalam kehidupan masyarakat Mataram. Tema yang diangkat dalam bedhaya ini adalah kisah pertarungan antara Sutawijaya dan Arya Penangsang, serta perjuangan Dewi Angron Sekar. Cerita ini menggambarkan kesetiaan seorang istri pada suaminya, serta perlawanan perempuan yang tertundukkan oleh kelembutan dan kesaktian. Bedhaya Angron Sekar menggunakan alat musik seperti gamelan yang mengiringi gerakan tari. Bedhaya ini biasanya dipentaskan oleh empu tari dan penari dari Keraton Yogyakarta, yang terlibat dalam penyusunan dan penulisan naskahnya.",Seni Pertunjukan
Beksan Golek Menak,"Tari Golek Menak merupakan sebuah seni tari dari Daerah Istimewa Yogyakarta. Tarian ini diciptakan oleh Sri Sultan Hamengku Buwana IX pada tahun 1948. Tari Golek Menak terinspirasi dari wayang golek kayu yang diadaptasi menjadi tarian yang ditampilkan oleh manusia. Pada akhir 1980an, karya ini direkonstruksi kembali dengan tujuan untuk mengembangkan tari tersebut menjadi sebuah karya yang lebih lengkap dan berkualitas oleh tim pengembang Golek Menak yang dipimpin oleh Prof. Dr. R.M. Soedarsono. Tari Golek Menak dapat dipentaskan pada tahun 1990 setelah kematian Sri Sultan Hamengku Buwana IX pada tahun 1988. Saat ini, tari Golek Menak jarang dipentaskan secara kolosal, tetapi seringkali pementasan cuplikan atau pethilan dilakukan. Cerita dalam tari ini diambil dari hikayat Amir Hamzah yang kemudian disadur ke dalam cerita Jawa oleh Yosodipuro III. Tokoh-tokoh dalam cerita ini memiliki nama-nama Jawa seperti Tiyang Agung Jayengrana, Umarmaya, dan Umarmadi. Cerita dalam tari Golek Menak berkisah tentang petualangan Tiyang Agung Jayengrana dalam menundukkan raja-raja di berbagai wilayah seperti Koparaman, Medayin, Kohkarib, Ngambar Kustub, dan sebagainya. Akhir dari peperangan ini adalah perdamaian dan penyatuan seluruh negara dengan bantuan Tiyang Agung Jayengrana. Tari Golek Menak memiliki teknik yang agak sulit bagi penari biasa, sehingga membutuhkan tingkat keahlian yang tinggi. Gerakan dalam tari Golek Menak memiliki ragam khas yang tidak ada dalam wayang wong. Tari ini memadukan gerakan Pencak Minang yang memberikan nuansa Nusantara dalam pertunjukan. Selama pementasan, tari Golek Menak didukung oleh iringan musik kendang Sunda yang dinamis.",Seni Pertunjukan
Beksan Guntur Segara,"Beksan Guntur Segara merupakan sebuah seni tari dari Daerah Istimewa Yogyakarta yang mengambil inspirasi dari cerita Panji dalam tradisi wayang gedhog. Cerita Panji adalah salah satu cerita yang populer di samping Mahabharata dan Ramayana. Cerita ini berasal dari siklus Panji yang menggambarkan peperangan antara Raden Guntur Segara melawan Raden Jayasusena. Raden Jayasusena adalah putra dari Raja Jenggala yang memohon diakui sebagai putranya setelah mengalahkan Raden Guntur Segara. Beksan Guntur Segara bertema tentang semangat keprajuritan dan keteguhan dalam perjuangan. Tarian Beksan Guntur Segara merupakan tarian yang membuka ruang inspirasi bagi kalangan muda untuk memperkuat semangat perjuangan dan terus mengasah diri. Tarian ini relevan dalam konteks Kasultanan Ngayogyakarta, Sri Sultan Hamengku Buwono I dan seluruh rakyatnya yang memiliki pengalaman dalam berperang melawan penjajah.",Seni Pertunjukan
Beksan Jebeng,"Beksan Jebeng adalah jenis seni tari dari Daerah Istimewa Yogyakarta yang awalnya diciptakan oleh Kanjeng Gusti Paku Alam II dan dilestarikan oleh Paku Alam III hingga Paku Alam VIII. Tarian ini berkembang di Pura Pakualaman dan memiliki prinsip joged ki bebas, merdeka, ning ora sah nggaya, yang berarti tarian ini harus dilakukan dengan jiwa yang merdeka. Beksan Jebeng menggambarkan peperangan antara Raden Arjuna melawan Adipati Karno dengan senjata keris dan jebeng (sejenis perisai). Tarian ini menggabungkan nilai-nilai Yogyakarta dan berfokus pada keindahan gerakan dan karakter gagah yang ditampilkan secara halus. TarianBeksan Jebeng merepresentasikan perubahan dan pemersatu budaya. Tarian ini menghadirkan pesan-pesan tentang kebebasan dan kemerdekaan serta nilai-nilai, norma, dan etika yang harus dikuasai oleh seorang penari. Beksan Jebeng juga mengajarkan pentingnya mengendalikan emosi dalam situasi konflik, yang divisualisasikan dalam bentuk peperangan batin manusia dengan perwatakan merah yang jahat dan putih yang baik. Tarian ini juga menjadi simbol dari perjuangan dalam hidup dan mengembangkan jati diri individu. Tarian ini awalnya berkembang di Pura Pakualaman dan melibatkan penari putri. Beksan Jebeng menggunakan properti seperti jebeng, yang merupakan perisai dari kulit berbentuk setengah lingkaran ditanam di kayu pegangan. Terdapat dua jenis Beksan Jebeng, yaitu Jebeng Karno-Arjuna yang menggunakan ornamen wayang tokoh Adipati Karno dan Raden Dananjaya, serta Jebeng Lar-laran yang menggunakan ornamen berbentuk garis-garis mengesankan motif lar-laran dalam batik.",Seni Pertunjukan
Bundengan,"Bundengan adalah sebuah seni musik kowangan yang berasal dari Wonosobo, Jawa Tengah. Istilah ""kowangan"" mengacu pada alat musik yang terbuat dari anyaman bambu berlapis clumpring. Bundengan awalnya lebih dikenal sebagai caping penggembala, yaitu penutup kepala para penggembala. Kesenian Bundengan berkembang dalam konteks budaya agraris masyarakat ini, yang mencerminkan hubungan erat dengan alam dan kegiatan pertanian. Musik bundengan cenderung mengadopsi musik gamelan kerakyatan dan sering mengiringi tarian tradisional seperti Topèng Lènggèr. Bundengan tidak hanya menjadi hiburan privat dalam penggembalaan, tetapi juga menjadi pusat perhatian dalam pertunjukan seni. Kesenian ini turut memperkaya dan mempertahankan budaya lokal serta menjadi simbol nostalgia terhadap masa kecil dan kehidupan pedesaan. Alat musik bundengan terbuat dari anyaman bambu dengan lapisan clumpring. Clumpring adalah kelopak batang bambu yang tumbuh pada setiap ruas bambu. Penggunaan bundengan juga melibatkan berbagai aspek budaya dan kehidupan masyarakat Wonosobo, seperti kosakata yang terkait dengan alam, pertanian, dan penggembalaan. Kesenian bundengan mengalami perkembangan dan kolaborasi dengan berbagai bidang, baik dalam pertunjukan, rekaman data, maupun eksperimen musik.",Seni Pertunjukan
Gemblak Tuban,"Gemblak adalah Seni Pertunjukan yang mencakup tari, drama, dan musik (karawitan) sebagai elemen utamanya. Kata “Gemblak” berasal dari kata “digegem” dan “diblakne” yang memiliki makna bahwa sesuatu yang jelek tinggalkan dan sesuatu yang baik dipegang dan dilaksanakan. Gemblak juga memiliki kaitan dengan kitab Panji, di mana setiap pergelaran seni Gamblak selalu membawakan lakon atau cerita dari siklus Panji seperti Ande-ande Lumut, Timun Mas, Panji Laras, Joko Kendil, dan lainnya. Di wilayah Kabupaten Tuban, kesenian Gemblak masih dapat ditemui, terutama di Desa Hargoretno, Kecamatan Kerek. Gemblek Tuban memiliki fungsi sebagai Seni Pertunjukan, sekaligus memiliki nilai edukatif sebagai pengenalan cerita warisan Jawa Kuno yang menghibur. Alat yang digunakan dalam Gemblak adalah gamelan, kendhang, saron, dan gender. Gemblak melibatkan kelompok seniman laki-laki maupun Perempuan, dan dipertunjukkan di berbagai festival/",Seni Pertunjukan
Gerobak Sapi Yogyakarta,"Gerobak sapi telah ada sejak masa kolonial, dan digunakan sebagai sarana angkutan untuk memenuhi kebutuhan pemerintah Belanda, terutama untuk mengangkut komoditas perdagangan. Setelah kekalahan Belanda dan berkuasanya Jepang pada tahun 1942, pengoperasian gerobak dikendalikan oleh pemerintah Jepang untuk kelancaran angkutan barang-barang yang dibutuhkan oleh pemerintah Gerobak sapi digunakan sebagai sarana transportasi di sektor pembangunan dan perekonomian kota, serta di sektor pertanian. Pada masa kemerdekaan, gerobak masih memainkan peran penting dalam pembangunan dan perekonomian, meskipun mulai mengalami persaingan dengan kendaraan bermotor. Meskipun gerobak memiliki nilai ekonomi, tetapi kondisi perubahan sosial-ekonomi dan persaingan dengan kendaraan bermotor membuat sebagian besar gerobak hanya beroperasi dalam skala antar desa. Gerobak sapi terbuat dari bahan kayu yang kuat dan kokoh, biasanya menggunakan kayu jati. Alat angkut ini ditarik oleh seekor sapi yang diikatkan dengan tali pada gerobak. Proses pembuatan gerobak memerlukan keahlian khusus dan memakan waktu yang cukup lama.",Kemahiran dan Kerajinan Tradisional
Golek Montro,"Golek Montro adalah tarian tradisional asal Surakarta, yang diciptakan oleh Kanjeng Gusti Pangeran Adipati Aryo (KGPAA) Mangkunegoro VII pada masa pemerintahannya. Tarian ini menceritakan tentang putri-putri keraton yang sedang berhias atau mempercantik diri untuk menyambut kedatangan tamu agung kerajaan, dengan gerakan gemulai dan ritme yang lambat khas Solo. Golek Montro berfungsi sebagai tarian penyambutan tamu, dan dipentaskan pada acara awal sebagai acara yang dianggap penting. . Tarian ini menjadi simbol kejayaan Pura Mangkunegaran pada masa pemerintahan KGPAA Mangkunegara VII dan menjadi salah satu ekspresi seni yang melibatkan putri-putri keraton. Golek Montro menggunakan gendhing Montro dan ladrang Asmaradana sebagai iringan musiknya. Tidak ada aturan baku mengenai jumlah penari dalam tarian ini, bisa dilakukan oleh penari tunggal atau kelompok. Dalam Golek Montro terdapat rangkaian doa dan mantra yang diyakini dapat menjaga kelancaran seluruh acara yang akan berlangsung. Tarian ini memiliki durasi sekitar tiga puluh menit dan ditampilkan dengan senyum yang terus menerus menghiasi wajah penari, sehingga penonton dapat menikmati keindahan Golek Montro.",Seni Pertunjukan
Kembul Sewu Dulur Saparan Bendung Khayangan,"Kembul Sewu Dulur Saparan Bendung Kayangan merupakan sebuah upacara adat yang dilaksanakan oleh berbagai dusun di sekitar Bendungan Kayangan, Desa Pendoworejo, dan waktu pelaksanaannya ditentukan berdasarkan kalender Jawa (saka) yang memiliki siklus 354 hari. Upacara ini memiliki keterikatan yang kuat dengan sosio-historis warga terhadap Bendungan Kayangan, yang juga merupakan tempat petilasan leluhur warga desa. Selain sebagai tempat pelaksanaan upacara, bendungan ini juga digunakan untuk memenuhi kebutuhan sehari-hari seperti irigasi pertanian, perkebunan, air minum, dan tempat wisata. Upacara Kembul Sewu Dulur Saparan Bendung Kayangan merupakan ritual yang menjaga nilai kerukunan antarwarga, yang tercermin dalam doa-doa yang diucapkan selama upacara. Konsep ""kembul sewu dulur"" digunakan sebagai analogi bahwa seluruh pengunjung upacara dianggap sebagai saudara. Selain itu, upacara ini juga menjaga kelestarian lingkungan dan menghormati kebaikan leluhur. Upacara ini juga menjadi peringatan sejarah terbentuknya Bendungan Kayangan. Ada beberapa kegiatan yang menjadi rangkaian upacara ini dan setiap tahun rangkaian acara upacara ini dapat berbeda-beda. Kegiatan ""ngguyang jaran"", misalnya, merupakan upacara ritual memandikan kuda kepang di aliran air Bendungan Kayangan. Ada juga tradisi memandikan wayang kuno, sepeda kuno, penganten baru, dan penganten baru seniman. Ritual ini diyakini dapat mendatangkan pelarisan bagi kelompok kuda kepang. Kegiatan lainnya mencakup kesenian jatilan atau kuda lumping, pembacaan puisi, ngurung kepel (jaran), dan pentas tari topeng.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
