Andong Yogyakarta,"Andong Yogyakarta merupakan Pengetahuan Tradisional membuat kendaraan kereta kuda yang digunakan di wilayah Daerah Istimewa Yogyakarta. Bentuk andong mirip dengan kereta kuda dan terdapat beberapa jenis atau model seperti kereta terbuka beroda dua atau beroda empat, serta kereta tertutup beroda empat dengan ornamen khas keraton. Pada masa lalu, andong digunakan untuk mengangkut barang dan penumpang, seperti para pedagang batik dari Kotagede ke pasar Beringharjo. Andong awalnya menjadi penanda status sosial para kerabat keraton. Seiring perkembangan waktu, andong berubah fungsi menjadi sarana hiburan dan kemudian menjadi salah satu ikon pariwisata Yogyakarta. Andong juga memberikan kontribusi bagi masyarakat lokal, seperti terbukanya lapangan pekerjaan sebagai kusir andong dan perajin andong. Andong Yogyakarta memiliki komponen-komponen seperti payonan, cagak, senderan, buntutan, kenekan, per, roda, bangkon, pancatan, slebor, onderstel, dan lampu. Pembuatan dan pemakaian andong merupakan pengetahuan dan ketrampilan turun-temurun yang telah diturunkan selama lebih dari 3 generasi, dan biasanya dilakukan oleh keluarga yang memiliki bengkel andong.",Kemahiran dan Kerajinan Tradisional
Baritan Asemdoyong,"Baritan Asemdoyong adalah Adat Istiadat ungkapan syukur masyarakat nelayan pesisir utara Asem Doyong, Jawa Tengah. Puncak dari Adat Istiadat ini adalah larung sesaji. Masyarakat nelayan Asemdoyong percaya sesaji akan memberikan berkah pada para nelayan. Barita Asemdoyong berfungsi sebagai ucapan syukur dan membangun silaturahmi antar warga nelayan Asemdoyong. Tradisi ini secara ekonomi berkontribusi terhadap pendapat masyarakat lokal. Prosesi Larung sesaji yang dimulai dari Balai desa Asemdoyong diawali dengan kirab Ambeng Laut yang diiringi musik angklung, drum band, kuda lumping dan rebana dilanjutkan Upacara Ritual dan Ruwatan Larung Sesaji di TPI Asemdoyong, dimulai pukul 07.30 wib. Sesaji yang berupa kepala kerbau, aneka hasil bumi, aneka kebutuhan sehari hari dan berbagai macam sesaji lainnya setelah diberi do’a diiringi oleh puluhan kapal Kapal nelayan yang berisikan keluarga nelayan dan masyarakat lainnya akhirnya dibawa ketengah laut untuk dilarung. Baritan Asemdoyong umumnya dimeriahkan dengan berbagai acara hiburan seperti turnamen sepakbola, pagelaran wayang, orkes music dangdut, dan sebagainya.","Adat Istiadat masyarakat, ritus, dan perayaan-perayaan"
Benthik Yogyakarta,"Benthik adalah permainan anak yang menggunakan dua ranting kayu berukuran panjang (sekitar 30 cm) dan pendek (sekitar 10 cm) dari Daerah Istimewa Yogyakarta. Nama ""Benthik"" berasal dari suara ""thik, thik"" yang dihasilkan ketika kedua ranting tersebut bertemu. Permainan ini dilakukan di halaman yang bersih, rata, dan luas, dan dimulai dengan membuat lubang kecil di tanah untuk meletakkan ranting pendek. Permainan Benthik berguna untuk melatih anak-anak dalam hal kedisiplinan dan kebersamaan. Permainan ini mengajarkan anak-anak untuk mematuhi peraturan dan menjaga hubungan sosial yang harmonis dengan orang lain. Benthik juga mengedepankan kerja keras, sportivitas, dan kejujuran dalam mencapai poin dalam permainan. Permainan tradisional seperti Benthik dapat menjadi alternatif yang menyenangkan dan mendidik bagi anak-anak di tengah dominasi permainan modern yang cenderung individualistis. Permainan Benthik menggunakan dua ranting kayu, yaitu ranting panjang dan pendek yang memiliki struktur yang kuat, seperti kayu pohon Jambu Biji, Mangga, Klengkeng, Kemuning, atau jenis kayu lainnya. Ranting panjang digunakan untuk memukul ranting pendek. Proses permainan melibatkan beberapa tahap, seperti ""hongpimpa"" untuk menentukan pemain pertama, ""nyuthat"" untuk memukul dan melambungkan ranting pendek, ""namplek"" untuk melempar dan memukul ranting pendek, dan ""nuthuk"" untuk memukul dan mengudarakan ranting pendek. Poin dalam permainan ini didapatkan berdasarkan jarak, cara menangkap ranting pendek, dan pukulan yang dilakukan oleh pemain.",Tradisi dan Ekspresi Lisan
Ceprotan,"Ceprotan merupakan ritus adat tahunan masyarakat Desa Sekar, Kecamatan Donorojo, Kota Pacitan, Jawa Timur. Ritus ini dilaksanakan pada bulan Dzulqaidah, pada hari Senin Kliwon di Desa Sekar, sekitar 40 km ke arah barat dari pusat kota. Ritus Ceprotan bertujuan untuk mengenang pendahulu Desa Sekar, yaitu Dewi Sekartaji dan Panji Asmorobangun, serta menjaga desa dari bala dan memperlancar kegiatan pertanian. Ritus merupakan bentuk penghormatan kepada pendahulu desa, ritus ini juga memiliki makna kebersamaan dan solidaritas antarwarga. Melalui kegiatan saling melempar kelapa muda, masyarakat saling berbagi dan berharap mendapatkan rezeki yang berlimpah. Tema utama dalam ritus ini adalah menjaga desa dari bala, memperlancar kegiatan pertanian, dan mengenang sejarah dan leluhur desa. Ceprotan juga mencerminkan nilai-nilai gotong royong dan kebersamaan dalam masyarakat Pacitan, di mana semua anggota kubu saling bekerja sama dalam ritus ini. Dalam ritus Ceprotan, kelapa muda kelapa muda yang dikuliti dan direndam agar tempurungnya melunak menjadi elemen penting yang digunakan sebagai alat ""ceprotan"". Kelapa muda ini ditempatkan dalam keranjang bambu dengan anyaman yang besar dan dibawa oleh pemuda setempat. Selain itu, terdapat juga ingkung atau ayam utuh yang dipanggang yang diletakkan di tengah-tengah arena ritus. Proses ritus Ceprotan melibatkan pemuda-pemuda desa yang dibagi menjadi dua kubu, berhadapan satu sama lain, dan saling melempar kelapa muda. Jarak antara kedua kubu diatur agar tidak terjadi kontak langsung. Selama ritus, para peserta juga mendengarkan pembacaan doa-doa sebagai bagian dari ritus. Ritus ini melibatkan seluruh masyarakat desa, tanpa memandang jenis kelamin atau usia.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Dongkrek,"Dongkrek adalah kesenian yang awal mulanya dilakukan untuk mengusir pagebluk, namun berkembang menjadi Seni Pertunjukan dengan melibatkan prosesi arak-arakan mengelilingi wilayah Mejayan bersama para penari dan tokoh Masyarakat. Ritual Dongkrek dilakukan dalam suasana yang gelap, terutama pada malam Jumat Legi yang dianggap sakral oleh warga Mejayan. Kini, Dongkrek menjadi bentuk Seni Pertunjukan yang tetap mempertahankan tradisi ritual di dalamnya. Fungsi Dongkrek adalah pertunjukan yang menghibur masyarakat. Namun dalam fungsi ritual, Dongkrek yang dilakukan pada malam Jumat Legi memperkuat rasa keagamaan dan kepercayaan Masyarakat terutama dalam nilai Sejarah yang penting bagi daerah tempat Dongkrek berkembang, hingga meningkatkan rasa kebanggaan terhadap identitas lokal. Dongkrek disajikan dalam bentuk arak-arakan yang melibatkan 34 orang penari baik laki-laki maupun perempuan, diiringi irama bunyi-bunyian, dan dipimpin oleh pemimpin Masyarakat. Dongkrek melibatkan alat musik Gamelan Dongkrek yang terdiri dari, seperti kendang, gong, saron, bonang, kenong, dan sebagainya.",Seni Pertunjukan
Dugderan,"Dugderan adalah sebuah tradisi yang berkembang di Kota Semarang dari tahun 1881, yang meruapakan arak-arakan yang dilakukan dalam rangka menyambut bulan Ramadhan. Dugderan berasal dari kata “dug” dan “der” yang dihasilkan oleh pukulan bedug Masjid Besar Kauman dan penyulutan Meriam di halaman pendapa kabupaten di Janjengan. Fungsi Dugderan adalah mengumpulkan Masyarakat dalam suasana suka cita tanpa pembedaan, dan juga untuk menentukan awal bulan puasa bagi Masyarakat Islam. Tradisi ini juga berfungsi sebagai penguat tali silaturahim dan persatuan Masyarakat. Terdapat agenda utama dalam Dugderan, yaitu pasar malam yang berlangsung selama satu minggu di Pasar Johar atau sekitar Masjid Besar Kauman. Prosesi berikutnya adalah Bupati dan Imam Masjid memberikan sambutan kepada Masyarakat, dan Masyarakat kerap memukul bedug untuk menyenangkan hati Masyarakat. Terakhir adalah prosesi Warak Ngedok, di mana hewan mitologi ini hadir sebagai simbol dugderan dan maskot Kota Semarang.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Gambyong Pareanom,,Seni Pertunjukan
Gejog Lesung Yogyakarta,"Gejog adalah pertunjukan tradisional asal Kabupaten Bantul, Gunung Kidul, Kulonprogo, dan Sleman di Yogyakarta. Asal-usulnya terkait dengan tiga cerita, termasuk dongeng atau mitos tentang terjadinya lesung. Dalam cerita ini, ""lesung"" dipercayai sebagai jadi-jadian dari bagian perut Dewa Kala Rau alias Lembu Culung. Lesung memiliki bentuk kuno yang menggambarkan beberapa bagian tubuh manusia raksasa seperti kepala, leher, dada, perut, kaki, dan sirip. Setiap bagian lesung menghasilkan suara yang berbeda saat dipukul, menciptakan efek tinggi-rendah suara yang khas. Gejog Lesung sering menjadi hiburan di perayaan budaya dan acara adat. Selain itu, Gejog Lesung juga dapat memperkaya dan memperluas pengaruhnya yang lekat dengan identitas Yogayakarta, melalui narasi yang mengisahkan kisah Roro Jonggrang, yang mengarahkan para petani untuk memainkan music Gejog Lesung di malam hari. Alat yang digunakan dalam pertunjukan ini adalah lesung yang terbuat dari kayu atau bambu. Selain itu, Gejog lesung juga kerap diiringi oleh gamelan. Proses pembuatan dan teknik memainkan Gejog Lesung memerlukan keahlian dan Latihan dari para seniman yang akan memainkannya.",Seni Pertunjukan
Gobak Sodor Yogyakarta,"Gobak Sodor merupakan sebuah permainan olahraga tradisional beregu yang berasal dari Yogyakarta. Permainan ini melibatkan dua tim yang saling menyerang dan bertahan. Gobak sodor memiliki nilai hiburan, dan juga berfungsi sebagai permainan fisik dengan nilai kekompakan, kelincahan, keterampilan taktik, dan juga nilai moral seperti kejujuran sportivitas, perjuangan hidup, kerjasama, dan kepemimpinan. Kerainan ini juga dapat menjadi media internalisasi budaya Yogyakarta, hingga menjadi bagian kurikulum Sariswara yang diselenggarakan oleh Taman Siswa. Permainan ini biasa dimainkan oleh anak laki-laki maupun Perempuan, dengan jumlah pemain antara enam hingga sepuluh pemain yang dipecah menjadi dua kelompok, yaitu kelompok penyerang dan kelompok bertahan. Area permainannya berukuran sekitar 4 m lebar dan 20 m panjang, dengan setiap kompartemen memiliki lebar 2 m dan panjang sekitar 6 m. Para pemain penyerang harus berusaha untuk melintasi garis belakang arena yang dijaga oleh pemain bertahan. Strategi dan taktik yang digunakan pemain penyerang untuk mengelabui pemain bertahan menjadi bagian penting dari permainan ini. Jika pemain penyerang tersentuh atau ditangkap, kedua kelompok akan bertukar posisi, dan permainan akan berlanjut.",Tradisi dan Ekspresi Lisan
Grebeg Besar Demak,"Grebeg Besar adalah rangkaian kegiatan perayaan yang dilaksanakan setahun sekali pada bulan Zulhijah (bulan haji). Grebeg Besar Demak merupakan salah satu kegiatan budaya yang telah berlangsung sejak zaman Kerajaan Demak pada abad ke-15. Pada masa itu, di Kerajaan Demak Bintoro terdapat tiga kegiatan grebeg, yaitu Grebeg Maulud, Grebeg Besar, dan Grebeg Suro/Muharam. Perayaan Grebeg Besar Demak melibatkan berbagai acara, mulai dari keramaian pasar malam hingga tumpeng sembilan yang diarak ke Masjid Agung Demak. Fungsi Grebeg Besar Demak adalah sebagai perayaan. Salah satu acara dalam Grebeg Besar Demak adalah Tumpeng Sembilan, di mana sembilan tumpeng nasi diarak dari Pendopo Kabupaten Demak menuju Serambi Masjid Agung Demak. Rombongan tumpeng sembilan diiringi oleh para santri, ulama, bupati, Muspida (Musyawarah Pimpinan Daerah), serta pejabat pemerintah kabupaten. Di Serambi Masjid Agung Demak, diselenggarakan penyambutan rombongan dengan pengajian umum, doa yang dipimpin oleh pemuka ulama, dan makan bersama tumpeng sembilan. Selain itu, juga terdapat acara anca'an, yaitu selamatan atau bancakan, di mana nasi dibungkus dengan sulaman bambu dan daun jati dan diterima oleh masyarakat yang berebutan. Grebeg Besar Demak juga melibatkan kegiatan Prajurit Empat Puluh, yaitu pasukan prajurit yang diutus oleh Bupati Demak untuk mengawal minyak jamas dan bunga ratus sebagai sarana penjamasan Pusaka Kajeng Sunan Kalijaga dan ziarah ke makam Sunan Kalijaga. Kegiatan ini dilaksanakan dalam suasana upacara adat kebesaran Kasultanan Demak di Pendopo Kabupaten Demak. Puncak dari Grebeg Besar Demak adalah Penjamasan Pusaka Kajeng Sunan Kalijaga yang dilakukan oleh Ahli Waris Sunan Kalijaga dan para sentono-nya. Setelah penjamasan, pemangku adat dan Ahli Waris Sunan Kalijaga menerima masyarakat yang memohon berkah (ngalap berkah) dengan cara berjabatan tangan.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
