Baju Kebaya Labuh,"Baju Kebaya Labuh merupakan Pakaian Tradisional perempuan Melayu Lingga di Kepulauan Riau. Kebaya labuh adalah jenis kebaya yang memiliki panjang hingga di bawah lutut dan memiliki belahan di bagian depan hingga ke bawah yang telah dikenal sejak zaman Kerajaan Lingga-Riau. Kebaya labuh juga memiliki kekek di bawah ketiak kiri dan kanan serta berpesak di bagian depan. Pakaian ini biasanya dihiasi dengan tiga kancing yang disemat menggunakan pin atau keronsang. Baju Kebaya Labuh pada masa lalu digunakan sebagai pakaian sehari-hari oleh kaum perempuan Melayu Lingga. Kebaya labuh saat ini lebih sering dipakai sebagai Pakaian Tradisional pengantin perempuan Melayu Lingga atau pada acara-acara khusus seperti majelis Adat Istiadat atau hari raya. Pakaian ini memiliki nilai estetika dan keindahan yang menjadi bagian dari tradisi dan budaya Melayu di Kepulauan Riau. Baju Kebaya Labuh umumnya terbuat dari bahan-bahan seperti sutera, katun, atau brokat dengan hiasan dan motif yang khas. Pakaian ini dipadankan dengan kain batik yang diikat dengan cara lipatan sebelah kanan menutup sebelah kiri. Untuk mengikat kebaya labuh, biasanya digunakan semat pin atau tiga buah keronsang yang indah-indah. Pada masa lalu, sebagian perempuan juga menggunakan tudung lingkup yang merupakan sehelai kain sarung untuk menutup kepala dan dada.",Kemahiran dan Kerajinan Tradisional
BAJU KURUNG TELUK BELANGE LINGGA,"Baju Kurung Teluk Belange merupakan Pakaian Tradisional Melayu Lingga, Kepulauan Riau. Pakaian ini berkembang di Lingga pada masa pemerintahan Sultan Sulaiman Badrul Alam Syah II (1857-1883) dan menjadi pakaian kebiasaan orang Melayu Lingga. Baju kurung Teluk Belange memiliki ciri-ciri seperti labuhnya baju hingga ke punggung, dua kocek di bagian perut, tanpa kerah, dan berkancing satu di bagian atas dekat leher. Pakaian ini juga menggunakan pesak kekek di bawah ketiak kanan dan kiri untuk memberikan kenyamanan dan keleluasaan saat dipakai. Baju Kurung Teluk Belange dipakai dalam acara Adat Istiadat dan hari-hari besar Islam di Lingga. Baju Kurung Teluk Belange merepresentasikan secara simbolis nilai-nilai masyarakat Lingga. Butang pada baju melambangkan keesaan yang Maha Kuasa, sedangkan jahitan tulang belut pada leher dan belahan leher baju memiliki makna saling mengisi, menolong, dan menjaga rahasia. Pesak kekek pada pakaian ini juga memiliki makna menyembunyikan dan menentukan kekayaan, keluarga, serta derajat tergantung pada besar atau kecilnya pesak. Selain itu, baju kurung juga melambangkan tata krama, sopan santun, dan tunjuk ajar dalam budaya Melayu Lingga. Baju Kurung Teluk Belange juga memiliki beberapa elemen seperti badan baju, lengan baju, pesak baju, kekek baju, saku bawah, saku atas, belahan leher, dan jahitan tulang belut pada leher sampai belahan leher baju. Pembuatannya meliputi pemotongan elemen-elemen baju, penjahitan kerah dan pemasangan butang pada bagian leher. Pada saat ini, hanya beberapa desa di Lingga yang memiliki penjahit baju Teluk Belange, dan sebagian besar baju dijual setelah ada pemesan yang membutuhkannya.",Kemahiran dan Kerajinan Tradisional
Gasing Terenang,"Gasing Terenang adalah permainan tradisional dari Desa Lintang, Kabupaten Belitung Timur. Meskipun tidak ada kosa kata Melayu Belitong yang dapat digunakan untuk menggambarkan permainan ini, cerita turun temurun tentang seorang maestro gasing bernama Tuk Gasing telah mewariskan pengetahuan tentang cara membuat dan memainkan gasing. Identitas sebenarnya dari Tuk Gasing tidak diketahui secara pasti, namun perannya dianggap penting dalam mempertahankan pengetahuan tersebut. Masyarakat meyakini bahwa bermain gasing melatih kekuatan lengan dan daya tahan tubuh ketika melakukan aktivitas seperti menebang pohon dan membersihkan belukar di hutan. Namun, sering pergeseran dari aktivitas agraris, penggunaan Gasing Terenang kini fokus sebagai olahraga, meskipun Masyarakat Desa Lintang mempertahankan eksistensinya sebagai Upaya untuk menjaga identitas nenek moyang Melayu Belitong. Gasing ini terbuat dari kayu tanpa menggunakan pasak pelor besi atau paku pada bagian pangkal atau buntut. Hal ini disesuaikan dengan kebiasaan masyarakat yang biasa bermain Gasing Terenang di lapangan tanah yang keras. Sekain kayu, gasing juga memerlukan tali untuk melilitnya. Gasing memiliki bagian yang terdiri dari Kepalak (kepala) yang berfungsi sebagai pusat keseimbangan dan penahan pukulan, Ler (leher) sebagai tempat awalan Lilita tali dan saaaran pukulan, badan sebagai tempat kelanjutan lilitan dan penahan pukulan, ketong sebagai penentu bentuk kestabilan gasing, dan buntut sebagai penempu gerak dan lama kestabilan putaran gasing. Gasing dimainkan tanpa memandang gender dan usia, serta sering terkait dengan lapangan tanah yang keras di Desa Lintang.",Tradisi dan Ekspresi Lisan
Ghatib Beghanyut,"Ghatib Beghanyut berasal dari kata Ghatib yang berarti dzikir dan beghanyut berarti hanyut menggunakan perahu. Ghatib Beghanyut berasal dari daerah Siak, Mempura, dan Bukitbatu di Provinsi Riau. Ghatib Beghanyut adalah ritual tolak bala melalui dizikir dan doa yang dilakukan di atas perahu yang berhanyut seiring arus Sungai. Melalui ritual ini, Masyarakat berahap terhindar dari kesialan dan kecelakaan, sehingga tradisi ini dijadwalkan secara berkala. Ghatib Berghanyut dilikan di Sungai Jantan yang dilakukan setiap bulan safar, malam hari setelah shalat isya. Sebelum pelaksanaan ghatib beghanyut, peserta dan masyarakat melakukan ziarah ke makam sultan dan berzikir bersama di sana. Seluruh peserta mengenakan pakaian serba putih. Prosesi ghatib beghanyut dilakukan di atas perahu mesin dan perahu tradisional. Ulama memimpin dzikir dengan lantunan takbir, yang diikuti oleh seluruh peserta baik yang berada di perahu maupun di tepian sungai. Setelah berkeliling kampung melalui Sungai Jantan, kegiatan tersebut diakhiri dengan makan bersama dan doa penutup yang dipimpin oleh khalifah dan kadam.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Hadrah Gendang Empat Belitong,"Hadrah Gendang Empat, juga dikenal sebagai Hadrah Gedungguk atau Gedunggut, adalah sebuah kesenian musik yang berasal dari Pulau Belitung, Sumatra Selatan. Kesenian ini merupakan hasil adaptasi dari beberapa jenis Hadrah yang ada di Indonesia. Hadrah Gendang Empat dikatakan berasal dari Pulau Belitung sendiri, dan dinamai demikian karena menggunakan empat buah gendang hadrah. Hadrah Gendang Empat Belitong memiliki fungsi religi yang kental karena menggunakan syair Hadrah yang berisi unsur-unsur keagamaan, seperti memuji Tauhid dan Nabi Muhammad SAW. Gendang Empat juga memiliki fungsi dalam acara arak-arakan penganti di pernikahan Melayu Belitung, serta menjadi kesenian yang mempengaruhi perkembangan kesenian Rudat di daerah Belitung Timur. Dalam pelaksanaannya, Hadrah Gendang Empat menggunakan empat buah gendang hadrah yang memiliki ukuran yang berbeda, tetapi ciri dan bentuk yang sama. Setiap gendang hadrah dilengkapi dengan enam buah giring atau kerincing yang terdiri dari dua buah pada masing-masing lubang. Kostum yang digunakan dalam kesenian ini mengikuti prinsip menutup aurat, karena Hadrah Gendang Empat bernafaskan Islam. Penggunaan pakaian adat Teluk Belange dengan tambahan kain sarung Cincang Nangkak dan kadang-kadang menggunakan Songket, serta penggunaan peci sebagai penutup kepala, juga mencerminkan unsur kemelayuan dalam kesenian ini. Hadrah Gendang Empat lebih berkembang di daerah Kabupaten Belitung Timur, terutama di wilayah selatan seperti Desa Gantung, Batu Penyu, Jangkar Asam Kecamatan Gantung, Balok, dan Jangkang Kecamatan Dendang.",Seni Pertunjukan
Kain Telepuk Lingga,"Kain Telepuk Lingga adalah salah satu jenis kain tradisional asal Melayu-Lingga. Kain Telepuk berasal dari kata ""menelepuk"" atau memberikan motif pada kain menggunakan kertas emas dengan cap. Menurut tradisi di Lingga, kain telepuk lebih lazim dipakai oleh kaum laki-laki dan tidak sering digunakan oleh kaum wanita. Sejarah Kerajaan Lingga-Riau juga mencatat aturan yang melarang penggunaan kain telepuk oleh masyarakat non-bangsawan. Masyarakat Lingga tidak hanya menggunakan kain telepuk, tetapi juga memproduksinya sendiri. Kain telepuk memiliki beberapa motif dengan makna tersendiri, seperti motif bunga manggis kembang berisi yang memiliki makna kesuburan dan kesehatan jasmani dan rohani. Kain telepuk memiliki makna sebagai pelindung diri dan penutup akhlak. Dalam pembuatan kain telepuk, terdapat beberapa langkah dan bahan yang digunakan. Kain telepuk memiliki motif kepala kain yang berbeda dengan motif dasar. Motif kepala kain terletak di tengah dan berukuran tertentu sepanjang lebar kain. Kain telepuk memiliki corak dasar berwarna biru tua dengan motif bunga kecil berwarna kuning emas. Pembuatan motif pada kain telepuk dilakukan dengan cara tradisional menggunakan kertas emas dan cap. Namun, dengan keterbatasan peralatan saat ini, pembuat kain telepuk menggunakan plastik tipis transparan yang sudah ditebuk dengan motif tertentu. Setelah dijemur hingga kering, kain telepuk dijahit untuk dijadikan kain sarung.",Kemahiran dan Kerajinan Tradisional
Kain Tenun Sukomandi,"Tenun Sukomandi adalah kain tradisional asal Desa Kerataun, Kecamatan Kalumpang, Kabupaten Mamuju. Kain Tenun Sukomandi dijadikan sebagai pelindung badan yang dibuat dengan teknik khusus dan bahan khusus bernama kayu amballong. Tenun Sukomandi sering digunakan dalam acara adat, upacara pernikahan dan acara penting lainnya sebagai Pakaian Tradisional. Motif-motif yang terdapat dalam Tenun Sukomandi mencerminkan kekayaan alam, sejarah lokal, dan simbol-simbol kehidupan masyarakat. Pakaian tenun juga menjadi salah satu aspek identitas budaya masyarakat di Kecamatan Kalumpang, Mamuju. Dalam pembuatan Tenun Sukomandi, para pengrajin menggunakan alat tradisional seperti alat tenun dan alat pakan benang. Bahan utama kain tenun ini seperti kapas dan serat pohon didapatkan dari sumber daya alam sekitar desa. Proses pembuatan tenun melibatkan pengaturan benang dan pembentukan pola yang rumit untuk menciptakan motif yang diinginkan. Dalam proses pembuatan pakaian tersebut, kulit kayu amballong dipukul hingga tipis dan kemudian dibuat menjadi baju yang disebut ""BABU PASSE"" dan cawat yang disebut ""PEO"". Pembuatan tenun ini biasanya melibatkan perempuan lokal Desa karatun yang memiliki keterampilan khusus dalam tenun.",Kemahiran dan Kerajinan Tradisional
Pakaian Pengantin Paksian,"Pakaian Paksian adalah busana pengantin khas dari kota Pangkalpinang di Pulau Bangka Belitung. Pakaian Paksian memiliki pengaruh dari budaya Cina dan Arab. Dikisahkan bahwa baju pengantin wanita berasal dari negeri Cina karena adanya saudagar dari Arab yang datang ke negeri Cina untuk berdagang dan menyebarluaskan agama Islam. Ia kemudian jatuh cinta dengan seorang gadis Cina dan melangsungkan pernikahan dengan gadis tersebut. Pakaian Paksian berfungsi sebagai busana khas pengantin acara pernikahan dan menjadi simbol dari perpaduan budaya Cina dan Arab di daerah tersebut. Pakaian Paksian terbuat dari bahan-bahan berkualitas seperti sutra atau beludru untuk baju kurung wanita, dan kain besusur atau kain lasem sebagai kainnya. Mahkota Paksian yang menjadi bagian penting dari busana pengantin wanita terbuat dari material yang indah dan dihias dengan ornamen khas. Sorban sungkon yang dipakai oleh mempelai pria yang memiliki motif dan warna sesuai dengan tema busana pengantin. Pakaian ini disesuaikan dengan selera dan kemampuan finansial keluarga pengantin, sehingga ada variasi dalam pemilihan bahan dan dekorasi busana.",Kemahiran dan Kerajinan Tradisional
Pengapit Santan,"Pengapit santan merupakan sebuah peralatan tradisional yang digunakan oleh masyarakat Melayu Lingga untuk memeras santan dalam jumlah lebih banyak dan dengan cara yang lebih cepat. Pengapit santan berfungsi sebagai proses memeras santan, nilai gotong royong dan saling membantu dalam masyarakat Melayu, di mana warga saling berbagi dan saling meminjamkan alat yang diperlukan untuk keperluan acara tertentu. Proses pembuatan Pengapit santan dilakukan oleh seorang tukang dari bahan kayu yang keras, seperti kayu cempedak, kayu nangka, atau kayu lainnya yang kuat dan tahan lama. Ada dua jenis pengapit santan yang digunakan, yang pertama terdiri dari satu potongan kayu yang ditarah, dan yang kedua terbentuk dari potongan-potongan kayu yang disatukan. Proses pemerasan santan menggunakan pengapit santan dimulai dengan memasukkan parutan kelapa yang bercampur air dalam kantong atau pundi kain. Kemudian, kantong tersebut dijepit menggunakan pengapit santan sehingga santan mengalir ke bagian bawah dan ditampung dalam wadah.",Kemahiran dan Kerajinan Tradisional
Sapin Bagan,"Tari Tradisi Sapin Bagan merupakan salah satu tarian yang dijaga dan dilestarikan di Jalan Bulan Desa Bagan Hulu, Bagan Siapi-Api, Kabupaten Rokan Hilir, Provinsi Riau, Indonesia. Tarian ini berakar kuat pada kebudayaan Melayu. Tari Tradisi Sapin Bagan sudah ada sejak zaman kesultanan siak dan sampai saat ini masih dilestarikan. Dalam berbagai acara adat dan keramaian, tarian ini menjadi perhatian dan diikuti oleh anak-anak, remaja, dewasa, dan bahkan orang tua. Seni tari Sapin Bagan berfungsi sebagai hiburan bagi rakyat. Seni tradisi ini mempererat rasa persaudaraan dalam masyarakat. Sapin Bagan sering ditampilkan dalam berbagai acara adat, pernikahan, sunat Rosul, dan pagelaran budaya  di Desa Bagan Hulu. Dalam Tari Tradisi Sapin Bagan, para penari sangat mengutamakan pemakaian baju kurung Melayu sebagai kostum utama. Para penari berpasangan, mulai dari 4 hingga 12 orang penari. Langkah-langkah tariannya khas dan dapat berbeda-beda tergantung pada kelompok penari dan acara tertentu. Dalam tarian ini, alat musik pengiring yang digunakan adalah gambus, marwas, bebano, akordion, dan biola.",Seni Pertunjukan
