Adat Nganggung,"Nganggung adalah ritus pengumpulan makanan dari masyarakat Melayu Bangka Belitung, Kepulauan Bangka Belitung. Setiap rumah penduduk akan mengumpulkan makanan dan membawanya ke satu tempat pertemuan besar, seperti masjid, surau, sanggar, atau lapangan. Tradisi Nganggung umumnya dilaksanakan pada hari raya agama Islam, seperti Maulid Nabi Muhammad SAW, Nisfu Sya'ban, Muharram, serta setelah pelaksanaan shalat Idul Fitri dan Idul Adha. Tradisi Nganggung berkaitan erat dengan penguatan kekeluargaan dan silaturrahmi di komunitas Melayu Bangka. Momen Nganggung menjadi kesempatan untuk saling berbagi makanan dan kebaikan dengan sesama yang memperkuat ikatan sosial di antara masyarakat. Tradisi ini memperkuat rasa saling memiliki dan memupuk semangat gotong-royong dalam masyarakat. Pada tradisi Nganggung setiap rumah komunitas Melayu Bangka melakukan persiapan dan pengumpulkan makanan di suatu tempat pertemuan. Wadah makanan disebut sedulang, yang umumnya terbuat dari kuningan atau seng, yang diisi dengan makanan dan kemudian ditutup dengan tudung saji. Tradisi nganggung melibatkan seluruh anggota masyarakat Melayu Bangka lintas gender dan geografis. Alat-alat yang digunakan pada tradisi berasal dari material yang tersedia di lingkungan sekitar mereka.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Adat Perkawinan Melayu Lingga,"Adat perkawinan Melayu Lingga merupakan prosesi ritus adat sebelum akad nikah di Kepulauan Riau yang sudah terjadi sejak masa Kerajaan Lingga-Riau. Prosesi ini antara lain Gantung-Gantung, Menabur Beras Kunyit, dan Belangir. Acara Gantung-Gantung dilakukan sebagai persiapan majelis perkawinan dan diadakan di rumah pengantin perempuan. Prosesi ini melibatkan pengantin, keluarga, dan kerabat yang menghias rumah dengan tabir dan mempersiapkan tempat pengantin bersanding serta hidangan untuk para undangan. Adat perkawinan Melayu Lingga memiliki fungsi sosial untuk mempererat hubungan antar-keluarga, memuliakan pengantin, serta menghormati tamu yang hadir. Tema-tema yang muncul dalam adat ini adalah kebersamaan, kegembiraan, dan keselamatan. Adat perkawinan ini menjadi momen penting bagi masyarakat Melayu Lingga untuk merayakan dan memperkuat ikatan sosial serta menjaga nilai-nilai budaya tradisional. Pada acara Gantung-Gantung, tabir berbagai macam jenis dan warna digunakan untuk menghias rumah pengantin perempuan. Tempat pengantin bersanding atau peterakne juga disiapkan sebagai simbol kehormatan. Pada acara Menabur Beras Kunyit, beras kunyit dan uang koin ditaburkan sebagai tanda ucapan selamat dan keberuntungan. Pada acara Belangir, Berlangir menggunakan bedak sejuk dari tepung beras, air limau nipis, dan daun limau purut untuk membersihkan dan memohon keselamatan.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
AIR LAKSEMANE MENGAMUK LINGGA,"Air Laksemane Mengamuk Lingga merupakan minuman tradisional yang berasal dari Kepulauan Riau, terutama daerah Daik di Kerajaan Lingga-Riau. Minuman ini memiliki cita rasa yang saling berlawanan, yaitu lemak, manis, dan pedas. Nama ""Laksemane Mengamuk"" mengacu pada semangat dan keberanian seorang laksamana dalam menghadapi tantangan serta keinginan untuk membangun dan melindungi negeri. Air Laksemane Mengamuk Lingga adalah minuman tradisional yang biasanya disajikan pada acara-acara tertentu atau menjadi minuman para orang tua. Minuman ini juga mencerminkan keanekaragaman tanaman buah-buahan di daerah Kepulauan Riau, terutama buah kuini. Air Laksemane Mengamuk Lingga dibuat dengan menggunakan bahan-bahan seperti buah kuini, santan, cabe merah dan cabe rawit, gula pasir, serta sedikit garam. Buah kuini dikupas dan dicincang halus, lalu santan dipanaskan dan ditambahkan cabe, gula, dan garam untuk memberikan rasa yang merata. Setelah itu, buah kuini dimasukkan ke dalam santan yang telah mendidih, diaduk sebentar, dan siap untuk dihidangkan. Proses pembuatan minuman ini menggambarkan perpaduan cita rasa yang saling berlawanan, menghasilkan kombinasi yang unik dan khas.",Kemahiran dan Kerajinan Tradisional
Aksesoris Adat Melayu Lingga,"Aksesoris Adat Melayu Lingga merupakan berbagai produk Kerajinan Tradisional yang digunakan sebagai asesoris dalam perkawinan adat Melayu Lingga di Riau. Ada tiga asesoris penting dalam dalam perkawinan ini yaitu: bunga rampai, peterakna pengantin dan pelaminan pengantin Melayu Lingga. Bunga rampai gabungan bunga-bunga dan dedaunan yang diberi minyak wangi, yang digunakan sebagai hantaran dalam akad nikah. Peterakna pengantin adalah tempat duduk pengantin yang dibuat menyesuaikan status sosial orang menikah. Pelamin pengantin adalah tempat tidur pengantin yang dibuat bertingkat seperti tangga. Aksesoris Adat Melayu Lingga memiliki makna dan peran khusus dalam memperindah serta melambangkan keharmonisan dan kebesaran pengantin. Aksesoris Adat Melayu Lingga menggunakan berbagai peralatan. Pada bungai rampai menggunakan gabungan bunga-bunga, minyak wangi, wajik dan telur merah. Pada Paterakna menggunakan tempat duduk, bantal gaduk, bantal seraga dan beberapa jenis makanan seperti nasi besar atau nasi sekone, nasi adap, lilin, terenang, tepak sirih, sirih dan air mawar. Pada pelaminan pengantin menggunakan barang-barnag yang akan digunakan pengantin.",Kemahiran dan Kerajinan Tradisional
Aneka Lempeng Sagu Lingga,"Aneka Lempeng Sagu Lingga merupakan makanan tradisional yang berasal dari daerah Lingga, Kepulauan Riau. Lingga terkenal sebagai wilayah penghasil sagu sejak zaman Sultan Mahmud Riayat Syah pada abad ke-18. Bahan utama makanan tradisional Aneka Lempeng Sagu adalah sagu yang ditanam dan diolah oleh masyarakat Lingga. Lempeng Sagu Lingga sering disantap dalam berbagai acara seperti sarapan pagi, gotong-royong, atau sebagai hidangan khas pada waktu senggang. Makanan ini memiliki nilai historis dan budaya yang kuat sebagai bagian dari warisan kuliner daerah Lingga. Proses pembuatan Aneka Lempeng Sagu Lingga menggunakan sagu basah yang telah diayak halus. Sagu basah tersebut kemudian digongseng setengah matang sebelum dicampur dengan parutan kelapa dan bumbu-bumbu lainnya seperti garam. Setelah proses penggongsengan, lempeng-lempeng sagu tersebut dibentuk bulat tipis di atas kuali yang telah diberi pelumas minyak makan. Makanan ini banyak dikonsumsi oleh masyarakat Lingga dan disajikan dengan berbagai jenis lauk, seperti ikan masak berasam pedas atau gulai asam pedas, serta sambal belacan sebagai pelengkap rasa.",Kemahiran dan Kerajinan Tradisional
BERZANGGI LINGGA,"Berzanggi Lingga atau Barzanji adalah salah satu ritus dan kegiatan keagamaan yang masih dijalankan oleh masyarakat Melayu Lingga, Kepulauan Riau. Istilah ""berzanggi"" berasal dari penyebutan yang salah dari kata ""barzanji"". Berzanggi dilakukan pada berbagai acara seperti perkawinan, khataman Al-Quran, bercukur rambut, dan perayaan Maulid Nabi. Kitab berzanji yang dibacakan berisi kisah perjalanan Rasulullah, puji-pujian kepadanya, dan doa-doa. Ritus Berzanggi bertujuan untuk meningkatkan kecintaan kepada Nabi Muhammad SAW, mempererat silaturahmi antar-kaum Muslim, serta mendekatkan diri kepada Allah SWT. Ritus ini berfungsi sebagai sarana untuk mempererat tali persaudaraan, memperdalam pengetahuan agama, dan mendalami kehidupan Rasulullah sebagai teladan dalam menjalani kehidupan sehari-hari. Berzanggi hanya melibatkan partisipasi laki-laki dewasa. Ritus berzanggi dilakukan dengan mengenakan pakaian baju kurung lengkap. Pelaksanaan berzanggi menggunakan kitab berzanji, rehal atau bantal yang dilapisi kain sebagai alas kitab, dan embat-embat yang berisi wewangian tanpa alkohol untuk memberikan harum pada ruangan. Selama pembacaan berzanji, para peserta duduk dan makanan serta minuman disajikan. Makanan ini antara lain adalah hidangan kue mueh seperti dodol megan, dodol kentang, halwa telur, dan hidangan nasi dengan lauk-pauk serta air manis. Prosesi berzanggi Lingga menyediakan tiga kali makan berhidang yang terdiri dari merampe, makan juadah, dan makan besar. Juadah yang dihidangkan berjumlah ganjil seperti 3, 5, atau 7, dan terdiri dari kue-kue khas seperti dodol megan dan penganan bakar. Selama pelaksanaan berzanggi, air wangi-wangian direnjiskan pada peserta dan ruangan untuk memberikan keharuman dan kesan yang bersih.","Adat Istiadat Masyarakat, Ritus, dan Perayaan-Perayaan"
Besaoh Dalam Beume,"Besaoh dalam konteks Beume merupakan sistem pengolahan lahan yang melibatkan kerja bersama masyarakat dalam pertanian padi di hutan tropis, di daerah Kepulauan Bangka Belitung. Dalam sistem ini, warga masyarakat yang merupakan tetangga terdekat di kampung bekerja secara tolong-menolong dan bergantian mengerjakan pekerjaan pertanian. Setiap rumah tangga yang bertindak sebagai tuan rumah berkewajiban menyediakan makanan dan minuman bagi anggota kelompok besaoh. Pertanian padi merupakan aktivitas utama dalam kehidupan mereka, dan ladang Ume menjadi tempat penanaman padi dan sayuran. Besaoh dalam Beume adalah system yang mempromosikan kerja sama, kebersamaan, dan tolong-menolong di antara warga masyarakat. Besaoh membuat warga saling membantu dalam menyelesaikan pekerjaan pertanian yang membutuhkan tenaga dan waktu yang cukup besar. Sistem Besaoh menguatkan ikatan sosial antarwarga di kampung yang menjadi tetangga terdekat. Tema utama dalam system Besaoh adalah solidaritas dan saling mengandalkan dalam menghadapi tantangan dalam pertanian padi di hutan tropis. Proses Beume menggunakan alat-alat pertanian tradisional seperti cangkul, parang, dan sabit untuk membuka lahan dan membersihkan hutan. Masyarakat menggunakan benih padi dan pupuk organik untuk menanam padi di ladang Ume. Proses Beume dimulai dengan mengucapkan salam dan meratap sebagai bentuk rasa hormat kepada alam sekitar dan sebagai upaya meminta izin kepada penghuni hutan sebelum masuk ke hutan untuk mencari lahan Beume. Selama proses Besaoh masyarakat pantang menyebutkan makanan yang enak-enak agar tidak mendatangkan musibah saat melakukan pekerjaan.",Pengetahuan dan Kebiasaan Perilaku Mengenai Alam dan Semesta
Bubur Asyura Lingga,"Bubur Asyura merupakan makanan tradisional masyarakat Melayu Lingga, Kepulauan Riau, dalam memperingati hari Asyura, yang jatuh pada setiap sepuluh hari bulan Muharram. Hidangan ini berupa bubur yang terbuat dari berbagai bahan, termasuk beras, pulut putih, kacang hijau, kacang tanah, kacang kedelai, kacang merah, jagung halus, keledek, keladi, ubi, kentang, kacang kuda, wortel, udang, dan cumi-cumi. Bubur Asyura ini memiliki dua jenis, yaitu bubur lemak dan bubur manis. Bubur lemak ditambahkan dengan hasil laut seperti udang dan cumi-cumi, sementara bubur manis hanya menggunakan pulut hitam dan gula sebagai pemanis. Bubur Asyura dijadikan sebagai media untuk mempererat silaturrahmi antar sesama warga masyarakat Melayu Lingga. Masyarakat bekerja sama dan bergotong royong dalam menyiapkan bahan-bahan dan memasak bubur Asyura. Peringatan Asyura melibatkan kegiatan doa bersama dan pemberian kehormatan kepada anak yatim. Bubur Asyura berperan mempererat hubungan antarwarga, meningkatkan keimanan dan ketaqwaan, berbagi rezeki, serta memperkuat nilai-nilai budi pekerti dalam masyarakat. Proses pembuatan bubur Asyura dimulai dengan menggongseng beberapa bahan seperti beras, pulut putih, kacang hijau, kacang tanah, dan kacang kedelai. Bahan-bahan tersebut kemudian direbus bersama dengan bahan lain seperti kacang merah, jagung halus, keledek, keladi, ubi, kentang, wortel, dan kacang arab. Bumbu-bumbu seperti ketumbar, bunga lawang, jintan putih, adam manis, kayu manis, garam, halia, dan ikan bilis dihaluskan dan ditambahkan ke dalam bubur. Setelah semua bahan matang, santan kelapa ditambahkan ke dalam bubur. Bubur Asyura Lingga disajikan dengan potongan telur dadar dan taburan bawang goreng sebagai hiasan.",Kemahiran dan Kerajinan Tradisional
Bubur Lambok Lingga,"Bubur Lambok adalah makanan khas berbahan sagu lenggang dari Kabupaten Lingga, Kepulauan Riau, Indonesia. Kabupaten Lingga merupakan penghasil sagu sejak masa Kesultanan Riau Lingga Johor Pahang. Bubur Lambok disiapkan dengan mencampur sagu lenggang dan sayur mayor (sayur rampai) seperti saun cekor, selasih, kangkung, daun kunyit, daun kacang, dan lainnya. Hidangan ini biasanya disajikan panas dan digunakan dalam ritus adat serta saat menerima tamu penting. Bubur Lambok juga dikenal sebagai obat penawar dan memiliki makna keselarasan dan saling melengkapi. Bubur Lambok berperan dalam menjaga keharmonisan dan tradisi adat masyarakat Lingga. Hidangan ini menjadi simbol kekayaan kuliner dan budaya Kabupaten Lingga dan sering disajikan dalam ritus adat seperti Ritus Bebaritan/Baritan atau Sedekah Bumi, yang merupakan bentuk ungkapan syukur atas panen yang melimpah. Hidangan ini menjadi pilihan menu saat menerima tamu dari luar daerah dan negara. Bubur Lambok memberikan kehormatan kepada tuan rumah dan menciptakan suasana yang akrab saat menyantap hidangan bersama. Makanan ini juga dianggap sebagai obat herbal karena bahan-bahannya yang alami. Bubur Lambok menggunakan bahan-bahan seperti sagu lenggang, sayur mayor (sayur rampai), bumbu-bumbu, air, minyak makan, dan lainnya. Proses pembuatannya melibatkan rebusan air dengan bumbu, sayur mayor dan sagu lenggang yang telah dipotong dadu. Bubur Lambok kemudian ditaruh di atas piring yang cekung, diratakan, dan ditekan agar padat. Bumbu tumis seperti bawang merah juga ditambahkan ke dalam bubur sebelum dihidangkan. Hidangan ini memiliki citarasa khas dan biasanya disajikan panas.",Kemahiran dan Kerajinan Tradisional
Emping Beras,"Emping beras adalah makanan yang diolah dari beras ketan, dan merupakan makanan pendamping dalam perayaan Maras Taun, sebuah tradisi agraris dalam Masyarakat Pulau Belitung. Fungsi dari Emping adalah menjadi hidangan yang disajikan bersama dengan lepat dalam perayaan ungkapan Syukur atas hasil panen padi. Emping Beras menjadi sambil dari kegiatan berladang dan kehidupan agraris yang melibatkan Masyarakat pulau Belitung. Alat utama emping adalah beras ketan hasil ladang Masyarakat Pulau Belitung. Alat yang digunakan dalam pembuatan Emping Beras antara lain alat penggorengan, alu atau lesung batu untuk menumbuk bulir padi, serta tampah atau alat penampi untuk memisahkan kulit padi dari isi. Tidak ada batasan gender dalam menyiapkan Emping.",Kemahiran dan Kerajinan Tradisional
